Date,Price,Open,High,Low,Vol.,Change %
2020-03-06,"2,448.00","2,500.00","2,530.00","2,448.00",0.03K,-3.32%
2020-03-05,"2,532.00","2,530.00","2,566.00","2,480.00",0.02K,1.24%
2020-03-04,"2,501.00","2,388.00","2,502.00","2,388.00",0.16K,3.99%
2020-03-03,"2,405.00","2,350.00","2,377.00","2,350.00",0.17K,1.99%
2020-03-02,"2,358.00","2,415.00","2,415.00","2,350.00",0.17K,0.04%
2020-02-28,"2,357.00","2,450.00","2,450.00","2,350.00",0.14K,-5.61%
2020-02-27,"2,497.00","2,467.00","2,497.00","2,467.00",0.05K,1.50%
2020-02-26,"2,460.00","2,495.00","2,495.00","2,435.00",0.02K,-0.81%
2020-02-25,"2,480.00","2,560.00","2,573.00","2,480.00",0.44K,-4.47%
2020-02-24,"2,596.00","2,666.00","2,669.00","2,590.00",1.13K,-3.24%
2020-02-21,"2,683.00","2,680.00","2,684.00","2,660.00",0.46K,0.52%
2020-02-20,"2,669.00","2,664.00","2,669.00","2,598.00",0.97K,0.91%
2020-02-19,"2,645.00","2,712.00","2,721.00","2,644.00",0.85K,-3.11%
2020-02-18,"2,730.00","2,725.00","2,730.00","2,699.00",1.01K,0.18%
2020-02-17,"2,725.00","2,710.00","2,735.00","2,699.00",0.25K,2.44%
2020-02-14,"2,660.00","2,700.00","2,700.00","2,655.00",0.03K,-0.19%
2020-02-13,"2,665.00","2,680.00","2,680.00","2,655.00",0.03K,-2.60%
2020-02-12,"2,736.00","2,700.00","2,720.00","2,695.00",0.09K,-0.15%
2020-02-11,"2,740.00","2,824.00","2,824.00","2,760.00",0.00K,-2.14%
2020-02-10,"2,800.00","2,800.00","2,800.00","2,800.00",0.01K,-2.51%
2020-02-07,"2,872.00","2,903.00","2,903.00","2,903.00",0.00K,-0.90%
2020-02-06,"2,898.00","2,922.00","2,940.00","2,860.00",0.20K,1.58%
2020-02-05,"2,853.00","2,780.00","2,850.00","2,780.00",0.14K,5.01%
2020-02-04,"2,717.00","2,709.00","2,750.00","2,691.00",0.16K,1.76%
2020-02-03,"2,670.00","2,647.00","2,685.00","2,647.00",0.06K,1.14%
2020-01-31,"2,640.00","2,640.00","2,661.00","2,629.00",0.24K,-1.64%
2020-01-30,"2,684.00","2,730.00","2,730.00","2,654.00",0.33K,-3.42%
2020-01-29,"2,779.00","2,794.00","2,794.00","2,794.00",0.13K,5.27%
2020-01-28,"2,640.00","2,780.00","2,784.00","2,649.00",0.39K,-9.74%
2020-01-24,"2,925.00","2,979.00","2,979.00","2,931.00",0.03K,-2.01%
2020-01-23,"2,985.00","3,025.00","3,030.00","2,973.00",1.39K,-1.74%
2020-01-22,"3,038.00","2,950.00","3,041.00","2,942.00",1.47K,2.64%
2020-01-21,"2,960.00","2,966.00","2,970.00","2,910.00",1.05K,-0.44%
2020-01-20,"2,973.00","2,939.00","2,982.00","2,939.00",1.06K,1.75%
2020-01-17,"2,922.00","2,978.00","2,983.00","2,908.00",0.91K,-1.55%
2020-01-16,"2,968.00","2,959.00","2,994.00","2,955.00",0.86K,-2.05%
2020-01-15,"3,030.00","3,030.00","3,030.00","3,030.00",0.00K,0.00%
2020-01-14,"3,030.00","3,030.00","3,030.00","3,030.00",0.00K,-2.01%
2020-01-13,"3,092.00","3,092.00","3,092.00","3,092.00",-,-1.25%
2020-01-10,"3,131.00","3,035.00","3,132.00","3,035.00",0.04K,0.74%
2020-01-09,"3,108.00","3,088.00","3,120.00","3,088.00",0.10K,2.30%
