Date,Price,Open,High,Low,Vol.,Change %
2020-03-06,586.25,586.25,586.25,586.25,-,-3.62%
2020-03-05,608.25,608.25,608.25,608.25,-,1.67%
2020-03-04,598.25,598.25,598.25,598.25,-,4.54%
2020-03-03,572.25,572.25,572.25,572.25,-,1.91%
2020-03-02,561.50,561.50,561.50,561.50,-,0.49%
2020-02-28,558.75,558.75,558.75,558.75,-,-5.86%
2020-02-27,593.50,593.50,593.50,593.50,-,1.93%
2020-02-26,582.25,582.25,582.25,582.25,-,-0.60%
2020-02-25,585.75,585.75,585.75,585.75,-,-4.68%
2020-02-24,614.50,614.50,614.50,614.50,-,-3.95%
2020-02-21,639.75,639.75,639.75,639.75,-,0.24%
2020-02-20,638.25,638.25,638.25,638.25,-,0.39%
2020-02-19,635.75,635.75,635.75,635.75,-,-3.31%
2020-02-18,657.50,657.50,657.50,657.50,-,0.00%
2020-02-17,657.50,657.50,657.50,657.50,-,0.08%
2020-02-14,657.00,657.00,657.00,657.00,-,2.10%
2020-02-13,643.50,643.50,643.50,643.50,-,-2.65%
2020-02-12,661.00,661.00,661.00,661.00,-,-0.23%
2020-02-11,662.50,662.50,662.50,662.50,-,-1.85%
2020-02-10,675.00,675.00,675.00,675.00,-,-2.77%
2020-02-07,694.25,694.25,694.25,694.25,-,-1.24%
2020-02-06,703.00,703.00,703.00,703.00,-,1.63%
2020-02-05,691.75,691.75,691.75,691.75,-,4.69%
2020-02-04,660.75,660.75,660.75,660.75,-,1.81%
2020-02-03,649.00,649.00,649.00,649.00,-,0.62%
2020-01-31,645.00,645.00,645.00,645.00,-,-1.71%
2020-01-30,656.25,656.25,656.25,656.25,-,-3.67%
2020-01-29,681.25,681.25,681.25,681.25,-,5.38%
2020-01-28,646.50,646.50,646.50,646.50,-,-10.15%
2020-01-24,719.50,719.50,719.50,719.50,-,-1.91%
2020-01-23,733.50,733.50,733.50,733.50,-,-1.81%
2020-01-22,747.00,747.00,747.00,747.00,-,2.79%
2020-01-21,726.75,726.75,726.75,726.75,-,-0.75%
2020-01-20,732.25,732.25,732.25,732.25,-,1.60%
2020-01-17,720.75,720.75,720.75,720.75,-,-1.33%
2020-01-16,730.50,730.50,730.50,730.50,-,-3.18%
2020-01-15,754.50,754.50,754.50,754.50,-,1.45%
2020-01-14,743.75,743.75,743.75,743.75,-,-2.27%
2020-01-13,761.00,761.00,761.00,761.00,-,-0.85%
2020-01-10,767.50,767.50,767.50,767.50,-,0.95%
2020-01-09,760.25,760.25,760.25,760.25,-,2.63%
2020-01-08,740.75,740.75,740.75,740.75,-,-0.20%
2020-01-07,742.25,742.25,742.25,742.25,-,0.37%
2020-01-06,739.50,739.50,739.50,739.50,-,-2.47%
2020-01-03,758.25,758.25,758.25,758.25,-,-0.82%
2020-01-02,764.50,764.50,764.50,764.50,-,2.89%
2019-12-31,743.00,743.00,743.00,743.00,-,-1.39%
2019-12-30,753.50,753.50,753.50,753.50,-,2.45%
2019-12-27,735.50,735.50,735.50,735.50,-,2.37%
2019-12-26,718.50,718.50,718.50,718.50,-,2.61%
2019-12-24,700.25,700.25,700.25,700.25,-,0.00%
2019-12-23,700.25,700.25,700.25,700.25,-,0.14%
2019-12-20,699.25,699.25,699.25,699.25,-,1.49%
2019-12-19,689.00,689.00,689.00,689.00,-,0.58%
2019-12-18,685.00,685.00,685.00,685.00,-,-0.40%
2019-12-17,687.75,687.75,687.75,687.75,-,-0.07%
2019-12-16,688.25,688.25,688.25,688.25,-,1.77%
2019-12-13,676.25,676.25,676.25,676.25,-,-0.15%
2019-12-12,677.25,677.25,677.25,677.25,-,0.67%
2019-12-11,672.75,672.75,672.75,672.75,-,-0.77%
2019-12-10,678.00,678.00,678.00,678.00,-,0.71%
2019-12-09,673.25,673.25,673.25,673.25,-,1.58%
2019-12-06,662.75,662.75,662.75,662.75,-,1.80%
2019-12-05,651.00,651.00,651.00,651.00,-,1.72%
2019-12-04,640.00,640.00,640.00,640.00,-,0.99%
2019-12-03,633.75,633.75,633.75,633.75,-,0.76%
2019-12-02,629.00,629.00,629.00,629.00,-,0.24%
2019-11-29,627.50,627.50,627.50,627.50,-,-0.67%
2019-11-28,631.75,631.75,631.75,631.75,-,1.40%
2019-11-27,623.00,623.00,623.00,623.00,-,1.10%
2019-11-26,616.25,616.25,616.25,616.25,-,-2.91%
2019-11-25,634.75,634.75,634.75,634.75,-,0.20%
2019-11-22,633.50,633.50,633.50,633.50,-,2.67%
2019-11-21,617.00,617.00,617.00,617.00,-,-0.72%
2019-11-20,621.50,621.50,621.50,621.50,-,2.60%
2019-11-19,605.75,605.75,605.75,605.75,-,0.87%
2019-11-18,600.50,600.50,600.50,600.50,-,-2.60%
2019-11-15,616.50,616.50,616.50,616.50,-,0.08%
2019-11-14,616.00,616.00,616.00,616.00,-,0.94%
2019-11-13,610.25,610.25,610.25,610.25,-,-1.09%
2019-11-12,617.00,617.00,617.00,617.00,-,-0.88%
2019-11-11,622.50,622.50,622.50,622.50,-,1.84%
2019-11-08,611.25,611.25,611.25,611.25,-,1.75%
2019-11-07,600.75,600.75,600.75,600.75,-,-0.29%
2019-11-06,602.50,602.50,602.50,602.50,-,1.47%
2019-11-05,593.75,593.75,593.75,593.75,-,-0.17%
2019-11-04,594.75,594.75,594.75,594.75,-,2.28%
2019-11-01,581.50,581.50,581.50,581.50,-,-0.68%
2019-10-31,585.50,585.50,585.50,585.50,-,1.65%
2019-10-30,576.00,576.00,576.00,576.00,-,2.95%
2019-10-29,559.50,559.50,559.50,559.50,-,1.45%
2019-10-25,551.50,551.50,551.50,551.50,-,0.96%
2019-10-24,546.25,546.25,546.25,546.25,-,2.15%
2019-10-23,534.75,534.75,534.75,534.75,-,0.14%
2019-10-22,534.00,534.00,534.00,534.00,-,0.80%
2019-10-21,529.75,529.75,529.75,529.75,-,0.43%
2019-10-18,527.50,527.50,527.50,527.50,-,0.67%
2019-10-17,524.00,524.00,524.00,524.00,-,0.43%
