Date,Price,Open,High,Low,Vol.,Change %
2020-03-06,669.0,679.5,680.0,665.4,2.16K,-1.98%
2020-03-05,682.5,676.9,696.4,673.6,4.84K,0.34%
2020-03-04,680.2,656.1,682.9,654.0,5.46K,3.17%
2020-03-03,659.3,635.1,660.7,632.9,4.77K,3.78%
2020-03-02,635.3,655.0,660.0,633.0,3.44K,-8.22%
2020-02-28,692.2,691.0,694.4,691.0,0.19K,-0.40%
2020-02-27,695.0,690.0,700.5,688.5,0.48K,0.81%
2020-02-26,689.4,694.6,698.7,688.0,1.01K,-0.75%
2020-02-25,694.6,695.5,697.4,690.6,1.33K,-0.20%
2020-02-24,696.0,709.8,709.8,695.5,1.19K,-2.05%
2020-02-21,710.6,699.9,711.9,699.9,0.72K,2.10%
2020-02-20,696.0,697.0,699.0,682.5,2.72K,0.01%
2020-02-19,695.9,713.0,717.0,694.4,2.59K,-2.78%
2020-02-18,715.8,712.0,716.5,706.6,1.87K,0.31%
2020-02-17,713.6,718.1,724.5,710.1,1.97K,-0.74%
2020-02-14,718.9,723.9,729.2,716.3,2.16K,-0.65%
2020-02-13,723.6,732.3,743.1,717.6,2.99K,-2.02%
2020-02-12,738.5,727.2,739.5,722.1,2.99K,0.75%
2020-02-11,733.0,740.5,743.0,723.5,2.81K,-0.92%
2020-02-10,739.8,752.0,754.9,736.6,1.79K,-1.62%
2020-02-07,752.0,751.5,761.1,747.0,2.39K,0.15%
2020-02-06,750.9,766.7,774.0,748.1,3.00K,-1.70%
2020-02-05,763.9,752.7,772.0,752.7,3.85K,2.08%
2020-02-04,748.3,732.0,752.0,725.7,3.86K,2.80%
2020-02-03,727.9,744.0,746.9,722.6,3.47K,-1.48%
2020-02-01,738.8,747.0,760.0,731.0,6.51K,-4.28%
2020-01-31,771.8,774.7,774.7,771.4,0.24K,-0.37%
2020-01-30,774.7,778.6,782.5,774.1,0.46K,-1.16%
2020-01-29,783.8,780.0,790.0,777.5,0.50K,1.70%
2020-01-28,770.7,750.0,787.8,750.0,1.23K,0.55%
2020-01-27,766.5,777.0,781.4,758.6,1.18K,-1.89%
2020-01-24,781.3,793.0,793.0,779.7,1.52K,-1.83%
2020-01-23,795.9,796.9,804.7,794.5,1.47K,-0.98%
2020-01-22,803.8,783.1,804.9,778.4,2.54K,2.10%
2020-01-21,787.3,799.3,801.6,784.4,1.82K,-2.32%
2020-01-20,806.0,789.1,808.7,787.9,2.26K,2.56%
2020-01-17,785.9,793.3,802.4,775.1,2.88K,-1.52%
2020-01-16,798.0,818.9,824.9,794.0,2.60K,-1.97%
2020-01-15,814.0,824.4,827.1,799.8,3.43K,-1.17%
2020-01-14,823.6,829.9,830.5,818.4,2.36K,-0.93%
2020-01-13,831.3,833.0,836.5,826.1,2.65K,-0.75%
2020-01-10,837.6,830.0,839.8,826.5,2.13K,0.90%
2020-01-09,830.1,830.0,835.0,825.4,2.96K,0.69%
2020-01-08,824.4,808.4,831.1,801.9,4.84K,1.71%
2020-01-07,810.5,802.9,814.7,797.6,3.83K,1.66%
2020-01-06,797.3,809.2,812.7,782.4,4.47K,-2.00%
2020-01-03,813.6,822.1,823.5,808.6,3.17K,-1.23%
2020-01-02,823.7,810.5,827.0,804.1,4.68K,1.77%
2020-01-01,809.4,799.6,812.0,793.9,1.35K,0.76%
2019-12-31,803.3,806.7,806.7,803.1,0.33K,-0.35%
2019-12-30,806.1,804.0,809.1,800.6,0.62K,0.26%
2019-12-27,804.0,785.7,810.3,770.7,1.75K,3.08%
2019-12-26,780.0,753.3,780.5,753.0,1.54K,3.93%
2019-12-24,750.5,741.6,752.7,737.0,1.28K,1.32%
2019-12-23,740.7,743.5,745.8,738.7,0.68K,-0.19%
2019-12-20,742.1,744.0,745.3,736.0,0.99K,0.22%
2019-12-19,740.5,725.2,743.0,722.0,1.61K,1.74%
2019-12-18,727.8,735.0,737.9,725.9,1.39K,-1.28%
2019-12-17,737.2,738.9,740.5,730.3,1.46K,0.49%
2019-12-16,733.6,727.4,734.9,721.0,1.53K,1.42%
2019-12-13,723.3,736.0,737.0,719.4,2.38K,-1.11%
2019-12-12,731.4,718.0,732.8,717.3,1.22K,1.89%
2019-12-11,717.8,720.1,725.9,715.2,2.04K,-0.88%
2019-12-10,724.2,728.1,731.0,720.6,2.71K,-1.15%
2019-12-09,732.6,714.0,737.2,713.0,2.94K,3.27%
2019-12-06,709.4,695.0,710.0,695.0,2.97K,1.88%
2019-12-05,696.3,689.4,697.0,687.0,1.95K,1.09%
2019-12-04,688.8,682.1,689.7,681.2,1.77K,0.98%
2019-12-03,682.1,682.8,685.2,679.5,2.03K,-0.37%
2019-12-02,684.6,676.0,686.6,672.9,1.72K,2.45%
2019-11-29,668.2,668.2,668.6,667.6,0.34K,0.07%
2019-11-28,667.7,670.0,670.0,664.3,1.79K,-0.04%
2019-11-27,668.0,670.0,672.3,666.4,0.87K,-0.01%
2019-11-26,668.1,661.5,669.1,655.9,1.69K,0.47%
