Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2013-11-08,786.75,786.75,794.75,786.75,,786.75,,
2013-11-15,807.75,807.75,809.75,807.75,,807.75,,
2013-11-18,811.25,811.25,812.0,811.25,,811.25,,
2013-11-19,803.5,803.5,810.0,803.5,,803.5,,
2013-11-20,811.5,811.5,811.5,811.5,,811.5,,
2013-11-22,823.5,833.0,823.5,823.5,,823.5,,
2013-11-25,816.5,824.25,821.25,816.5,,816.5,,
2013-11-26,813.0,813.0,811.5,813.0,,813.0,,
2013-11-27,816.75,816.75,812.5,816.75,,816.75,,
2013-11-28,816.75,816.75,816.75,816.75,,816.75,,
2013-11-29,823.25,819.25,823.25,823.25,,823.25,,
2013-12-02,821.0,821.0,821.75,821.0,,821.0,,
2013-12-03,815.0,815.0,816.5,815.0,,815.0,,
2013-12-04,826.75,815.5,826.75,826.75,,826.75,,
2013-12-05,819.5,819.5,819.5,819.5,,819.5,,
2013-12-06,830.75,830.75,830.75,830.75,,830.75,,
2013-12-09,823.5,823.5,830.25,823.5,,823.5,,
2013-12-10,824.75,824.75,824.75,824.75,,824.75,,
2013-12-11,822.25,822.25,822.25,822.25,,822.25,,
2013-12-12,813.5,813.5,813.5,813.5,,813.5,,
2013-12-13,794.75,794.75,794.75,794.75,,794.75,,
2013-12-16,797.75,797.75,797.75,797.75,,797.75,,
2013-12-17,795.25,795.25,795.25,795.25,,795.25,,
2013-12-18,784.25,784.25,784.25,784.25,,784.25,,
2013-12-19,785.25,785.25,785.25,785.25,,785.25,,
2013-12-20,787.0,787.0,787.0,787.0,,787.0,,
2013-12-23,794.0,794.0,794.0,794.0,,794.0,,
2013-12-24,797.75,797.75,797.75,797.75,,797.75,,
2013-12-25,797.75,797.75,797.75,797.75,,797.75,,
2013-12-26,799.0,799.0,799.0,799.0,,799.0,,
2013-12-27,799.25,799.25,799.25,799.25,,799.25,,
2013-12-30,798.75,798.75,798.75,798.75,,798.75,,
2014-01-03,800.75,800.75,800.75,800.75,,800.75,,
2014-01-06,791.25,791.25,791.25,791.25,,791.25,,
2014-01-07,779.25,779.25,779.25,779.25,,779.25,,
2014-01-08,775.75,775.75,775.75,775.75,,775.75,,
2014-01-09,773.75,773.75,773.75,773.75,,773.75,,
2014-01-10,769.75,769.75,769.75,769.75,,769.75,,
2014-01-13,765.25,765.25,765.25,765.25,,765.25,,
2014-01-14,765.25,765.25,765.25,765.25,,765.25,,
2014-01-15,768.5,768.5,768.5,768.5,,768.5,,
2014-01-16,771.75,771.75,771.75,771.75,,771.75,,
2014-01-17,771.75,771.75,771.75,771.75,,771.75,,
2014-01-20,771.75,771.75,771.75,771.75,,771.75,,
2014-01-21,780.5,780.5,780.5,780.5,,780.5,,
2014-01-22,773.25,773.25,773.25,773.25,,773.25,,
2014-01-23,781.0,781.0,781.0,781.0,,781.0,,
2014-01-24,777.5,777.5,777.5,777.5,,777.5,,
2014-01-27,764.0,764.0,764.0,764.0,,764.0,,
2014-01-28,756.25,756.25,756.25,756.25,,756.25,,
2014-01-29,764.75,764.75,764.75,764.75,,764.75,,
2014-01-30,763.75,763.75,763.75,763.75,,763.75,,
2014-01-31,763.75,763.75,763.75,763.75,,763.75,,
2014-02-03,763.75,763.75,763.75,763.75,,763.75,,
2014-02-04,756.0,756.0,756.0,756.0,,756.0,,
2014-02-05,765.5,765.5,765.5,765.5,,765.5,,
2014-02-06,774.25,774.25,774.25,774.25,,774.25,,
2014-02-07,774.5,774.5,774.5,774.5,,774.5,,
2014-02-10,784.5,784.5,784.5,784.5,,784.5,,
2014-02-11,779.0,779.0,779.0,779.0,,779.0,,
2014-02-12,791.0,791.0,791.0,791.0,,791.0,,
2014-02-13,797.75,797.75,797.75,797.75,,797.75,,
2014-02-14,803.25,803.25,803.25,803.25,,803.25,,
2014-02-17,803.25,803.25,803.25,803.25,,803.25,,
2014-02-18,823.0,823.0,823.0,823.0,19.75,823.0,0.0,0.0
2014-02-19,819.5,819.5,819.5,819.5,3.5,819.5,0.0,0.0
