Date,Price,Open,High,Low,Vol.,Change %
2020-03-06,0.200,0.200,0.205,0.199,26.24M,0.00%
2020-03-05,0.200,0.200,0.205,0.200,14.27M,-2.44%
2020-03-04,0.205,0.200,0.205,0.199,38.99M,0.00%
2020-03-03,0.205,0.205,0.205,0.197,59.66M,0.00%
2020-03-02,0.205,0.200,0.205,0.199,10.96M,2.50%
2020-02-28,0.200,0.200,0.205,0.198,113.74M,-2.44%
2020-02-27,0.205,0.205,0.210,0.200,34.69M,0.00%
2020-02-26,0.205,0.205,0.210,0.200,32.12M,-2.38%
2020-02-25,0.210,0.210,0.210,0.205,13.68M,0.00%
2020-02-24,0.210,0.210,0.210,0.205,35.83M,-2.33%
2020-02-21,0.215,0.215,0.220,0.210,20.98M,0.00%
2020-02-20,0.215,0.215,0.215,0.210,3.87M,0.00%
2020-02-19,0.215,0.215,0.220,0.210,29.12M,2.38%
2020-02-18,0.210,0.215,0.220,0.210,24.22M,0.00%
2020-02-17,0.210,0.215,0.215,0.210,2.42M,-2.33%
2020-02-14,0.215,0.215,0.220,0.210,11.20M,0.00%
2020-02-13,0.215,0.215,0.220,0.210,38.93M,-2.27%
2020-02-12,0.220,0.210,0.220,0.210,33.48M,4.76%
2020-02-11,0.210,0.210,0.215,0.210,8.55M,0.00%
2020-02-10,0.210,0.215,0.215,0.210,6.29M,-2.33%
2020-02-07,0.215,0.215,0.220,0.210,20.20M,0.00%
2020-02-06,0.215,0.210,0.225,0.210,73.94M,0.00%
2020-02-05,0.215,0.215,0.215,0.205,17.51M,2.38%
2020-02-04,0.210,0.205,0.215,0.205,48.15M,2.44%
2020-02-03,0.205,0.210,0.210,0.196,67.26M,-2.38%
2020-01-31,0.210,0.220,0.220,0.210,50.59M,-4.55%
2020-01-30,0.220,0.220,0.225,0.215,19.32M,0.00%
2020-01-29,0.220,0.220,0.225,0.215,45.88M,-2.22%
2020-01-28,0.225,0.220,0.225,0.215,41.78M,0.00%
2020-01-24,0.225,0.225,0.230,0.220,42.36M,0.00%
2020-01-23,0.225,0.230,0.235,0.220,60.63M,-2.17%
2020-01-22,0.230,0.230,0.235,0.225,38.62M,0.00%
2020-01-21,0.230,0.240,0.240,0.230,22.97M,-2.13%
2020-01-20,0.235,0.235,0.240,0.230,23.70M,0.00%
2020-01-17,0.235,0.235,0.245,0.230,133.46M,0.00%
2020-01-16,0.235,0.240,0.240,0.230,46.36M,0.00%
2020-01-15,0.235,0.235,0.245,0.230,130.02M,-2.08%
2020-01-14,0.240,0.240,0.245,0.235,17.75M,0.00%
2020-01-13,0.240,0.240,0.245,0.235,6.98M,0.00%
2020-01-10,0.240,0.240,0.245,0.235,14.69M,0.00%
2020-01-09,0.240,0.240,0.245,0.235,36.60M,0.00%
2020-01-08,0.240,0.235,0.245,0.230,32.93M,0.00%
2020-01-07,0.240,0.245,0.250,0.240,26.12M,0.00%
2020-01-06,0.240,0.235,0.245,0.230,62.30M,0.00%
2020-01-03,0.240,0.245,0.250,0.235,45.59M,-2.04%
2020-01-02,0.245,0.240,0.250,0.235,77.01M,4.26%
2019-12-31,0.235,0.240,0.240,0.235,20.46M,0.00%
2019-12-30,0.235,0.240,0.245,0.235,70.97M,0.00%
2019-12-27,0.235,0.215,0.245,0.215,192.16M,9.30%
2019-12-26,0.215,0.210,0.215,0.205,25.27M,2.38%
2019-12-24,0.210,0.215,0.215,0.210,7.53M,0.00%
2019-12-23,0.210,0.210,0.215,0.205,39.38M,0.00%
2019-12-20,0.210,0.210,0.215,0.210,93.58M,0.00%
2019-12-19,0.210,0.210,0.215,0.210,21.45M,-2.33%
2019-12-18,0.215,0.215,0.220,0.210,66.32M,-2.27%
2019-12-17,0.220,0.215,0.220,0.210,58.02M,2.33%
2019-12-16,0.215,0.220,0.220,0.215,25.88M,-2.27%
2019-12-13,0.220,0.220,0.225,0.215,55.63M,0.00%
2019-12-12,0.220,0.225,0.230,0.220,45.98M,-2.22%
2019-12-11,0.225,0.230,0.230,0.225,20.59M,-2.17%
2019-12-10,0.230,0.225,0.230,0.220,84.40M,2.22%
2019-12-09,0.225,0.225,0.230,0.215,103.41M,2.27%
2019-12-06,0.220,0.225,0.230,0.220,84.40M,-4.35%
2019-12-05,0.230,0.220,0.230,0.220,83.16M,6.98%
2019-12-04,0.215,0.220,0.225,0.215,72.30M,-4.44%
2019-12-03,0.225,0.215,0.225,0.215,98.28M,4.65%
2019-12-02,0.215,0.215,0.215,0.210,35.22M,0.00%
2019-11-29,0.215,0.215,0.220,0.210,99.67M,2.38%
2019-11-28,0.210,0.220,0.220,0.210,43.88M,-4.55%
2019-11-27,0.220,0.210,0.225,0.210,173.14M,4.76%
2019-11-26,0.210,0.220,0.225,0.210,852.40M,-4.55%
2019-11-25,0.220,0.230,0.240,0.215,115.50M,-4.35%
2019-11-22,0.230,0.235,0.240,0.230,67.01M,-2.13%
2019-11-21,0.235,0.245,0.250,0.230,66.85M,-6.00%
2019-11-20,0.250,0.240,0.255,0.240,45.10M,4.17%
2019-11-19,0.240,0.250,0.255,0.240,52.41M,-5.88%
2019-11-18,0.255,0.255,0.260,0.245,30.91M,0.00%
2019-11-15,0.255,0.250,0.260,0.245,44.69M,4.08%
2019-11-14,0.245,0.265,0.270,0.240,65.35M,-7.55%
2019-11-13,0.265,0.265,0.270,0.255,40.12M,1.92%
2019-11-12,0.260,0.230,0.260,0.225,109.62M,13.04%
2019-11-11,0.230,0.220,0.230,0.215,46.69M,6.98%
2019-11-08,0.215,0.230,0.235,0.210,87.68M,-6.52%
2019-11-07,0.230,0.220,0.230,0.220,51.42M,2.22%
2019-11-06,0.225,0.220,0.225,0.215,22.31M,2.27%
2019-11-05,0.220,0.225,0.230,0.215,52.03M,-2.22%
2019-11-04,0.225,0.215,0.225,0.210,36.78M,7.14%
2019-11-01,0.210,0.210,0.215,0.210,22.52M,2.44%
2019-10-31,0.205,0.215,0.215,0.205,38.15M,-2.38%
2019-10-30,0.210,0.210,0.215,0.210,21.87M,0.00%
2019-10-29,0.210,0.220,0.225,0.210,26.20M,-4.55%
2019-10-25,0.220,0.215,0.225,0.215,14.58M,0.00%
2019-10-24,0.220,0.210,0.220,0.210,31.92M,4.76%
2019-10-23,0.210,0.210,0.215,0.205,29.92M,0.00%
2019-10-22,0.210,0.210,0.215,0.205,29.19M,2.44%
2019-10-21,0.205,0.210,0.220,0.205,35.61M,0.00%
2019-10-18,0.205,0.210,0.210,0.205,8.77M,-2.38%
2019-10-17,0.210,0.210,0.210,0.200,37.12M,0.00%
2019-10-16,0.210,0.215,0.215,0.205,24.08M,-2.33%
2019-10-15,0.215,0.215,0.225,0.210,62.91M,2.38%
2019-10-14,0.210,0.215,0.215,0.210,17.69M,0.00%
2019-10-11,0.210,0.210,0.220,0.210,30.77M,0.00%
2019-10-10,0.210,0.210,0.215,0.205,21.46M,0.00%
2019-10-09,0.210,0.210,0.215,0.200,68.72M,-2.33%
2019-10-08,0.215,0.210,0.225,0.210,52.33M,2.38%
2019-10-07,0.210,0.220,0.220,0.210,31.56M,-4.55%
2019-10-04,0.220,0.220,0.225,0.215,28.68M,2.33%
2019-10-03,0.215,0.220,0.225,0.215,30.15M,-2.27%
2019-10-02,0.220,0.225,0.230,0.220,49.02M,-4.35%
2019-10-01,0.230,0.230,0.235,0.225,20.20M,2.22%
2019-09-30,0.225,0.230,0.235,0.225,26.92M,-2.17%
2019-09-27,0.230,0.230,0.235,0.225,16.48M,0.00%
2019-09-26,0.230,0.235,0.240,0.230,27.16M,-2.13%
2019-09-25,0.235,0.240,0.245,0.235,25.66M,-4.08%
2019-09-24,0.245,0.240,0.250,0.240,30.10M,0.00%
2019-09-23,0.245,0.245,0.250,0.240,10.41M,0.00%
2019-09-20,0.245,0.250,0.255,0.245,25.18M,0.00%
2019-09-19,0.245,0.260,0.260,0.245,27.05M,-3.92%
2019-09-18,0.255,0.265,0.265,0.255,13.82M,-3.77%
2019-09-17,0.265,0.270,0.275,0.265,17.06M,-3.64%
2019-09-16,0.275,0.280,0.280,0.270,6.72M,0.00%
2019-09-13,0.275,0.275,0.280,0.270,10.93M,0.00%
