Date,Price,Open,High,Low,Vol.,Change %
2020-03-06,28.43,28.30,28.60,28.30,1.97K,0.21%
2020-03-05,28.37,28.31,28.37,28.30,15.26K,-0.84%
2020-03-03,28.61,29.20,29.20,28.61,0.65K,-0.07%
2020-03-02,28.63,28.31,28.63,28.31,0.99K,1.20%
2020-02-28,28.29,28.50,28.50,28.29,0.67K,-3.12%
2020-02-27,29.20,28.96,29.20,28.96,0.71K,0.07%
2020-02-26,29.18,29.25,29.25,29.18,0.33K,-0.48%
2020-02-25,29.32,29.62,29.65,29.29,1.04K,3.39%
2020-02-24,28.36,28.55,28.55,28.36,0.52K,-3.08%
2020-02-21,29.26,28.96,29.26,28.96,0.34K,0.97%
2020-02-19,28.98,28.98,28.98,28.98,-,-2.56%
2020-02-14,29.74,29.74,29.74,29.74,-,1.29%
2020-02-13,29.36,29.01,29.36,29.01,0.33K,-3.39%
2020-02-12,30.39,30.39,30.39,30.39,-,4.50%
2020-02-11,29.08,29.08,29.08,29.08,-,2.04%
2020-02-07,28.50,28.50,28.50,28.50,-,-2.50%
2020-02-06,29.23,29.23,29.23,29.23,-,0.93%
2020-02-04,28.96,28.91,28.96,28.91,1.15K,1.90%
2020-02-03,28.42,28.42,28.42,28.42,-,-2.40%
2020-01-30,29.12,29.12,29.12,29.12,-,1.22%
2020-01-29,28.77,28.77,28.77,28.77,-,-0.31%
2020-01-28,28.86,28.86,28.86,28.86,-,-3.74%
2020-01-27,29.98,29.98,29.98,29.98,-,-0.37%
2020-01-24,30.09,30.09,30.09,30.09,-,-1.44%
2020-01-23,30.53,30.69,30.69,30.53,0.43K,-0.68%
2020-01-21,30.74,31.35,31.35,30.45,3.29K,-3.52%
2020-01-15,31.86,31.86,31.86,31.86,-,-2.27%
2020-01-14,32.60,32.60,32.60,32.60,-,1.78%
2020-01-13,32.03,32.03,32.03,32.03,-,-0.34%
2020-01-09,32.14,32.14,32.14,32.14,-,-0.68%
2020-01-08,32.36,32.36,32.36,32.36,-,4.22%
2020-01-06,31.05,31.05,31.05,31.05,-,2.75%
2020-01-03,30.22,31.26,31.26,30.22,0.31K,0.40%
2019-12-31,30.10,30.10,30.10,30.10,-,0.47%
2019-12-24,29.96,30.68,30.68,29.96,0.66K,-0.13%
2019-12-23,30.00,30.67,30.67,30.00,0.30K,-2.15%
2019-12-20,30.66,29.52,30.66,29.52,3.25K,2.03%
2019-12-19,30.05,30.49,30.49,30.05,0.62K,0.27%
2019-12-17,29.97,30.01,30.01,29.97,0.67K,-2.92%
2019-12-16,30.87,30.20,30.87,30.20,1.39K,-2.00%
2019-12-13,31.50,31.52,31.52,30.49,1.57K,-0.44%
2019-12-12,31.64,31.49,31.64,30.94,3.32K,1.54%
2019-12-11,31.16,31.49,31.49,30.91,68.36K,3.83%
2019-12-09,30.01,30.67,30.67,30.01,0.92K,-2.37%
2019-12-06,30.74,30.74,30.74,30.74,-,4.99%
2019-12-04,29.28,29.28,29.28,29.28,-,-2.72%
2019-12-03,30.10,30.10,30.10,30.10,-,0.67%
2019-12-02,29.90,30.00,30.79,29.90,0.33K,-1.42%
2019-11-25,30.33,30.33,30.33,30.33,-,-0.30%
2019-11-21,30.42,30.00,30.42,30.00,0.41K,1.00%
2019-11-19,30.12,30.12,30.12,30.12,-,-0.59%
2019-11-18,30.30,30.00,30.30,30.00,0.40K,1.58%
2019-11-15,29.83,29.83,29.83,29.83,-,2.51%
2019-11-14,29.10,29.10,29.10,29.10,-,0.34%
2019-11-13,29.00,29.00,29.00,29.00,-,3.57%
2019-11-11,28.00,28.00,28.00,28.00,-,-0.07%
2019-11-06,28.02,28.16,28.16,27.95,0.90K,-0.78%
2019-11-05,28.24,28.01,28.64,28.01,0.38K,1.84%
2019-11-04,27.73,27.92,27.92,27.73,0.37K,0.54%
2019-11-01,27.58,27.58,27.58,27.58,-,0.69%
2019-10-31,27.39,27.49,27.49,27.39,0.72K,0.81%
2019-10-30,27.17,27.75,27.75,27.17,0.92K,-0.69%
2019-10-29,27.36,27.36,27.36,27.36,-,0.40%
2019-10-28,27.25,27.25,27.25,27.25,-,0.55%
2019-10-25,27.10,26.94,27.10,26.94,1.18K,0.86%
2019-10-22,26.87,26.95,26.95,26.87,0.89K,1.82%
2019-10-21,26.39,26.26,26.39,26.26,0.90K,1.34%
2019-10-18,26.04,26.04,26.04,26.04,-,-0.23%
2019-10-16,26.10,26.10,26.10,26.10,-,0.00%
2019-10-15,26.10,26.10,26.10,26.10,-,-0.27%
2019-10-14,26.17,26.16,26.43,26.16,0.43K,-1.84%
2019-10-11,26.66,26.15,26.66,26.15,1.22K,2.15%
2019-10-08,26.10,26.10,26.10,26.10,-,-0.38%
2019-10-07,26.20,26.17,26.20,26.17,0.25K,0.31%
2019-10-04,26.12,26.12,26.12,26.12,-,-0.76%
2019-10-03,26.32,26.32,26.32,26.32,-,-2.52%
2019-09-30,27.00,27.00,27.00,27.00,-,0.00%
2019-09-27,27.00,27.00,27.00,27.00,-,0.63%
2019-09-26,26.83,26.83,26.83,26.83,-,-1.58%
2019-09-23,27.26,27.00,27.26,27.00,0.95K,-0.15%
2019-09-20,27.30,27.70,27.70,27.30,1.62K,-0.76%
2019-09-19,27.51,27.55,27.55,27.51,1.05K,-1.75%
2019-09-16,28.00,28.10,28.10,28.00,0.28K,0.83%
2019-09-11,27.77,27.77,27.77,27.77,-,-0.11%
2019-09-06,27.80,28.25,28.25,27.80,0.64K,2.73%
2019-09-03,27.06,27.06,27.06,27.06,-,1.35%
2019-08-29,26.70,26.25,26.70,26.25,0.65K,1.64%
2019-08-27,26.27,26.47,26.47,26.27,3.22K,-4.30%
2019-08-21,27.45,27.45,27.45,27.45,-,0.00%
2019-08-19,27.45,27.63,27.63,27.45,6.30K,4.17%
2019-08-16,26.35,26.35,26.35,26.35,-,-2.55%
2019-08-15,27.04,27.04,27.04,27.04,-,0.11%
2019-08-14,27.01,27.16,27.16,27.01,0.69K,-5.59%
2019-08-09,28.61,28.61,28.61,28.61,-,1.49%
2019-08-06,28.19,28.19,28.19,28.19,-,-2.89%
2019-08-02,29.03,29.03,29.03,29.03,-,2.04%
2019-08-01,28.45,28.45,28.45,28.45,-,-1.93%
2019-07-31,29.01,29.01,29.01,29.01,-,-0.92%
2019-07-26,29.28,28.92,29.28,28.92,0.60K,1.46%
2019-07-23,28.86,28.86,28.86,28.86,-,1.09%
2019-07-19,28.55,28.55,28.55,28.55,-,-0.31%
2019-07-18,28.64,28.64,28.64,28.64,-,1.78%
2019-07-17,28.14,28.14,28.14,28.14,-,0.14%
2019-07-15,28.10,27.52,28.10,27.52,0.42K,3.12%
2019-07-10,27.25,27.25,27.25,27.25,-,-1.80%
2019-07-08,27.75,27.75,27.75,27.75,-,-0.07%
2019-07-05,27.77,27.56,28.18,27.51,10.51K,1.42%
2019-07-01,27.38,27.50,27.50,27.38,1.86K,-0.44%
2019-06-28,27.50,27.11,27.50,27.11,0.83K,2.23%
2019-06-27,26.90,27.00,27.00,26.90,0.54K,-0.19%
2019-06-26,26.95,26.46,26.95,26.46,0.75K,1.97%
2019-06-25,26.43,26.43,26.43,26.43,-,0.00%
2019-06-21,26.43,26.00,26.49,26.00,2.40K,2.24%
2019-06-19,25.85,25.87,25.87,25.85,1.20K,0.19%
2019-06-18,25.80,25.80,25.80,25.80,-,1.49%
2019-06-17,25.42,25.42,25.42,25.42,-,0.91%
2019-06-13,25.19,25.19,25.19,25.19,-,1.57%
2019-06-12,24.80,25.08,25.08,24.80,9.35K,0.16%
2019-06-11,24.76,24.47,24.76,24.47,1.68K,0.04%
2019-06-07,24.75,24.48,24.86,24.48,0.75K,3.64%
2019-06-05,23.88,23.93,23.93,23.88,0.44K,-0.42%
2019-05-31,23.98,23.77,23.98,23.77,0.65K,0.33%
2019-05-29,23.90,23.87,23.90,23.87,1.16K,-0.25%
2019-05-28,23.96,23.96,23.96,23.96,-,-4.16%
2019-05-22,25.00,24.84,25.00,24.84,0.33K,-2.72%
2019-05-14,25.70,25.59,25.70,25.59,0.45K,0.00%
2019-05-10,25.70,25.38,25.70,25.38,0.26K,-0.93%
2019-05-08,25.94,26.26,26.26,25.94,0.56K,-0.61%
2019-05-06,26.10,26.11,26.17,25.44,5.23K,-2.43%
2019-05-03,26.75,26.45,26.75,26.45,0.88K,0.49%
2019-05-01,26.62,26.62,26.62,26.62,-,0.11%
2019-04-30,26.59,26.59,26.59,26.59,-,-0.11%
2019-04-26,26.62,26.80,26.80,26.62,2.08K,-0.52%
2019-04-22,26.76,26.76,26.76,26.76,-,-1.40%
2019-04-17,27.14,27.01,27.27,27.01,0.35K,1.46%
2019-04-15,26.75,26.75,26.75,26.75,-,2.29%
2019-04-11,26.15,25.80,26.24,25.80,3.36K,0.97%
2019-04-10,25.90,26.15,26.25,25.90,19.44K,0.94%
2019-04-09,25.66,25.66,25.66,25.66,-,0.23%
2019-04-08,25.60,25.59,25.60,25.59,0.50K,0.00%
2019-04-05,25.60,25.60,25.60,25.60,-,1.11%
2019-04-04,25.32,25.32,25.32,25.32,-,1.56%
2019-04-03,24.93,24.93,24.93,24.93,-,1.76%
2019-03-29,24.50,24.25,24.50,24.25,0.31K,2.94%
2019-03-22,23.80,23.80,23.80,23.80,-,-2.22%
2019-03-15,24.34,24.34,24.34,24.34,-,0.95%
2019-03-14,24.11,24.11,24.11,24.11,-,1.35%
2019-03-11,23.79,23.80,23.80,23.42,0.51K,0.59%
2019-03-06,23.65,23.78,23.78,23.65,0.57K,-0.63%
2019-03-05,23.80,23.80,23.80,23.80,-,0.89%
2019-02-28,23.59,23.59,23.59,23.59,-,0.04%
2019-02-27,23.58,23.58,23.58,23.58,-,-5.15%
2019-02-26,24.86,24.86,24.86,24.86,-,1.26%
2019-02-25,24.55,24.54,24.55,24.54,0.32K,1.07%
2019-02-22,24.29,24.29,24.29,24.29,-,-1.74%
2019-02-19,24.72,24.72,24.72,24.72,-,0.73%
2019-02-15,24.54,24.54,24.54,24.54,-,1.57%
2019-02-14,24.16,24.16,24.16,24.16,-,1.64%
2019-02-13,23.77,23.66,23.77,23.53,1.43K,-0.67%
2019-02-12,23.93,23.76,23.93,23.76,1.24K,-0.29%
2019-02-11,24.00,23.88,24.00,23.88,0.98K,0.00%
2019-02-08,24.00,24.00,24.00,24.00,-,-1.03%
2019-02-07,24.25,24.25,24.25,24.25,-,-1.46%
2019-02-06,24.61,24.61,24.61,24.61,-,0.98%
2019-02-05,24.37,24.37,24.37,24.37,-,0.49%
2019-02-04,24.25,24.25,24.25,24.25,-,-2.22%
2019-02-01,24.80,24.80,24.80,24.80,-,1.76%
2019-01-30,24.37,24.30,24.37,24.30,0.70K,-0.08%
