Date,Price,Open,High,Low,Vol.,Change %
2020-03-06,4.16,4.18,4.25,4.14,1.82M,-0.95%
2020-03-05,4.20,4.22,4.24,4.18,1.68M,-0.47%
2020-03-04,4.22,4.12,4.34,4.12,2.19M,0.24%
2020-03-03,4.21,4.19,4.25,4.14,1.47M,0.48%
2020-03-02,4.19,4.20,4.25,4.11,4.61M,-1.18%
2020-02-28,4.24,4.17,4.28,4.08,3.77M,-0.24%
2020-02-27,4.25,4.28,4.38,4.23,2.72M,-0.70%
2020-02-26,4.28,4.20,4.33,4.20,3.20M,0.71%
2020-02-25,4.25,4.24,4.31,4.16,3.87M,-1.16%
2020-02-24,4.30,4.31,4.34,4.27,2.46M,-3.37%
2020-02-21,4.45,4.41,4.47,4.41,3.73M,-0.22%
2020-02-20,4.46,4.51,4.51,4.40,1.22M,-1.33%
2020-02-19,4.52,4.54,4.59,4.44,851.40K,0.44%
2020-02-18,4.50,4.49,4.51,4.48,556.10K,0.00%
2020-02-17,4.50,4.56,4.60,4.49,821.20K,-1.10%
2020-02-14,4.55,4.48,4.56,4.47,809.80K,0.22%
2020-02-13,4.54,4.51,4.56,4.51,841.10K,-0.22%
2020-02-12,4.55,4.54,4.57,4.54,4.01M,0.22%
2020-02-11,4.54,4.52,4.58,4.48,1.30M,0.67%
2020-02-10,4.51,4.58,4.58,4.48,1.79M,0.22%
2020-02-07,4.50,4.49,4.52,4.46,1.83M,0.22%
2020-02-06,4.49,4.47,4.53,4.46,3.71M,0.90%
2020-02-05,4.45,4.46,4.50,4.45,6.92M,-0.89%
2020-02-04,4.49,4.50,4.58,4.49,2.88M,0.00%
2020-02-03,4.49,4.46,4.52,4.46,4.22M,-1.10%
2020-01-31,4.54,4.58,4.58,4.46,4.02M,0.67%
2020-01-30,4.51,4.52,4.52,4.42,3.09M,-0.22%
2020-01-29,4.52,4.48,4.59,4.48,3.34M,0.67%
2020-01-28,4.49,4.53,4.53,4.41,1.18M,-1.97%
2020-01-24,4.58,4.57,4.58,4.57,1.70K,-0.22%
2020-01-23,4.59,4.56,4.60,4.56,2.03M,-0.22%
2020-01-22,4.60,4.64,4.64,4.58,618.60K,-1.50%
2020-01-21,4.67,4.60,4.67,4.60,3.94M,1.52%
2020-01-20,4.60,4.62,4.62,4.58,4.36M,-0.65%
2020-01-17,4.63,4.60,4.65,4.59,6.60M,0.43%
2020-01-16,4.61,4.60,4.65,4.60,6.06M,-1.50%
2020-01-15,4.68,4.70,4.70,4.66,4.84M,-0.43%
2020-01-14,4.70,4.66,4.70,4.65,7.68M,0.86%
2020-01-13,4.66,4.73,4.76,4.66,4.04M,-0.85%
2020-01-10,4.70,4.70,4.71,4.68,5.66M,0.00%
2020-01-09,4.70,4.66,4.74,4.66,4.63M,0.64%
2020-01-08,4.67,4.70,4.72,4.63,4.12M,-1.06%
2020-01-07,4.72,4.73,4.76,4.70,4.65M,0.00%
2020-01-06,4.72,4.74,4.74,4.70,3.68M,-0.42%
2020-01-03,4.74,4.70,4.78,4.69,12.31M,1.94%
2020-01-02,4.65,4.67,4.67,4.61,5.28M,0.87%
2019-12-31,4.61,4.71,4.74,4.58,2.51M,-1.91%
2019-12-30,4.70,4.68,4.73,4.67,7.26M,-0.42%
2019-12-27,4.72,4.62,4.76,4.62,2.72M,1.72%
2019-12-26,4.64,4.57,4.70,4.53,1.40M,1.75%
2019-12-24,4.56,4.59,4.60,4.49,3.13M,-0.87%
2019-12-23,4.60,4.77,4.77,4.56,5.81M,-4.56%
2019-12-20,4.82,4.55,4.82,4.55,7.83M,4.78%
2019-12-19,4.60,4.58,4.64,4.56,2.87M,-0.86%
2019-12-18,4.64,4.62,4.64,4.55,8.64M,0.43%
2019-12-17,4.62,4.60,4.62,4.47,4.56M,1.54%
2019-12-16,4.55,4.50,4.60,4.50,1.93M,-0.66%
2019-12-13,4.58,4.62,4.62,4.58,2.44M,0.00%
2019-12-12,4.58,4.50,4.62,4.50,4.46M,1.10%
2019-12-11,4.53,4.46,4.58,4.46,6.12M,-0.66%
2019-12-10,4.56,4.53,4.58,4.52,4.12M,0.66%
2019-12-09,4.53,4.50,4.58,4.48,5.81M,1.12%
2019-12-06,4.48,4.40,4.50,4.39,4.32M,1.13%
2019-12-05,4.43,4.42,4.44,4.39,2.40M,0.68%
2019-12-04,4.40,4.32,4.47,4.31,4.46M,0.23%
2019-12-03,4.39,4.39,4.44,4.36,2.54M,0.00%
2019-12-02,4.39,4.26,4.40,4.26,3.95M,0.92%
2019-11-29,4.35,4.43,4.43,4.33,3.40M,-2.03%
2019-11-28,4.44,4.43,4.46,4.43,1.62M,0.23%
2019-11-27,4.43,4.50,4.50,4.42,1.50M,-0.45%
2019-11-26,4.45,4.40,4.47,4.40,6.20M,0.00%
2019-11-25,4.45,4.49,4.49,4.42,316.50K,-0.89%
2019-11-22,4.49,4.49,4.49,4.40,2.44M,0.00%
2019-11-21,4.49,4.43,4.51,4.36,3.90M,0.90%
2019-11-20,4.45,4.45,4.47,4.43,4.98M,0.45%
2019-11-19,4.43,4.36,4.45,4.36,938.10K,0.23%
2019-11-18,4.42,4.40,4.45,4.40,1.38M,0.45%
2019-11-15,4.40,4.40,4.43,4.37,3.83M,0.00%
2019-11-14,4.40,4.40,4.43,4.34,1.54M,0.00%
2019-11-13,4.40,4.44,4.44,4.36,3.25M,-1.12%
