Date,Price,Open,High,Low,Vol.,Change %
2020-03-06,21.80,22.32,22.32,21.60,219.30K,0.37%
2020-03-05,21.72,21.60,21.92,21.60,797.30K,-0.18%
2020-03-04,21.76,21.58,21.90,21.54,716.00K,-0.73%
2020-03-03,21.92,21.70,22.04,21.70,1.32M,0.09%
2020-03-02,21.90,21.72,22.30,21.50,446.50K,0.27%
2020-02-28,21.84,21.52,22.14,21.52,2.46M,-2.24%
2020-02-27,22.34,22.74,22.74,22.24,862.20K,0.45%
2020-02-26,22.24,22.24,22.52,21.62,876.80K,0.00%
2020-02-25,22.24,22.20,22.32,22.08,956.60K,0.18%
2020-02-24,22.20,22.16,22.74,21.92,1.19M,-4.31%
2020-02-21,23.20,22.60,23.30,22.60,513.60K,1.58%
2020-02-20,22.84,23.00,23.04,22.60,345.80K,-0.78%
2020-02-19,23.02,23.42,23.42,22.80,564.90K,-0.52%
2020-02-18,23.14,23.94,23.94,22.82,1.25M,-2.53%
2020-02-17,23.74,23.54,23.80,23.54,139.60K,0.85%
2020-02-14,23.54,23.76,23.76,23.32,265.80K,0.60%
2020-02-13,23.40,24.00,24.00,23.10,308.00K,-1.27%
2020-02-12,23.70,23.70,23.78,23.52,608.00K,0.00%
2020-02-11,23.70,24.00,24.00,23.50,349.20K,0.51%
2020-02-10,23.58,24.00,24.00,23.36,687.50K,-0.08%
2020-02-07,23.60,23.56,23.78,23.20,278.30K,-0.08%
2020-02-06,23.62,23.46,23.92,23.42,417.90K,0.77%
2020-02-05,23.44,23.06,23.80,22.98,693.30K,2.45%
2020-02-04,22.88,22.66,23.18,22.64,1.32M,1.33%
2020-02-03,22.58,22.54,22.70,22.48,2.91M,-0.96%
2020-01-31,22.80,22.90,22.96,22.72,2.24M,-0.44%
2020-01-30,22.90,23.20,23.30,22.82,1.76M,-0.95%
2020-01-29,23.12,23.24,23.66,23.12,1.50M,-0.52%
2020-01-28,23.24,23.40,23.44,23.02,2.09M,-0.94%
2020-01-24,23.46,23.90,23.90,23.36,285.40K,-1.84%
2020-01-23,23.90,24.20,24.22,23.84,250.30K,-1.65%
2020-01-22,24.30,24.30,24.36,24.10,558.30K,-0.41%
2020-01-21,24.40,24.26,24.42,24.20,113.00K,0.58%
2020-01-20,24.26,24.28,24.46,24.06,294.60K,-0.57%
2020-01-17,24.40,24.40,24.48,24.28,415.40K,-0.41%
2020-01-16,24.50,24.00,24.52,23.90,557.30K,-0.33%
2020-01-15,24.58,24.62,24.66,24.56,793.10K,-0.41%
2020-01-14,24.68,24.74,24.78,24.50,368.40K,-0.24%
2020-01-13,24.74,24.70,24.86,24.60,446.60K,0.32%
2020-01-10,24.66,24.68,24.68,24.62,298.60K,-0.08%
2020-01-09,24.68,24.86,24.88,24.60,897.80K,0.73%
2020-01-08,24.50,24.52,24.90,24.20,622.40K,-1.76%
2020-01-07,24.94,24.98,25.02,24.70,308.10K,-0.16%
2020-01-06,24.98,25.32,25.32,24.80,150.10K,-0.08%
2020-01-03,25.00,25.30,25.40,24.90,1.09M,-0.40%
2020-01-02,25.10,25.30,25.36,25.04,809.40K,1.21%
2019-12-31,24.80,25.08,25.18,24.54,785.60K,-1.20%
2019-12-30,25.10,24.90,25.40,24.90,626.90K,1.21%
2019-12-27,24.80,24.40,24.86,24.40,1.01M,0.00%
2019-12-26,24.80,24.86,24.86,24.70,290.50K,0.00%
2019-12-24,24.80,24.80,25.16,24.58,625.30K,0.00%
2019-12-23,24.80,24.46,24.80,24.46,685.20K,0.81%
2019-12-20,24.60,24.50,24.76,24.30,2.27M,-0.65%
2019-12-19,24.76,24.70,24.80,24.60,448.60K,0.24%
2019-12-18,24.70,24.80,24.80,24.60,824.30K,0.41%
2019-12-17,24.60,24.72,24.76,23.60,1.36M,0.41%
2019-12-16,24.50,24.42,24.70,24.20,370.40K,-0.81%
2019-12-13,24.70,24.80,24.82,24.66,671.60K,0.00%
2019-12-12,24.70,24.48,24.80,24.48,734.30K,0.41%
2019-12-11,24.60,24.26,24.68,24.26,1.30M,0.41%
2019-12-10,24.50,24.98,24.98,24.32,1.09M,-1.29%
2019-12-09,24.82,24.30,25.02,24.30,2.15M,2.73%
2019-12-06,24.16,23.76,24.24,23.76,999.40K,1.77%
2019-12-05,23.74,23.60,23.84,23.58,735.10K,0.85%
2019-12-04,23.54,23.38,23.54,23.30,1.68M,0.17%
2019-12-03,23.50,23.50,23.68,23.28,1.68M,-1.01%
2019-12-02,23.74,23.20,23.76,23.14,1.10M,1.71%
2019-11-29,23.34,23.74,23.74,23.12,892.20K,0.17%
2019-11-28,23.30,23.74,23.74,23.30,446.40K,-0.85%
2019-11-27,23.50,23.78,23.78,23.36,246.00K,-0.84%
2019-11-26,23.70,23.98,23.98,22.84,2.38M,-0.34%
2019-11-25,23.78,23.80,23.82,23.48,513.00K,-0.08%
2019-11-22,23.80,23.70,23.86,23.08,1.50M,0.42%
2019-11-21,23.70,23.98,24.00,23.32,1.49M,0.42%
2019-11-20,23.60,22.66,23.66,22.64,2.67M,4.89%
2019-11-19,22.50,22.34,22.58,22.34,983.90K,-0.18%
2019-11-18,22.54,22.20,22.60,22.20,462.70K,0.63%
2019-11-15,22.40,22.40,22.54,22.26,1.99M,-0.53%
2019-11-14,22.52,21.96,22.68,21.86,789.70K,1.44%
2019-11-13,22.20,22.40,22.42,22.16,940.70K,-0.72%
2019-11-12,22.36,22.48,22.60,22.30,2.73M,0.72%
2019-11-11,22.20,22.50,22.64,21.46,932.20K,-1.42%
2019-11-08,22.52,22.50,22.80,22.50,634.90K,-1.75%
2019-11-07,22.92,22.44,22.92,22.32,1.45M,2.69%
2019-11-06,22.32,22.32,22.36,22.26,1.32M,0.18%
2019-11-05,22.28,22.16,22.38,22.04,2.80M,1.36%
2019-11-04,21.98,21.76,22.04,21.74,4.41M,1.29%
2019-11-01,21.70,21.80,21.82,21.62,1.64M,0.18%
2019-10-31,21.66,21.70,21.80,21.60,2.27M,0.65%
2019-10-30,21.52,21.68,21.68,21.46,587.90K,-0.28%
2019-10-29,21.58,21.68,21.70,21.48,1.28M,-0.09%
2019-10-25,21.60,21.60,21.62,21.54,206.80K,0.00%
2019-10-24,21.60,21.96,22.08,21.40,388.60K,-0.46%
2019-10-23,21.70,21.84,21.84,21.46,165.20K,-0.18%
2019-10-22,21.74,21.70,21.74,21.62,1.17M,0.56%
2019-10-21,21.62,21.40,21.62,21.40,650.20K,0.56%
2019-10-18,21.50,21.52,21.80,21.50,623.30K,-0.56%
2019-10-17,21.62,21.54,21.82,21.52,601.50K,-0.28%
2019-10-16,21.68,21.64,21.84,21.50,692.30K,0.84%
2019-10-15,21.50,21.48,21.70,21.36,1.03M,0.37%
2019-10-14,21.42,21.38,21.54,21.34,494.40K,0.09%
2019-10-11,21.40,21.22,21.54,21.22,803.50K,-0.19%
2019-10-10,21.44,21.28,21.46,21.26,2.70M,0.66%
2019-10-09,21.30,21.36,21.38,21.06,2.79M,-0.19%
2019-10-08,21.34,21.28,21.78,21.10,1.95M,0.76%
2019-10-07,21.18,21.24,21.44,20.90,1.98M,-0.28%
2019-10-04,21.24,22.90,22.90,21.00,2.98M,-6.76%
2019-10-03,22.78,22.96,22.96,22.68,1.19M,-0.61%
2019-10-02,22.92,23.00,23.22,22.74,1.40M,-1.12%
2019-10-01,23.18,22.96,23.36,22.96,837.50K,0.43%
2019-09-30,23.08,23.08,23.10,22.80,315.20K,0.44%
