Date,Price,Open,High,Low,Vol.,Change %
2020-03-06,4.87,4.75,4.88,4.75,2.09M,0.62%
2020-03-05,4.84,4.78,4.87,4.78,5.22M,0.21%
2020-03-04,4.83,4.79,4.84,4.75,3.20M,0.42%
2020-03-03,4.81,4.80,4.84,4.74,3.35M,1.69%
2020-03-02,4.73,4.80,4.95,4.72,9.22M,-4.64%
2020-02-28,4.96,4.90,4.99,4.86,10.30M,-0.80%
2020-02-27,5.00,5.02,5.04,4.92,2.69M,-0.40%
2020-02-26,5.02,4.82,5.04,4.78,3.88M,1.21%
2020-02-25,4.96,4.86,5.01,4.82,2.08M,1.22%
2020-02-24,4.90,4.70,4.94,4.70,4.09M,-2.97%
2020-02-21,5.05,5.17,5.17,5.00,2.55M,-1.17%
2020-02-20,5.11,5.09,5.18,5.01,2.09M,0.79%
2020-02-19,5.07,5.19,5.19,5.05,1.96M,-2.31%
2020-02-18,5.19,5.21,5.21,5.15,4.16M,-0.38%
2020-02-17,5.21,5.20,5.26,5.07,2.17M,-1.51%
2020-02-14,5.29,5.22,5.29,5.22,3.13M,1.34%
2020-02-13,5.22,5.21,5.22,5.19,752.70K,0.19%
2020-02-12,5.21,5.20,5.21,5.18,4.58M,0.00%
2020-02-11,5.21,5.17,5.26,5.17,2.44M,0.77%
2020-02-10,5.17,5.21,5.22,5.15,4.30M,-0.96%
2020-02-07,5.22,5.20,5.22,5.16,2.96M,0.58%
2020-02-06,5.19,5.12,5.19,5.12,5.64M,1.76%
2020-02-05,5.10,5.10,5.11,4.98,6.96M,0.39%
2020-02-04,5.08,5.02,5.10,5.01,6.24M,1.80%
2020-02-03,4.99,4.95,5.07,4.84,5.31M,-1.58%
2020-01-31,5.07,4.93,5.15,4.93,17.34M,1.40%
2020-01-30,5.00,4.95,5.01,4.84,6.68M,0.20%
2020-01-29,4.99,4.99,5.06,4.98,9.70M,0.00%
2020-01-28,4.99,5.13,5.13,4.93,14.40M,-5.49%
2020-01-24,5.28,5.28,5.29,5.26,226.70K,-0.19%
2020-01-23,5.29,5.30,5.30,5.28,3.84M,-0.38%
2020-01-22,5.31,5.28,5.35,5.28,7.15M,0.19%
2020-01-21,5.30,5.33,5.35,5.29,5.95M,0.38%
2020-01-20,5.28,5.30,5.32,5.27,2.83M,-0.56%
2020-01-17,5.31,5.27,5.33,5.27,7.61M,0.19%
2020-01-16,5.30,5.25,5.35,5.25,4.20M,0.00%
2020-01-15,5.30,5.32,5.36,5.23,4.00M,0.00%
2020-01-14,5.30,5.37,5.41,5.22,3.19M,-2.21%
2020-01-13,5.42,5.45,5.45,5.40,1.25M,-0.55%
2020-01-10,5.45,5.41,5.45,5.37,1.31M,0.00%
2020-01-09,5.45,5.40,5.48,5.40,2.49M,0.37%
2020-01-08,5.43,5.46,5.46,5.36,4.28M,-0.91%
2020-01-07,5.48,5.40,5.49,5.37,6.24M,1.86%
2020-01-06,5.38,5.49,5.49,5.35,1.72M,-2.18%
2020-01-03,5.50,5.52,5.52,5.47,5.21M,0.00%
2020-01-02,5.50,5.45,5.52,5.45,6.23M,0.92%
2019-12-31,5.45,5.47,5.50,5.41,4.06M,-1.98%
2019-12-30,5.56,5.49,5.63,5.44,10.28M,1.83%
2019-12-27,5.46,5.37,5.48,5.34,4.17M,1.30%
2019-12-26,5.39,5.40,5.40,5.38,1.11M,0.37%
2019-12-24,5.37,5.42,5.42,5.32,663.50K,-0.37%
2019-12-23,5.39,5.40,5.44,5.38,2.18M,0.75%
2019-12-20,5.35,5.30,5.40,5.25,5.76M,0.00%
2019-12-19,5.35,5.27,5.37,5.27,2.14M,-0.37%
2019-12-18,5.37,5.40,5.40,5.34,7.10M,0.37%
2019-12-17,5.35,5.40,5.40,5.14,2.78M,0.38%
2019-12-16,5.33,5.25,5.37,5.25,2.39M,0.00%
2019-12-13,5.33,5.32,5.45,5.32,5.26M,0.57%
2019-12-12,5.30,5.25,5.32,5.25,10.62M,0.00%
2019-12-11,5.30,5.24,5.31,5.20,13.52M,0.38%
2019-12-10,5.28,5.30,5.32,5.28,5.22M,-0.38%
2019-12-09,5.30,5.29,5.32,5.25,7.31M,0.38%
2019-12-06,5.28,5.10,5.30,5.10,7.03M,2.52%
2019-12-05,5.15,5.07,5.15,5.07,7.59M,1.58%
2019-12-04,5.07,5.02,5.14,4.96,2.49M,-0.98%
2019-12-03,5.12,5.14,5.14,5.10,3.81M,0.00%
2019-12-02,5.12,4.98,5.14,4.98,4.03M,2.81%
2019-11-29,4.98,5.05,5.07,4.90,3.62M,-1.39%
2019-11-28,5.05,5.05,5.11,5.05,2.02M,-0.98%
2019-11-27,5.10,5.03,5.11,5.03,2.32M,1.59%
2019-11-26,5.02,5.03,5.15,5.02,9.98M,-1.57%
2019-11-25,5.10,5.12,5.14,5.09,886.00K,-0.78%
2019-11-22,5.14,5.11,5.14,5.09,3.44M,0.59%
2019-11-21,5.11,5.14,5.14,5.04,5.63M,-0.58%
2019-11-20,5.14,5.15,5.17,5.13,5.52M,0.00%
2019-11-19,5.14,5.15,5.15,5.11,6.73M,0.19%
2019-11-18,5.13,5.14,5.15,5.10,3.42M,0.39%
2019-11-15,5.11,5.10,5.12,5.09,7.69M,0.20%
2019-11-14,5.10,5.10,5.11,5.08,7.11M,-0.39%
2019-11-13,5.12,5.15,5.15,5.02,23.42M,-0.58%
2019-11-12,5.15,5.00,5.18,4.99,14.22M,3.41%
2019-11-11,4.98,4.98,5.00,4.97,4.38M,-0.20%
2019-11-08,4.99,4.93,5.00,4.93,4.36M,0.40%
2019-11-07,4.97,4.91,4.97,4.91,4.16M,-0.40%
2019-11-06,4.99,5.03,5.03,4.91,3.06M,-0.80%
2019-11-05,5.03,5.03,5.04,4.99,6.34M,0.60%
2019-11-04,5.00,4.94,5.05,4.90,7.71M,1.83%
2019-11-01,4.91,4.89,4.98,4.85,1.35M,0.00%
2019-10-31,4.91,4.76,4.94,4.76,4.18M,1.87%
2019-10-30,4.82,4.90,4.90,4.76,1.95M,-1.83%
2019-10-29,4.91,4.73,4.91,4.73,3.52M,2.29%
2019-10-25,4.80,4.75,4.84,4.70,2.63M,1.69%
2019-10-24,4.72,4.72,4.80,4.70,1.97M,-1.67%
2019-10-23,4.80,4.70,4.81,4.66,4.57M,1.05%
2019-10-22,4.75,4.77,4.82,4.70,2.90M,-1.45%
2019-10-21,4.82,4.83,4.84,4.75,646.80K,0.21%
2019-10-18,4.81,4.87,4.87,4.79,1.31M,-1.23%
2019-10-17,4.87,4.75,4.88,4.75,948.40K,1.46%
2019-10-16,4.80,4.76,4.82,4.74,1.35M,-1.03%
2019-10-15,4.85,4.80,4.88,4.80,1.01M,1.04%
2019-10-14,4.80,4.65,4.84,4.65,935.20K,3.90%
2019-10-11,4.62,4.60,4.64,4.58,2.15M,0.43%
2019-10-10,4.60,4.67,4.70,4.55,1.65M,-1.08%
2019-10-09,4.65,4.69,4.70,4.63,881.40K,-1.06%
2019-10-08,4.70,4.74,4.84,4.68,1.90M,0.00%
2019-10-07,4.70,4.76,4.77,4.68,658.20K,-0.63%
2019-10-04,4.73,4.71,4.79,4.71,2.34M,0.64%
2019-10-03,4.70,4.70,4.77,4.67,2.21M,-1.05%
2019-10-02,4.75,4.78,4.84,4.75,832.10K,-1.66%
