objectid,country,name,company,group_comp,subgroup,groupid,type,area_ha,source,last_updat,gfwid,cert_stat,globalid,shape_Length,shape_Area,globalid1
15125,CMR,CDC Plantation, , , , , ,1074.32,Varies,2014,370870e1-2b96-4ca5-aee0-ff12c134ea8f,,{36B4EEE6-6DEF-4AD1-83DB-C87A522D02BA},23585.8512326285,10877034.0920716,{36B4EEE6-6DEF-4AD1-83DB-C87A522D02BA}
15126,CMR,CDC Plantation, , , , , ,401.715,Varies,2014,c0669565-c890-4020-86a3-94063c7db10e,,{AB9B3A36-1C0E-4C53-89EE-D9C0808DF88F},8197.63250454498,4066944.96521706,{AB9B3A36-1C0E-4C53-89EE-D9C0808DF88F}
15127,CMR,Ferme suisse, , , , , ,4223.68,Varies,2014,d6a05d15-009c-4d62-9fb7-a4673d54f046,,{3CD43688-C220-451B-89A3-9CDBFF0E8DC8},30747.4705981097,42689728.0499276,{3CD43688-C220-451B-89A3-9CDBFF0E8DC8}
15128,CMR,Socapalm, , , , , ,5823.61,Varies,2014,72a1a7d5-3f75-43a6-9d28-e365d6839765,,{0443CFF8-E0A9-4BC2-9B6F-E67D69BC7208},36847.4879594992,58814894.8798692,{0443CFF8-E0A9-4BC2-9B6F-E67D69BC7208}
15129,CMR,Socapalm, , , , , ,16321.9,Varies,2014,e54652eb-7893-4f30-81d9-1ef911982fef,,{1494726D-48B4-4C13-AE76-7F2447C1747D},71582.5691854357,164807087.96139,{1494726D-48B4-4C13-AE76-7F2447C1747D}
15130,CMR,unknown, , , , , ,1470.66,Varies,2014,56f22fcd-d5f8-4a7b-99a6-e887ba66e7f7,,{2345A650-2823-4387-B430-F5D2378C6B38},16413.565177315,14876569.4426135,{2345A650-2823-4387-B430-F5D2378C6B38}
15131,CMR,Socapalm, , , , , ,1696.55,Varies,2014,91ae5170-dfd5-4365-850f-ec34292848a4,,{2330B551-48EE-4DDF-AF3D-8C2C18078BBD},24803.7879477989,17152597.9859413,{2330B551-48EE-4DDF-AF3D-8C2C18078BBD}
15132,CMR,Socapalm, , , , , ,1698.41,Varies,2014,d909ab24-e41b-4902-af90-3634028b034a,,{30453918-CA37-4223-818C-3ACA2D455007},19427.9654310242,17170492.8980619,{30453918-CA37-4223-818C-3ACA2D455007}
15133,CMR,unknown, , , , , ,3307.16,Varies,2014,b44a81f6-bc66-40f7-8c14-dfdd8e4aac3b,,{EA6473D1-8FBF-42AD-B2AD-9CDAAAECEE5E},27372.898704529,33443295.3473997,{EA6473D1-8FBF-42AD-B2AD-9CDAAAECEE5E}
15134,CMR,unknown, , , , , ,3017.85,Varies,2014,3ac2b779-8944-4923-8c17-e8fc87a3c7b1,,{2BBD610E-6592-48CA-AE7B-830E06B7937C},40487.596876482,30518569.6315061,{2BBD610E-6592-48CA-AE7B-830E06B7937C}
15135,CMR,Socapalm, , , , , ,5105.18,Varies,2014,7b8f55d9-1587-4a11-9877-6e76abe130a2,,{E4B00DED-EFB5-4AAB-B476-473A6A433D0F},43475.2354224952,51598539.976462,{E4B00DED-EFB5-4AAB-B476-473A6A433D0F}
15136,CMR,unknown, , , , , ,2180.85,Varies,2014,9f8aeb19-2f3d-47e0-8613-05ebe771fa82,,{961F1E0C-A799-4350-A812-3FE1B930CCCB},26828.7898293215,22053264.817107,{961F1E0C-A799-4350-A812-3FE1B930CCCB}
15137,CMR,Socapalm, , , , , ,1873.6,Varies,2014,09b06940-12f3-4980-879e-246a6b0a5020,,{2529C6C4-ECFE-4296-8187-70E1F0495AF5},31084.7134964167,18936206.0934159,{2529C6C4-ECFE-4296-8187-70E1F0495AF5}
15138,CMR,unknown, , , , , ,3813.47,Varies,2014,3c7e530a-973f-4243-9703-f8de3663e8d1,,{46F9A484-DEFC-4648-A86D-51967A38EBFE},43587.9470047002,38558008.7244891,{46F9A484-DEFC-4648-A86D-51967A38EBFE}
15139,CMR,G.S.K. Station, , , , , ,1553.29,Varies,2014,857a2062-d982-4480-ba53-4423bd8989f6,,{6858C8E5-5533-4896-8A4D-1EF95E0C15B7},16774.1351386116,15769318.7652533,{6858C8E5-5533-4896-8A4D-1EF95E0C15B7}
15140,CMR,P.A.M.O.L. Plantation, , , , , ,5427.33,Varies,2014,eee3929e-5c39-4151-a8c5-e5c5139fb92d,,{078BE669-9CAF-4D44-BBB4-F828E8A6EE8E},36111.8144295419,55093605.1708275,{078BE669-9CAF-4D44-BBB4-F828E8A6EE8E}
15141,CMR,PHP, , , , , ,2128.17,Varies,2014,ddbbd6c8-b36e-487f-a710-af67d74f5e00,,{376E2BAA-AB60-4B61-B52D-F66524D9AF33},36695.2660977219,21590022.4839562,{376E2BAA-AB60-4B61-B52D-F66524D9AF33}
15142,CMR,PHP, , , , , ,2653.38,Varies,2014,5244c1c9-8ba4-498e-b4a1-b1094d09edda,,{572DE5A5-8C76-4EE1-B42B-C4672E9710CF},25954.6722005154,26911287.6161875,{572DE5A5-8C76-4EE1-B42B-C4672E9710CF}
