objectid,rspomember,mill,certunit,icletdate,icdate,admin0,digitizer,source,shape_Length,shape_Area,globalid
1,Golden Agri-Resources Ltd,Muara Kandis, ,"July 25, 2013","May 18, 2015",Indonesia,U of Wisconsin,IC,113439.010671783,109038101.523957,{612E6E37-81E6-4E03-ACD9-4133163C17C6}
2,PT Inti Indosawit Subur,Tanjung Selamat, ,"November 5, 2014","May 26, 2015",Indonesia,U of Wisconsin,IC,72883.091793363,79084968.1033909,{256850E4-3F9F-43D1-A3C6-08BAB629C4D4}
3,Kuala Lumpur Kepong Berhad,PT Steelindo Wahana Perkasa, ,"August 28, 2013","January 6, 2015",Indonesia,U of Wisconsin,IC,151631.212664939,188765565.476266,{9F5F4DB5-5896-4D20-806C-FAEAD359F3F3}
4,PT Berkat Sawit Sejati,Guntung Idamnusa, ,"February 12, 2015","June 1, 2015",Indonesia,U of Wisconsin,IC,73173.1067743415,138621336.847111,{A23E2C41-9A7F-4796-A7D9-7AF9C4B0468E}
5,Golden Agri-Resources Ltd,Bukit Perak, ,"December 2, 2014","September 23, 2015",Indonesia,U of Wisconsin,ASA 0,79389.5859157065,60330077.9126203,{6F8328D0-9584-4885-BB13-E75069EC3691}
6,PT Inti Indosawit Subur,Gunung Melayu I, ,"November 15, 2014","September 7, 2015",Indonesia,U of Wisconsin,IC,44695.4081307009,18762292.5936107,{4A7F5D46-B0BB-486A-9FE4-3AFBE9C471F8}
7,Golden Agri-Resources Ltd,Kenanga, ,"October 9, 2014","October 1, 2015",Indonesia,U of Wisconsin,IC,44306.4896099678,71667807.7754246,{F17DA789-65E0-4BBA-A613-53615BEDC30C}
8,Golden Agri-Resources Ltd,Pangkalan Panji, ,"October 3, 2014","September 8, 2015",Indonesia,U of Wisconsin,IC,70420.1939090437,32968268.8955127,{E32FDB52-E79A-4531-A7CE-FBDB70036EFE}
9,PT PP London Sumatra Indonesia Tbk,Belani Elok, ,"May 12, 2014","September 18, 2015",Indonesia,U of Wisconsin,IC,167779.552415705,171993375.381038,{6A24CB39-AA08-4320-B58D-2A45998891DE}
10,Golden Agri-Resources Ltd,Bumi Sawit, ,"October 6, 2014","October 9, 2015",Indonesia,U of Wisconsin,IC,75009.3817309966,82615678.3478617,{0BA95DEB-7A8C-4CF3-82B1-2433ECC4E995}
11,Socfin Group (PT Socfindo and Socfinco SA),Seumanyam, ,"September 15, 2014","October 17, 2015",Indonesia,U of Wisconsin,IC,53109.8290645052,52359984.1585955,{9F21950A-07E9-4E2F-B370-960DB8B8B978}
12,PT Perkebunan Nusantara III,Sisumut, ,"October 11, 2011","October 15, 2015",Indonesia,U of Wisconsin,IC,85514.0346435103,96809451.6604336,{014F7AB7-6AA5-455A-A625-4F5EFA5B699B}
13,MP Evans Group PLC,Benua Puhun, ,"August 15, 2013","June 26, 2014",Indonesia,U of Wisconsin,IC,216592.459672615,175904297.212996,{5FA93BA5-800C-49A7-9E7C-2859E137F9A0}
14,Sime Darby Plantation Sdn Bhd,Blang Simpo, ,"April 29, 2011","May 3, 2013",Indonesia,U of Wisconsin,ASA 1,48360.2954927272,51161022.8861083,{85FBEDE2-7244-4501-A4BB-A172D0CB45B3}
15,PT Ivo Mas Tunggal,Bumi Palma, ,"June 20, 2013","March 25, 2014",Indonesia,U of Wisconsin,IC,103401.595529962,73721100.4932828,{9D744292-76E4-4003-A8AB-1807B276D0F0}
16,PT Ivo Mas Tunggal,Indrasakti, ,no letter,"December 4, 2013",Indonesia,U of Wisconsin,IC,272805.434884546,169979691.421737,{B3EA6690-485E-4071-8DD3-B2C30713D806}
17,PT Swakarsa Sinarsentosa,PT Swakarsa Sinarsentosa, ,"May 9, 2012","January 10, 2013",Indonesia,U of Wisconsin,ASA 1,73674.0589563013,176432329.663066,{226F682D-2D61-4445-8C67-B28221C567B8}
18,Wilmar International Ltd,PT Kerry Sawit Indonesia Mill 1 & 2, ,"November 2, 2010","June 18, 2011",Indonesia,U of Wisconsin,ASA 2,64435.4851021919,192260945.339203,{CF56C7A8-E620-4B97-81BE-B244D4EA765A}
19,Kuala Lumpur Kepong Berhad,Mandau, ,"March 16, 2011","October 19, 2012",Indonesia,U of Wisconsin,ASA 1,46272.3154415119,92268426.881406,{7B216DE6-FCDE-48FE-B616-E2E7855D8D34}
20,Sime Darby Plantation Sdn Bhd,Mustika, ,"February 6, 2013","July 3, 2013",Indonesia,U of Wisconsin,IC,129808.423002282,40325224.5708851,{5E9C077C-BBB1-45C5-96EB-C27C84589D36}
21,Kuala Lumpur Kepong Berhad,Nilo 1, ,"April 23, 2013","May 14, 2014",Indonesia,U of Wisconsin,IC,49439.9121238844,71649018.5373919,{A75B1573-4B1B-410A-B7CD-597FA1323653}
22,Wilmar International Ltd,PT Agronusa Investama (Sambas), ,"April 24, 2011","April 22, 2013",Indonesia,U of Wisconsin,IC,75585.7372795175,139505526.777982,{1F66C7CC-D4F9-46F0-AF06-999716E5EAD4}
23,Kuala Lumpur Kepong Berhad,Tapung Kanan, ,"November 14, 2012","April 24, 2013",Indonesia,U of Wisconsin,ASA 1,92852.2279511218,81056032.9351497,{A6D2AF73-E392-4EA8-95A6-832A95CD2F3F}
24,PT Smart TBK,Semilar, ,"December 27, 2012","July 22, 2013",Indonesia,U of Wisconsin,IC,59316.0761376006,166408678.93164,{2C4882CC-E9C6-4065-B0E7-89486FCA3A12}
25,Golden Agri-Resources Ltd,Sungai Rungau, ,"November 14, 2012","August 26, 2013",Indonesia,U of Wisconsin,IC,97761.4452523633,202900111.916038,{C1DF6C5E-95F5-4580-A9F4-851DE34E8AC7}
