country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Alor / Mali,ws-973200,-8.21,124.56,1-01-2010,29.1,32.2,25,1007.3,84,0,12.7,10,29.4,-, , ,o, 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,2-01-2010,28.7,31.6,24.4,1008.1,80,0,13.2,7.2,18.3,-, , ,o, 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,3-01-2010,27.8,32.4,24.3,1008.2,84,0.51,12.9,11.7,18.3,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,4-01-2010,27.2,30.8,23.6,1007.8,87,-,12.6,2.2,13,-,o, ,o, 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,5-01-2010,25.8,27.8,23.8,1008.3,96,67.82,9.7,3.5,9.4,-,o, ,o, 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,6-01-2010,27.1,29.6,23,1009,87,32,10.5,4.6,13,-,o, ,o, 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,7-01-2010,28,31,23.2,1008.9,83,6.1,11.6,10,24.1,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,8-01-2010,28.1,31,25.1,1009.1,82,-,13,7.4,14.8,-,o, ,o, 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,9-01-2010,27.4,32.2,23.6,1009.3,85,2.03,13.2,4.8,18.3,-,o, ,o, 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,10-01-2010,28.2,30.7,26.4,1008.8,83,0,12.4,12,18.3,-, , , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,11-01-2010,29,32.8,23,1008.5,76,0,13.4,15.9,68.3,-, , , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,12-01-2010,28.3,31.2,22.6,1008.5,83,0.76,14.2,5.6,18.3,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,13-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Alor / Mali,ws-973200,-8.21,124.56,14-01-2010,26.9,30.4,23.8,1010.8,86,17.02,10,13.5,25.9,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,15-01-2010,27.3,34.5,23.4,1010.3,89,3.05,10.8,11.5,33.5,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,16-01-2010,26.3,30.2,24,1010.2,88,11.18,10,9.1,20.6,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,17-01-2010,27.7,29.6,23,1010.4,84,0.51,14,9.3,14.8,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,18-01-2010,27.1,28.9,23.2,1010.4,89,1.52,10.9,5.9,16.5,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,19-01-2010,27.6,30.2,23.4,1010.6,89,3.3,11.7,4.1,11.1,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,20-01-2010,27,30,25.7,1011.6,88,0.25,12.1,4.4,11.1,-,o, , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,21-01-2010,27.3,29.8,23,1011.2,90,5.08,-,6.1,9.4,-,o, ,o, 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,22-01-2010,28.5,30.8,24.6,1011.5,82,0,13.7,9.3,18.3,-, , , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,23-01-2010,28.2,31.4,23.4,1011.2,81,0,12.6,6.3,13,-, , , , 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,24-01-2010,27.9,30.6,24,1011,85,1.02,12.2,8.9,18.3,-,o, ,o, 
indonesia,Alor / Mali,ws-973200,-8.21,124.56,25-01-2010,28.9,32.6,22.9,1010.5,83,0,13,8.7,-,-, , , , 
