country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,1-01-2010,26.9,32.8,24.2,1006.6,83,4.06,8.4,7.8,14.8,-,o, ,o, 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,2-01-2010,27.7,32.2,24.2,1007.6,79,0,9,6.5,11.1,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,3-01-2010,29.3,32,25,1006.9,72,0,8.4,8.5,13,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,4-01-2010,28.9,32.2,23.2,1006.2,73,0,8.9,8.5,13,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,5-01-2010,29.3,31.7,26.1,1006.7,68,0,10,10.6,18.3,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,6-01-2010,25.9,27.9,24.1,1007.9,83,1.78,7.7,8,13,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,7-01-2010,26.4,30.9,23.7,1007.7,84,4.32,9,7.6,18.3,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,8-01-2010,26.5,29.8,24,1008.6,84,4.06,8.2,4.3,9.4,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,9-01-2010,27.1,30.6,23.8,1008.1,77,0,8.9,5.9,11.1,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,10-01-2010,26.5,31.1,23.6,1008.2,83,3.05,7.7,8.9,20.6,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,11-01-2010,26.5,31.4,23.6,1007.6,87,2.03,8,10.2,18.3,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,12-01-2010,27.1,31.3,23.3,1007.6,81,27.94,8.2,7.4,14.8,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,13-01-2010,26.6,28.8,23.6,1009.2,84,0,8.9,4.8,11.1,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,14-01-2010,27.4,30.4,23.8,1009.5,80,0,9,5,9.4,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,15-01-2010,25.4,31,23.3,1009.3,89,9.91,7.7,6.9,14.8,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,16-01-2010,26.4,29.9,23.6,1009.3,85,13.97,8.7,4.4,5.4,-,o, ,o, 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,17-01-2010,25.4,30.2,23.3,1009.8,88,8.64,8,4.4,7.6,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,18-01-2010,27.3,30.6,23.3,1009.7,83,0,8.9,5.6,16.5,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,19-01-2010,27.2,31.4,24.4,1010.2,77,0,9.7,5.7,13,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,20-01-2010,27.5,29.6,23.9,1010.7,77,0.76,8.4,7.4,13,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,21-01-2010,26.7,31.1,23.8,1010.3,85,2.54,8.9,4.3,11.1,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,22-01-2010,27.3,30,23.3,1010.7,81,0,9.5,5.2,13,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,23-01-2010,27.8,32.4,23.6,1010.3,76,0,9.2,6.1,11.1,-, , ,o, 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,24-01-2010,27.6,32.8,23.6,1009.2,81,5.08,9.2,5,13,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,25-01-2010,27.4,31.4,24.4,1009.8,80,7.11,8.7,9.1,18.3,-, , ,o, 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,26-01-2010,28.1,31.6,24.5,1009.3,77,0,8.9,6.7,11.1,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,27-01-2010,28.4,31,24.8,1009.7,74,0,10.3,8.5,13,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,28-01-2010,27.6,31.6,24.4,1009.2,77,12.19,8.7,8.5,14.8,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,29-01-2010,28.3,31.4,24.2,1008.9,78,8.89,8.2,10.2,14.8,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,30-01-2010,28.8,31.5,24.7,1009.2,75,0,9.3,8.5,13,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,31-01-2010,28.1,32.2,24.5,1009.4,78,0,8.7,5.6,11.1,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,1-02-2010,28.5,32.1,25.2,1008.5,76,0,9.2,7.4,16.5,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,2-02-2010,27.2,30.5,25.3,1008.9,79,8.13,8.4,11.9,22.2,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,3-02-2010,27.9,31.1,23.5,1009.6,72,0,9.2,7.6,13,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,4-02-2010,27.6,32.5,23.3,1010.1,76,0,9.2,5.7,16.5,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,5-02-2010,27.7,32.2,23.2,1010.8,79,0,8.5,7.6,16.5,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,6-02-2010,27.4,33.5,23.5,1010.9,81,3.05,9.2,6.1,11.1,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,7-02-2010,27.8,32.3,23.6,1011.7,76,0,9.2,6.5,13,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,8-02-2010,27.9,31.4,23.3,1010.8,72,0,9.5,9.3,16.5,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,9-02-2010,28.4,32.8,23.2,1010.8,65,0,9.3,10.4,16.5,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,10-02-2010,27.6,33,23.4,1010.5,74,0,9.8,7.6,14.8,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,11-02-2010,27.4,33.3,23.5,1010.7,81,0,8.7,6.3,16.5,-,o, , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,12-02-2010,27.2,31.6,23.7,1009.6,83,0,9.2,5.7,13,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,13-02-2010,28.2,32.7,24,1008.8,79,0,9,6.9,13,-, , , , 
indonesia,Ambon / Pattimura,ws-977240,-3.7,128.08,14-02-2010,28.2,32.5,24,1008.8,78,0,9.5,6.3,16.5,-, , , , 
