country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,1-01-2010,28.8,32.2,24.6,1008,78,0,8.2,5.9,20.6,-, , ,o, 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,2-01-2010,29.7,32.4,25.4,1008.4,78,0,8,8.1,27.8,-, , , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,3-01-2010,29.9,32.8,25.4,1008.1,76,0,7.9,7.2,20.6,-,o, , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,4-01-2010,30.4,33.2,26.2,1007.7,74,0,8.7,9.4,18.3,-, , , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,5-01-2010,29.1,32.8,23.9,1007.8,78,0,8.5,8,18.3,-, , ,o, 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,6-01-2010,28.2,32.2,23.6,1009.1,79,5.08,8,7.6,14.8,-,o, ,o, 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,7-01-2010,26.1,31,20.8,1009.3,86,44.96,6.4,6.5,20.6,-,o, ,o, 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,8-01-2010,27.2,30.6,23.8,1009.1,84,18.29,7.4,8.9,22.2,-,o, , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,9-01-2010,26.8,30.7,24.4,1009.8,84,14.99,6.9,6.3,20.6,-,o, ,o, 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,10-01-2010,26.6,31,23.6,1009.7,86,16,7.4,6.7,14.8,-,o, ,o, 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,11-01-2010,27.5,31,24.6,1009.3,82,1.02,7.9,3.7,14.8,-,o, ,o, 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,12-01-2010,28.4,32,24.8,1008.6,76,12.95,8,10.7,18.3,-,o, , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,13-01-2010,26.8,29.7,24.4,1009.5,85,44.2,7.4,8.9,14.8,-,o, , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,14-01-2010,28.3,31.8,24.6,1009.4,79,3.05,7.4,17.6,37,-,o, , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,15-01-2010,28,29.6,25.2,1009.6,79,0,8.5,15.2,27.8,-, , , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,16-01-2010,28.1,31.5,25.2,1009.3,81,4.06,8.5,10.7,27.8,-, , ,o, 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,17-01-2010,28.7,31.4,25.6,1010.1,78,0,7.7,4.3,11.1,-, , , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,18-01-2010,27.6,31.6,24.8,1010.5,80,5.84,8.7,3.7,11.1,-, , , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,19-01-2010,26.7,31.6,23.8,1011.4,85,9.14,7.6,6.5,18.3,-,o, , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,20-01-2010,28.8,32,24.2,1011.9,76,0,10,6.1,14.8,-, , , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,21-01-2010,27.8,31.6,24.6,1011.1,78,0,9.3,8.3,18.3,-, , , , 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,22-01-2010,28.4,33.2,24.8,1011.4,76,3.05,8.7,14.3,55.4,-,o, ,o, 
indonesia,Ampenan / Selaparang,ws-972400,-8.53,116.06,23-01-2010,29.2,31.4,21.8,1011,75,-,9.8,7.6,13,-,o, , , 
