country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,BITUNG,ws-970160,1.43,125.18,1-01-2010,29.3,33.8,25.4,1007.5,75,-,12.9,1.1,5.4,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,2-01-2010,28.9,33.8,25.2,1008.3,73,-,13.7,1.3,7.6,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,3-01-2010,29.9,34,24.6,1008.3,70,0,13.2,1.9,7.6,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,4-01-2010,29.7,34,24.8,1007.4,66,0,14.2,3,9.4,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,5-01-2010,27.1,33.2,25,1008.2,81,15.75,11.7,2.6,11.1,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,6-01-2010,26.9,33,24.2,1009.1,82,10.16,9.7,1.5,5.4,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,7-01-2010,26.4,32.1,24.1,1009,82,13.97,10.9,2.4,11.1,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,8-01-2010,28.6,31.1,24,1008.5,77,0,12.9,1.7,7.6,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,9-01-2010,28.4,32.2,24.7,1008.6,78,0,12.7,0.6,3.5,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,10-01-2010,28.4,32.7,25.3,1008.9,73,0,12.2,3.7,14.8,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,11-01-2010,28.9,32.3,25.2,1008.5,66,2.03,11.7,17.4,29.4,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,12-01-2010,29,32.6,25.8,1008.4,69,0,10.3,14.1,29.4,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,13-01-2010,28.2,32.2,22.6,1009.8,74,0.51,12.1,7.2,14.8,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,14-01-2010,27.7,31.6,24.6,1010,78,2.03,12.1,1.3,9.4,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,15-01-2010,26.9,32,24.4,1009.8,85,15.24,11.4,0.2,1.9,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,16-01-2010,28.9,32.6,24.4,1009.5,70,0,12.7,6.1,14.8,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,17-01-2010,27.5,29.2,25.3,1010.2,82,0,11.1,0,-,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,18-01-2010,29.3,33.3,24.9,1010.2,75,0,12.6,7.2,13,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,19-01-2010,28.8,32.6,25,1011.4,75,6.1,12.7,5.4,16.5,-,o, ,o, 
indonesia,BITUNG,ws-970160,1.43,125.18,20-01-2010,29.6,33.8,24.5,1011.5,65,0,13,6.7,14.8,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,21-01-2010,29.9,33.7,24.9,1011.1,67,-,12.6,3.9,13,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,22-01-2010,29.8,34.5,25,1011.1,65,0,14.2,5.2,16.5,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,23-01-2010,29.9,35,24.8,1011.2,68,0,12.9,3.7,14.8,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,24-01-2010,29.3,34,26.2,1010.5,64,0,13.2,9.1,20.6,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,25-01-2010,27.7,31.7,24.4,1010.8,78,0.51,12.4,1.9,7.6,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,26-01-2010,29.5,34.5,24.1,1010.7,69,6.1,12.2,1.9,5.4,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,27-01-2010,28.6,33.4,24.1,1010.7,76,0,13,4.4,9.4,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,28-01-2010,27.3,31.7,24.7,1010.8,85,33.02,12.1,1.7,7.6,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,29-01-2010,28.5,33,24.2,1010.6,76,0.51,12.1,3.9,11.1,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,30-01-2010,28.6,32.9,24.2,1010.8,70,1.02,12.9,3.9,16.5,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,31-01-2010,26.9,31.8,23.6,1011.2,80,25.91,11.4,1.9,9.4,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,1-02-2010,28.2,32.6,24.4,1010.3,68,0,13.5,2.4,9.4,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,2-02-2010,29.1,33.7,24.8,1009.9,64,0,13.5,5.9,20.6,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,3-02-2010,28.3,31.6,23.5,1011.4,70,0,12.4,3.5,11.1,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,4-02-2010,27.9,32,25.5,1011.1,71,0,13.4,5.2,14.8,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,5-02-2010,28.9,32.4,24.4,1011.8,67,0,13.4,9.1,14.8,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,6-02-2010,28.7,33,24.8,1012.9,68,14.99,11.9,6.5,11.1,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,7-02-2010,28.6,32.2,24.6,1012.6,70,0.51,12.1,5.2,13,-,o, , , 
indonesia,BITUNG,ws-970160,1.43,125.18,8-02-2010,28.3,32.9,23.2,1012,69,0,11.9,6.7,16.5,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,9-02-2010,28.8,32.6,23.4,1012.4,70,0.51,13.4,7.2,14.8,-, , , , 
indonesia,BITUNG,ws-970160,1.43,125.18,10-02-2010,29.2,32.5,25.2,1011.9,70,0,12.6,7.2,13,-,o, , , 
