country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,1-01-2010,21.8,27.6,18.8,-,82,0,6.9,3,9.4,-, , , , 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,2-01-2010,22.6,27.6,19.6,-,77,0,7.2,4.6,11.1,-, , ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,3-01-2010,22,25.8,19.7,-,86,2.03,6.6,1.9,7.6,-, , ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,4-01-2010,21.4,25.8,19.4,-,87,11.94,6.6,1.9,5.4,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,5-01-2010,21.7,26.8,18.7,-,84,3.05,6.9,3.7,7.6,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,6-01-2010,20.6,27.3,18.6,-,89,11.94,6.3,1.5,5.4,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,7-01-2010,20.2,25.9,17.8,-,85,20.07,6.6,1.5,5.4,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,8-01-2010,20.1,24.9,17.6,-,92,3.56,5.8,1.5,5.4,-,o, , , 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,9-01-2010,19.9,24,18.7,-,93,52.83,4.7,2.8,11.1,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,10-01-2010,19.9,24.6,18.5,-,93,1.78,5.3,1.3,5.4,-,o, , , 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,11-01-2010,20.6,23.6,19.1,-,88,12.95,6,0.9,3.5,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,12-01-2010,20.8,24,18.6,-,88,4.06,5.6,4.8,13,-,o, , , 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,13-01-2010,19.1,21.5,18,-,99,25.65,0.5,4.8,13,-,o, , ,o
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,14-01-2010,19.3,21.2,18.4,-,97,16.76,2.1,3,13,-,o, , ,o
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,15-01-2010,19.3,24.2,17.8,-,93,8.13,4.3,3.1,7.6,-,o, , ,o
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,16-01-2010,18.9,20.8,18.7,-,98,14.99,2.3,2.2,11.1,-,o, , , 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,17-01-2010,19.8,21.5,18.6,-,95,23.88,5.3,4.4,9.4,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,18-01-2010,21.2,24.8,18.5,-,79,0,6.4,4.4,11.1,-, , , , 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,19-01-2010,19.8,20.4,19.1,-,96,48.01,3.5,2,9.4,-,o, , , 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,20-01-2010,20.2,24.6,18.4,-,88,5.08,6.4,2.8,7.6,-, , ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,21-01-2010,20.5,25.6,18.2,-,88,3.05,6.4,2.6,7.6,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,22-01-2010,20.1,25.2,19.2,-,92,29.97,3.7,3.7,11.1,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,23-01-2010,21.3,26.5,15.6,-,86,2.03,6.4,3,11.1,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,24-01-2010,21,26.9,15.6,-,87,0.51,6.9,3.1,11.1,-, , ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,25-01-2010,20.8,24.3,16.8,-,91,1.02,6.4,1.9,7.6,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,26-01-2010,20.3,22.9,15.2,-,95,-,3.5,2.4,7.6,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,27-01-2010,19.9,26.8,18.1,-,89,3.05,5.8,2,3.5,-, , ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,28-01-2010,20.7,24,18.4,-,91,25.91,6.4,2.4,7.6,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,29-01-2010,21.2,26.1,19.2,-,88,23.37,6.9,3.7,13,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,30-01-2010,20.8,26.2,19.4,-,93,26.92,5.3,0.4,3.5,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,31-01-2010,21.2,24.4,19.1,-,91,0,5.3,1.1,5.4,-, , , , 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,1-02-2010,21.2,26.9,19.3,-,87,4.06,6.4,4.1,13,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,2-02-2010,20.7,25.6,18.8,-,88,40.13,6.4,2.2,5.4,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,3-02-2010,21.3,26.8,19,-,88,5.08,6.3,1.3,3.5,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,4-02-2010,21.1,24,19.3,-,91,7.62,6.6,2.2,5.4,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,5-02-2010,21.3,26.8,19.1,-,91,14.22,5.3,1.9,7.6,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,6-02-2010,21.1,25.5,18.6,-,88,2.03,6,0.7,3.5,-, , ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,7-02-2010,21.9,26.2,19,-,88,10.16,6.3,2.2,7.6,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,8-02-2010,21.6,24.6,19.2,-,87,-,5.3,3.1,13,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,9-02-2010,21,25.7,19,-,87,53.85,6,3.7,7.6,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,10-02-2010,22.1,25.2,19.1,-,87,33.02,6.3,3.1,7.6,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,11-02-2010,21.2,26.5,18,-,91,13.97,5.5,2.6,7.6,-, , , ,o
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,12-02-2010,21.2,26.6,18.8,-,89,115.06,5.3,3.5,11.1,-,o, ,o, 
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,13-02-2010,20.9,24.6,19,-,92,2.03,6,2,5.4,-, , , ,o
indonesia,BOGOR/CITEKO,ws-967510,-6.7,106.93,14-02-2010,20.3,25,19,-,94,44.7,4.8,3.9,18.3,-,o, ,o, 
