country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,1-01-2010,26.4,31.5,24.8,1007.9,90,10.92,8.7,7,11.1,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,2-01-2010,26.6,31.8,24.8,1009.1,92,7.11,8.4,7,16.5,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,3-01-2010,29.2,34,24.4,-,82,0,8.9,13.1,22.2,-, , ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,4-01-2010,26.6,33,24,1007.7,88,-,8,9.8,25.9,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,5-01-2010,27.1,32.9,23.6,1008.5,84,4.06,7.7,8.5,18.3,-,o, , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,6-01-2010,28.8,32.6,24.3,1009.4,76,-,9.5,11.3,20.6,-,o, , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,7-01-2010,27.4,31.5,24.7,1009.9,86,-,8.4,8.9,20.6,-,o, , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,8-01-2010,26.2,33.4,23.7,1009.5,91,14.99,7.7,9.4,18.3,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,9-01-2010,25.5,32.3,23.4,1009.5,90,0,8,6.3,16.5,-, , , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,10-01-2010,26.7,30.6,24,1009.5,89,-,7.7,9.4,20.6,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,11-01-2010,27.2,30.4,24,-,90,-,9,7,14.8,-,o, , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,12-01-2010,27.6,33.3,23.9,1009.2,90,7.11,8.7,7.8,16.5,-, , ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,13-01-2010,27.1,32.7,24,1010.4,89,3.05,7.7,9.3,18.3,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,14-01-2010,26.9,29.5,24,1010.9,84,0,8.5,9.8,18.3,-,o, , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,15-01-2010,27.2,30.7,24,1010.6,84,-,9.2,10.9,18.3,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,16-01-2010,27.7,31.5,24.1,1010,84,0,9,9.1,22.2,-, , , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,17-01-2010,28.2,33.4,24.4,1010,81,9.91,9.5,5.6,20.6,-,o, , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,18-01-2010,28.4,33,23,1009.7,85,-,8.9,13.9,31.3,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,19-01-2010,24.4,29.1,22,1011.6,92,-,7.9,11.1,18.3,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,20-01-2010,27.1,32.5,22.3,1011.6,86,4.06,8.9,10.4,16.5,-,o, ,o, 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,21-01-2010,26.4,29.1,22.8,1012.1,82,3.05,8,9.1,18.3,-,o, , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,22-01-2010,27.7,33,21.6,1010.9,84,0,9,8.7,20.6,-, , , , 
indonesia,Balikpapan / Sepinggan,ws-966330,-1.26,116.9,23-01-2010,25.3,29.1,23,1011.9,92,39.12,9.5,5.7,11.1,-,o, ,o, 
