country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,1-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,2-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,3-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,4-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,5-01-2010,23.9,28.8,20,-,91,-,6.8,6.5,16.5,-,o, ,o, 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,6-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,7-01-2010,23.3,26.6,18.6,-,76,36.07,6.8,6.1,24.1,-,o, ,o, 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,8-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,9-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,10-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,11-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,12-01-2010,25.3,27,24,-,67,0,10,23.2,33.5,-, , , , 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,13-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,14-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,15-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,16-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,17-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,18-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,19-01-2010,22.1,25,19.8,-,88,19.05,4.2,10.6,18.3,-, , , , 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,20-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,21-01-2010,24.1,27.6,20.2,-,75,-,5.5,8,22.2,-,o, , , 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,22-01-2010,24.1,28.2,20,-,76,7.87,6.4,13,27.8,-,o, , , 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,23-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,24-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,25-01-2010,23.9,28.6,20.7,-,75,0,6.3,6.9,22.2,-, , , , 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,26-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,27-01-2010,23.1,29.6,20.8,-,84,39.12,4.8,6.9,18.3,-,o, ,o, 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,28-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,29-01-2010,26.4,31,20.6,-,67,0,6.4,16.1,27.8,-, , ,o, 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,30-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,31-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,1-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,2-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,3-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,4-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,5-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,6-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,7-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,8-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,9-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,10-02-2010,24.5,28.4,20.2,-,77,1.02,5,8.9,22.2,-, , , , 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,11-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,12-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,13-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,14-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,15-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,16-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,17-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,18-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,19-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,20-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,21-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,22-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,23-02-2010,25.6,30.2,21.4,-,70,0,5.8,8,22.2,-, , , , 
indonesia,Bandung / Husein,ws-967810,-6.9,107.58,24-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
