country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,1-01-2010,26.8,30.7,24.4,1008.4,89,19.81,7.9,3.7,9.4,-,o, , , 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,2-01-2010,26.8,32.2,24.4,1009.7,88,48.01,8,5,20.6,-,o, ,o, 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,3-01-2010,28.6,32,24.2,1009.1,78,0,10.1,6.3,11.1,-, , , , 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,4-01-2010,27,32.2,24,1008.7,88,39.88,8.9,4.3,9.4,-,o, , , 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,5-01-2010,26.7,30,24,1009.7,84,5.08,10,7,16.5,-,o, , , 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,6-01-2010,26.4,31,18,1009.8,85,1.02,8.7,5.9,18.3,-,o, , , 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,7-01-2010,25.5,28.4,22.6,1010.5,90,0.51,10.1,2.6,7.6,-,o, , , 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,8-01-2010,26.4,31,23,1009.9,87,4.57,8,6.1,24.1,-,o, , , 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,9-01-2010,26.6,30,23,1010.5,86,-,9.5,2.6,13,-,o, , , 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,10-01-2010,25.2,26.6,24,1011.1,94,25.91,8.9,2.4,9.4,-,o, , , 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,11-01-2010,29.1,32,23.5,-,77,0,9.8,10.7,18.3,-, , ,o, 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,12-01-2010,27.7,32,24,1010.3,79,12.95,8.5,8.7,24.1,-,o, ,o, 
indonesia,Banjarmasin / Syamsuddin Noor,ws-966850,-3.43,114.75,13-01-2010,26.3,30.6,23.6,1011.3,88,4.06,7.7,5.6,18.3,-, , , , 
