country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,1-01-2010,26.4,30,22,1006.8,82,0,7.9,1.9,7.6,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,2-01-2010,26.7,30.8,23,1008.4,81,20.07,6.6,10.9,55.4,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,3-01-2010,24.8,27.6,22.8,1009.5,89,5.08,5.8,8.1,14.8,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,4-01-2010,26.3,31,22.8,1008.1,82,0,8.7,5,18.3,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,5-01-2010,26.2,31.6,22.8,1008.9,84,11.94,7.7,7.4,11.1,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,6-01-2010,26.8,31.2,22.8,1009.1,80,0,8.7,3.7,14.8,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,7-01-2010,26.2,29.7,23.1,1009,83,0,8.4,4.8,16.5,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,8-01-2010,26.1,30.4,23.2,1008.9,85,3.05,8.4,4.3,20.6,-, , ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,9-01-2010,26.2,31,23.2,1008.8,84,4.06,7.9,4.8,22.2,-,o, ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,10-01-2010,26.3,31,23.4,1009.5,84,0,7.9,4.3,16.5,-, , ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,11-01-2010,27.1,31.2,23.2,1010.1,81,0,8,6.3,22.2,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,12-01-2010,25.2,30.3,23.2,1011.3,88,11.94,8,4.3,16.5,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,13-01-2010,23.9,25.6,22.6,1012.5,94,19.05,6,6.3,16.5,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,14-01-2010,25.3,28.7,22.5,1011.9,86,1.02,8.2,2.6,9.4,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,15-01-2010,25.8,31,23.2,1011.3,84,0,9.2,5,20.6,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,16-01-2010,27,31,23.2,1011.4,81,3.05,8,10.6,22.2,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,17-01-2010,26.3,30.2,23.1,1011.4,86,0,6.9,8.3,27.8,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,18-01-2010,26.5,31.4,23.3,1010.2,83,7.11,8,10.7,22.2,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,19-01-2010,26.1,30.6,22.8,1010,81,2.03,7.7,10.9,22.2,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,20-01-2010,26.8,29.6,23.8,1010.5,81,0,8.2,7.4,14.8,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,21-01-2010,27.1,32.1,23.3,1010.5,77,0,8.2,11.3,38.9,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,22-01-2010,26.9,31,23.6,1010.9,84,0,8.2,3.7,11.1,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,23-01-2010,27.3,32,22.4,1010.2,79,0,8.9,3.1,16.5,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,24-01-2010,26.9,31.8,23.6,1009.9,82,0.76,7.6,5.4,16.5,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,25-01-2010,27.6,32.2,23.8,1009.2,81,26.92,7.6,6.1,20.6,-,o, ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,26-01-2010,26,30.5,23.7,1009.7,87,0,8.2,4.6,16.5,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,27-01-2010,26.7,31.6,23.6,1009.4,83,1.02,8,5.6,14.8,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,28-01-2010,26.7,31,23.7,1009.8,87,0,8.7,3.1,14.8,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,29-01-2010,27.3,31.7,23.4,1009.8,80,0,9.5,3.1,14.8,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,30-01-2010,27.4,31.8,23.5,1009.2,83,7.11,9.3,5,14.8,-,o, ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,31-01-2010,26.8,31.3,23.6,1009.9,87,24.89,8.9,3.1,14.8,-,o, ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,1-02-2010,27.7,32.1,23.8,1009.1,80,0,8.4,6.5,14.8,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,2-02-2010,27.4,31.6,24,1009.2,81,0,8.5,6.3,22.2,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,3-02-2010,27.9,32.4,23.4,1009,79,0,9.2,6.1,14.8,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,4-02-2010,27.7,32,23.6,1008.6,80,9.91,8.7,9.6,27.8,-,o, ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,5-02-2010,25.7,29.2,23.5,1010.1,89,11.18,8,7.4,16.5,-,o, , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,6-02-2010,27.4,31.8,23.4,1010.1,81,0,9.5,4.6,13,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,7-02-2010,27.7,32.1,23.6,1009.2,81,0,8.7,4.6,16.5,-, , ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,8-02-2010,28.1,32.6,24.1,1007.5,79,0,8.4,4.3,13,-, , , , 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,9-02-2010,27.5,33.6,24.7,1008,83,15.75,7.4,5.6,14.8,-,o, ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,10-02-2010,28,32.5,24.2,1007.9,80,-,7.1,5.7,20.6,-,o, ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,11-02-2010,27.5,32.4,24,1008.9,84,0,8.7,3.9,11.1,-, , ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,12-02-2010,27.1,31.2,24.7,1008.6,87,0.51,7.7,3.9,16.5,-,o, ,o, 
indonesia,Bengkulu / Padangkemiling,ws-962530,-3.88,102.33,13-02-2010,26.4,32.4,23.8,1007.7,87,77.98,6.8,6.3,16.5,-,o, ,o, 
