country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,1-01-2010,26.7,30,24.4,1008.5,89,16,10,1.5,7.6,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,2-01-2010,27.9,30.8,24.4,1008.4,83,0,10.8,4.1,11.1,-, , , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,3-01-2010,27.1,31.1,24.7,1008.1,87,30.99,10.1,3.5,13,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,4-01-2010,27.8,32,23.8,1007.3,84,-,10.5,2.8,11.1,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,5-01-2010,28.3,30.8,24.2,1007.4,83,-,10.5,7.2,13,-,o, ,o, 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,6-01-2010,28.2,31,24.8,1007.1,84,55.88,10.1,11.3,29.4,-,o, ,o, 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,7-01-2010,28.1,30,24,1006.7,81,4.06,10,16.9,24.1,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,8-01-2010,25.1,28.8,23.4,1008.5,92,23.11,6.4,10.2,18.3,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,9-01-2010,27.9,31,24.6,1008.1,81,6.1,11.1,15.7,22.2,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,10-01-2010,26.8,28.4,24.6,1007.5,88,24.89,8.7,10.7,27.8,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,11-01-2010,26.6,30.9,24,1007.7,87,3.05,10,15.7,31.3,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,12-01-2010,25.6,27.6,22.8,1008.9,93,0,7.2,7,27.8,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,13-01-2010,27.6,30.2,24,1009.3,82,25.91,8.7,16.1,27.8,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,14-01-2010,27.9,31,23.6,1009.3,82,-,10.9,13.9,22.2,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,15-01-2010,27.8,31.1,23.6,1009.4,82,35.05,10.8,8,16.5,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,16-01-2010,24.9,27.2,24,1010.5,94,34.04,8.5,2.4,9.4,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,17-01-2010,25.4,28.6,23.8,1010.7,91,28.96,9.7,4.3,22.2,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,18-01-2010,26.1,29.4,23,1011,90,19.05,8.9,6.1,13,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,19-01-2010,26.7,30,23.4,1011.4,85,6.1,10.6,2.4,9.4,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,20-01-2010,27.5,31,23.6,1010.7,80,0,10.6,8.5,14.8,-, , , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,21-01-2010,27.1,30.8,25,1010.5,84,0,10.6,12.6,18.3,-, , , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,22-01-2010,27.7,31,24,1010.9,81,0,10.6,10,18.3,-, , , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,23-01-2010,28.1,31,24,1010.9,82,0,10.5,7.4,16.5,-, , , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,24-01-2010,25.8,30.6,23.6,1010,91,2.03,10.1,8.3,16.5,-,o, ,o, 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,25-01-2010,25.9,28.6,24.2,1010.4,90,4.06,10.1,3.7,13,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,26-01-2010,28.1,30.1,24,1009.5,80,0,10.9,11.3,22.2,-, , , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,27-01-2010,27.1,31,24.4,1009.7,86,0,10.6,7.6,18.3,-, , , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,28-01-2010,28.9,31.4,24.6,1009.5,78,0,10.8,9.4,18.3,-, , , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,29-01-2010,27.7,31.4,24.5,1009.8,84,0,10.6,9.3,27.8,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,30-01-2010,27.1,29.8,24,1010.4,86,20.07,10.3,9.4,22.2,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,31-01-2010,27,29,24.4,1010.5,88,20.07,10.3,3.7,13,-, , , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,1-02-2010,27.4,30.4,25,1009.7,83,29.97,10,9.6,16.5,-,o, , , 
indonesia,Biak / Mokmer,ws-975600,-1.18,136.11,2-02-2010,26.8,30,23.6,1009.8,84,1.02,10.5,7.4,11.1,-,o, , , 
