country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,1-01-2010,27.5,32.6,24.2,1008.7,82,0,8.9,1.9,5.4,-,o, , , 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,2-01-2010,27.1,32.6,24.7,1009.4,85,1.02,8.5,2.2,7.6,-,o, ,o, 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,3-01-2010,28.9,33.2,24.4,1008.9,80,0,8.2,3.1,7.6,-, , , , 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,4-01-2010,27.1,34,24.6,1008.3,84,32,6.9,3.9,22.2,-,o, ,o, 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,5-01-2010,26.6,33,23.8,1008.8,87,4.06,6.9,1.7,-,-,o, ,o, 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,6-01-2010,25.7,31.8,24,1009.5,88,1.02,6.4,3.7,11.1,-,o, , , 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,7-01-2010,26.6,31.8,24.2,1010.1,82,6.1,7.6,4.1,11.1,-,o, , , 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,8-01-2010,26.6,30.3,24.2,1010.7,86,0,7.9,0.9,5.4,-,o, ,o, 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,9-01-2010,25.6,30.1,23.8,1010.9,87,-,7.2,2.2,9.4,-,o, ,o, 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,10-01-2010,26.4,29.2,24.2,1011.1,85,0,7.2,1.9,5.4,-, , , , 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,11-01-2010,26.8,31.8,24,1010.3,85,4.06,6.8,1.9,9.4,-,o, ,o, 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,12-01-2010,26.7,30.6,24.6,1010.2,86,0.51,7.1,2.6,9.4,-,o, ,o,o
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,13-01-2010,26.5,30.4,24,1011.4,82,0,8,4.8,16.5,-, , , , 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,14-01-2010,25.7,30.7,24,1012,86,-,7.4,3.1,9.4,-,o, , , 
indonesia,CIREBON/JATIWANGI,ws-967910,-6.75,108.26,15-01-2010,26.7,29.6,23.7,1012.3,82,-,7.4,3.7,7.6,-,o, , , 
