country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Cilacap,ws-968050,-7.73,109.01,1-01-2010,27.2,31.8,23.8,1009.6,84,7.37,9.5,6.1,9.4,-,o, ,o, 
indonesia,Cilacap,ws-968050,-7.73,109.01,2-01-2010,28.3,32,24.8,1010.7,79,1.02,9.2,4.4,14.8,-,o, , , 
indonesia,Cilacap,ws-968050,-7.73,109.01,3-01-2010,28.6,32.8,25.4,1010.2,78,0,9.8,5.4,14.8,-,o, , , 
indonesia,Cilacap,ws-968050,-7.73,109.01,4-01-2010,28.6,32.2,25.4,1009.2,80,2.03,9.5,5.9,13,-,o, ,o, 
indonesia,Cilacap,ws-968050,-7.73,109.01,5-01-2010,28.1,32,25.5,1009.7,80,0,9,5.9,14.8,-, , , , 
indonesia,Cilacap,ws-968050,-7.73,109.01,6-01-2010,27.3,32.2,24.5,1010.8,80,4.06,9.5,5.2,11.1,-,o, ,o, 
indonesia,Cilacap,ws-968050,-7.73,109.01,7-01-2010,27.2,31.8,24.4,1010.3,81,0,8.9,3.1,14.8,-, , , , 
indonesia,Cilacap,ws-968050,-7.73,109.01,8-01-2010,27.1,31.6,24.4,1011,80,0.51,9.2,5,14.8,-, , , , 
indonesia,Cilacap,ws-968050,-7.73,109.01,9-01-2010,25.7,30.8,24,1011.4,87,41.91,8.7,5.7,14.8,-,o, ,o, 
indonesia,Cilacap,ws-968050,-7.73,109.01,10-01-2010,27.1,30.6,25,1011.5,84,5.08,8.7,4.3,14.8,-, , , , 
indonesia,Cilacap,ws-968050,-7.73,109.01,11-01-2010,26.2,31.8,21.4,1011.2,90,16,8.5,7.4,11.1,-,o, ,o, 
indonesia,Cilacap,ws-968050,-7.73,109.01,12-01-2010,27.6,31.4,25,1011.3,80,2.03,9.5,8.3,14.8,-,o, , , 
indonesia,Cilacap,ws-968050,-7.73,109.01,13-01-2010,27.9,32.6,24.4,1011.3,77,0,9.5,6.7,14.8,-, , , , 
indonesia,Cilacap,ws-968050,-7.73,109.01,14-01-2010,27.3,32.8,24.8,1012,77,3.3,9.2,11.9,22.2,-,o, , , 
indonesia,Cilacap,ws-968050,-7.73,109.01,15-01-2010,26.9,33,25.6,1011.5,84,16,8.7,4.3,14.8,-,o, ,o, 
