country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,1-01-2010,27.4,32.8,24,1009,76,-,10.5,10.6,20.6,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,2-01-2010,26.6,33.6,24.6,1009.8,80,3.05,8.9,13.9,25.9,-,o, ,o, 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,3-01-2010,28.2,32.2,24.5,1010.1,76,0,16.4,15.9,22.2,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,4-01-2010,28.6,33.8,26,1008.9,76,0,10.9,19.1,33.5,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,5-01-2010,27.1,30.6,24.8,1009.5,78,0,10.3,16.7,27.8,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,6-01-2010,27.4,33.6,25.4,1010.6,76,0,8,10.7,29.4,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,7-01-2010,26.9,33.4,24.2,1010.3,79,0,9.2,5.9,14.8,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,8-01-2010,25.7,29,23.6,1010.8,88,2.03,5.5,6.9,13,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,9-01-2010,25.1,30.3,22.6,1011.6,89,20.83,5.1,3.1,7.6,-,o, ,o, 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,10-01-2010,26.6,30.4,23.2,1011.5,85,2.03,6.6,0.7,5.4,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,11-01-2010,27.1,31.6,24.2,1011,83,-,6.9,8.1,14.8,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,12-01-2010,25.4,29,23.4,1011.8,87,2.54,8,15.9,24.1,-,o, ,o, 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,13-01-2010,24.2,29.8,22.9,1012.9,94,39.12,5.6,8.7,18.3,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,14-01-2010,24.3,28.3,21.8,1013.3,89,17.02,7.1,7.8,18.3,-,o, ,o, 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,15-01-2010,25.7,28.8,21,1013.2,85,0,5.8,4.3,9.4,-, , ,o, 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,16-01-2010,25.7,28.8,24.6,1012.6,88,5.59,6,4.6,11.1,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,17-01-2010,25.4,28,23.3,1012.7,90,0,6,7.4,13,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,18-01-2010,26.5,30.8,23.2,1011.7,85,2.03,6.3,5.6,14.8,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,19-01-2010,26.6,28.8,23.7,1012.1,84,6.1,5.5,6.3,11.1,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,20-01-2010,24.8,27.7,23.4,1013,91,8.89,9.8,1.7,11.1,-,o, ,o, 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,21-01-2010,25.9,32,22.4,1012.5,88,0,10.1,3.3,14.8,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,22-01-2010,25.4,31,23.4,1012.8,91,2.03,8,4.1,11.1,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,23-01-2010,27.7,32.6,24.2,1011.8,79,0,8.9,8.9,22.2,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,24-01-2010,27.1,32,23.6,1011.5,81,23.11,10.1,3,9.4,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,25-01-2010,25.3,29.5,23.4,1012,92,6.1,8,2.2,7.6,-,o, ,o, 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,26-01-2010,26.2,28.8,23.2,1011.7,88,9.91,4.8,1.3,9.4,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,27-01-2010,25.9,31.5,23.2,1011.8,88,0,6.9,5.4,14.8,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,28-01-2010,26.8,31.6,23.6,1011.6,84,0,6.3,7.8,14.8,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,29-01-2010,27.4,32.3,23.8,1011.3,80,4.06,8,6.7,13,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,30-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,31-01-2010,27.2,29.6,25.2,1011.8,85,-,6.3,3,7.6,-,o, , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,1-02-2010,27.4,31.8,23.8,1011,80,0,7.7,6.9,22.2,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,2-02-2010,28.1,34,24.8,1010,79,0,8.4,10.6,25.9,-, , , , 
indonesia,Curug / Budiarto,ws-967390,-6.23,106.65,3-02-2010,26.8,33,24,1010.7,83,0,5.6,3.7,11.1,-, , ,o, 
