country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,1-01-2010,28.6,31.2,25.2,1007.7,83,4.06,10.8,11.1,16.5,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,2-01-2010,29.2,31.5,25.5,1008.2,84,0,12.6,10.7,18.3,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,3-01-2010,29.4,31.8,27,1008.4,82,0,10.9,8.5,13,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,4-01-2010,29.4,32,27.2,1007.2,82,0,11.7,12.8,22.2,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,5-01-2010,29,31.8,26.4,1007.3,82,0,11.4,9.4,16.5,-, , ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,6-01-2010,28.4,31.8,25.4,1008.5,81,2.03,11.1,13,18.3,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,7-01-2010,26.7,30.6,25.2,1008.3,84,1.02,10,9.3,18.3,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,8-01-2010,27.2,30.2,23.6,1009,86,3.05,10.9,13,18.3,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,9-01-2010,26.5,30,23.6,1009.4,87,5.08,9.5,13.1,16.5,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,10-01-2010,28.2,30.8,23.6,1009.5,81,-,11.1,16.9,20.6,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,11-01-2010,27.5,30,24,1008.7,84,4.06,9.8,19.1,29.4,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,12-01-2010,28.8,31.2,24.4,1008,78,2.03,12.1,22,27.8,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,13-01-2010,27.5,30.6,25.2,1008.6,83,24.13,9.2,26.5,33.5,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,14-01-2010,29.3,31.6,23.5,1008.6,75,0,12.2,26.9,33.5,-, , ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,15-01-2010,28.1,31.2,25.6,1008.9,78,0.51,10.8,20.4,33.5,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,16-01-2010,28.9,31.6,24.2,1008.4,80,0,11.1,20.7,27.8,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,17-01-2010,29.3,31.5,26.8,1009.1,77,0,11.4,22.2,29.4,-, , ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,18-01-2010,28.4,31,25.8,1009.8,78,0,10.6,13.9,18.3,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,19-01-2010,27.6,30.2,25.2,1010.8,81,4.06,10.9,14.8,22.2,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,20-01-2010,28.4,31.1,24.4,1011.1,78,0,11.9,13.3,18.3,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,21-01-2010,28.2,30.6,26.3,1010.4,78,0,10.6,10.6,18.3,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,22-01-2010,28.2,31,23.9,1010.7,79,-,10.5,14.3,20.6,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,23-01-2010,28.4,30.8,26,1010.7,80,3.05,11.1,14.3,22.2,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,24-01-2010,28.3,31,26.2,1009.8,80,1.02,12.6,9.8,18.3,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,25-01-2010,27.3,30.8,25.8,1010.3,86,0,10.5,5.4,16.5,-, , ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,26-01-2010,27.9,30.8,25.6,1010.3,82,9.91,11.3,8.7,14.8,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,27-01-2010,27.7,30.5,25,1010.6,84,0.76,12.6,8,14.8,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,28-01-2010,29.1,39.8,25.1,1009.8,77,2.03,10.5,10.9,18.3,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,29-01-2010,27.2,31.8,25,1010,84,0,10.3,5.7,11.1,-, , ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,30-01-2010,28.2,30.8,24.8,1010.3,81,2.03,11.4,8.9,16.5,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,31-01-2010,27.9,31,23.8,1010,85,-,9.3,18.5,29.4,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,1-02-2010,27.3,31,23.8,1009.1,89,8.13,10.3,13.9,22.2,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,2-02-2010,28.5,31.2,24.4,1009.3,83,0,9.5,12.8,18.3,-,o, , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,3-02-2010,27.8,31,26,1009.3,85,30.99,9.8,11.5,18.3,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,4-02-2010,27.7,31.1,24.4,1009.6,85,0,10.9,7.8,18.3,-, , ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,5-02-2010,27.2,32,25.3,1010.3,90,26.92,9.7,5.9,16.5,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,6-02-2010,26.9,30.8,25.2,1011.6,86,2.03,10,15.9,24.1,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,7-02-2010,27.4,30,25.3,1011.1,85,1.02,10.9,3.9,11.1,-, , ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,8-02-2010,26.8,30,24.8,1011,88,29.97,9.8,1.1,5.4,-,o, ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,9-02-2010,28.5,32.6,24,1010.3,79,0,11.3,4.3,13,-, , ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,10-02-2010,28.9,32.2,24.8,1010.6,79,0,11.1,6.7,14.8,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,11-02-2010,28.9,31.9,25.4,1010.5,79,0,10.8,5.6,14.8,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,12-02-2010,28.3,32,26,1010.2,83,0,11.4,5,9.4,-, , ,o, 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,13-02-2010,28.7,32.2,26,1009,81,0,10.8,5.9,13,-, , , , 
indonesia,Denpasar / Ngurah-Rai,ws-972300,-8.75,115.16,14-02-2010,28.3,31.8,25.4,1009.4,82,0.51,10,4.6,9.4,-,o, ,o, 
