country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,1-01-2010,26.6,31,24,1008,88,0.51,14.6,13.3,25.9,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,2-01-2010,27.8,31,23.6,1008.5,82,3.05,13.4,11.9,22.2,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,3-01-2010,26.6,31,23.2,1007.9,90,6.1,13.8,8,16.5,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,4-01-2010,27.1,31.4,24,1007.2,82,0,13.4,14.1,22.2,-, , ,o, 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,5-01-2010,26.1,30.6,23.6,1007.6,91,3.05,11.1,15,18.3,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,6-01-2010,25.3,30.2,23.6,1008.7,94,21.08,10,12.4,22.2,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,7-01-2010,25.7,29,20,1008.6,89,31.5,9,7.4,13,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,8-01-2010,25.1,30,23,1009.3,89,9.14,9.8,13,22.2,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,9-01-2010,27.1,31,23,1008.6,82,0,11.6,17.2,27.8,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,10-01-2010,27.2,32,23.8,1008.5,78,29.97,11.1,16.5,27.8,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,11-01-2010,27.8,32.4,20.2,1008.3,78,30.99,10.9,17.6,27.8,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,12-01-2010,27.2,31.8,20,1008.5,81,8.64,10.9,9.8,27.8,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,13-01-2010,26.7,31.6,22.6,1009.7,82,-,7.6,12.4,18.3,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,14-01-2010,26.8,30.4,20,1010,83,-,12.1,5.9,13,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,15-01-2010,26,31,20,1009.8,87,25.15,9,12,18.3,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,16-01-2010,25.4,27.6,19.4,1010.2,88,6.1,10.3,6.9,11.1,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,17-01-2010,26.4,32.2,23,1010.3,83,4.06,10.6,13.1,18.3,-,o, ,o, 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,18-01-2010,26.2,30.2,23.6,1010.9,86,0,9.5,12.4,18.3,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,19-01-2010,27.2,31.4,23.8,1010.9,79,0,12.4,7.2,14.8,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,20-01-2010,24.7,29.6,23.2,1011,92,0,11.1,8.3,18.3,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,21-01-2010,26.3,31.2,23,1010.9,84,0,11.6,12.8,22.2,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,22-01-2010,26.9,31.2,22.8,1011.6,83,0,12.2,7.4,18.3,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,23-01-2010,27.8,31.4,22.6,1011.1,77,0,15.6,12.2,18.3,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,24-01-2010,27.1,31.4,23.6,1009.9,80,4.06,11.9,12.4,18.3,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,25-01-2010,27.2,31.4,23.4,1010.3,86,0,12.6,9.6,24.1,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,26-01-2010,26.8,30,23,1009.8,84,0,10.8,7.4,13,-, , ,o, 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,27-01-2010,25,27.4,23.2,1009.6,92,12.95,10.6,4.1,9.4,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,28-01-2010,27.6,31.6,23,1009.6,89,5.08,11.6,12,27.8,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,29-01-2010,26.8,31.6,23.8,1009.5,88,-,14,11.5,25.9,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,30-01-2010,27.5,32,24.4,1009.1,82,7.11,11.1,12.4,18.3,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,31-01-2010,25.9,29.8,23.6,1010.1,90,25.91,11.7,2.4,9.4,-,o, ,o, 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,1-02-2010,26.6,29.2,20,1009.7,87,7.11,13,6.1,13,-,o, , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,2-02-2010,26.7,31.6,23.4,1009.6,76,0,12.2,8.7,18.3,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,3-02-2010,27.9,33,23.2,1010.1,72,0,13.8,15.2,29.4,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,4-02-2010,28.2,32.6,23,1010.8,89,0,14.6,11.7,27.8,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,5-02-2010,26.9,32.6,23.4,1011.4,86,0,13.7,9.4,18.3,-, , , , 
indonesia,Fak-Fak / Torea,ws-976300,-2.88,132.25,6-02-2010,27.6,31.8,23.6,1011.4,79,8.89,13.2,13.1,22.2,-,o, , , 
