country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,GESER,ws-977480,-3.8,130.83,1-01-2010,28.5,32,24.6,1007.3,78,26.92,10.8,6.7,11.1,-, , ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,2-01-2010,28.4,32.4,25.8,1008,78,12.19,9.7,10,16.5,-, , ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,3-01-2010,27.6,33.2,22.5,1007.6,83,11.94,10,7.2,11.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,4-01-2010,30.3,33.4,24.2,1008.9,71,0,12.1,8.7,14.8,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,5-01-2010,28.7,32.8,26.6,1009.4,80,0,10.8,8,25.9,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,6-01-2010,26.7,32.8,23.2,1011.1,89,3.05,8.9,5.2,11.1,-,o, ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,7-01-2010,28.1,31.6,25,1011.5,84,2.03,10,17.6,25.9,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,8-01-2010,26.4,34,20.8,1011.5,86,39.88,7.7,19.4,57.2,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,9-01-2010,28.1,31.4,17.6,1011.7,81,0,9.3,5,11.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,10-01-2010,27.7,30.8,21.6,1007.7,84,-,8.7,25.6,48.2,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,11-01-2010,28.2,30,19.6,1007.2,82,1.02,8,27.6,46.5,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,12-01-2010,28.4,33.2,24.2,1007.6,79,1.02,8.4,8.1,18.3,-,o, ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,13-01-2010,28.4,30.8,24.6,1009.4,79,0,9.5,9.4,25.9,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,14-01-2010,28.7,32,23.2,1009.5,80,0,9.2,6.1,14.8,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,15-01-2010,26.9,29.6,23,1008.5,90,2.03,8.2,35.4,74.1,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,16-01-2010,26.8,31,22,1009.5,87,6.1,8.2,26.5,40.7,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,17-01-2010,27,31.4,20.2,1009.8,85,8.89,8.5,17.2,48.2,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,18-01-2010,28,33.2,20.4,1010.5,81,0,8.9,13.7,24.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,19-01-2010,27.7,33.4,24,1010.7,80,3.05,9.3,9.3,24.1,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,20-01-2010,27.9,31.4,22,1010.9,81,0,8.9,7.8,13,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,21-01-2010,28,32.4,22,1010.6,73,0,9.2,9.3,24.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,22-01-2010,29.1,32.6,24,1011,78,0,10,9.3,16.5,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,23-01-2010,29.2,32.6,26,1010.9,78,0,10.5,10.7,16.5,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,24-01-2010,28.4,32.8,23.2,1009.8,82,0,8.9,5,7.6,-, , ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,25-01-2010,27.6,32,20,1010.2,73,13.97,9.8,9.1,11.1,-,o, ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,26-01-2010,28.9,32,21.4,1009.5,80,57.91,10.8,13.9,22.2,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,27-01-2010,29.3,32.6,25,1009.3,81,0,10,13,22.2,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,28-01-2010,29.4,32.2,25,1009.4,77,0,10.1,10.6,25.9,-, , ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,29-01-2010,29.4,32.1,24,1009.6,77,0,10,6.3,14.8,-, , ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,30-01-2010,28.6,32.4,21.2,1009.3,81,0,10.5,3.5,11.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,31-01-2010,28.2,35.2,21.8,1009.8,81,0,10.3,8.7,16.5,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,1-02-2010,28.2,32.4,23,1008.8,81,2.03,10,5,11.1,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,2-02-2010,27.8,31.6,23,1009.1,82,8.89,10,7,11.1,-,o, , , 
indonesia,GESER,ws-977480,-3.8,130.83,3-02-2010,28.5,31.4,21.8,1010.3,78,0,9,7.4,16.5,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,4-02-2010,29.2,32.6,25.2,1010.5,78,0,9.7,8.1,14.8,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,5-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,GESER,ws-977480,-3.8,130.83,6-02-2010,28.7,32,26,1011.4,79,0,10,5.6,11.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,7-02-2010,27.6,31.4,24.8,1012.2,84,-,9,6.1,9.4,-,o, ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,8-02-2010,28.8,31.4,21.2,1011.4,75,0,9.7,6.1,9.4,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,9-02-2010,28.8,31.6,26,1011.1,76,0,12.4,8.1,14.8,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,10-02-2010,28.9,35.2,23,1011.1,75,0,12.1,7.4,16.5,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,11-02-2010,29.5,32.8,22.4,1010.7,73,0,10.9,7,11.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,12-02-2010,29.2,32,25.4,1010.4,78,0,11.3,11.1,14.8,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,13-02-2010,29.9,33.2,26.8,1009.3,76,0,10,5.6,7.6,-, , ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,14-02-2010,27.8,32.6,20.6,1009,83,0,11.1,4.1,9.4,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,15-02-2010,29.6,32.8,25,1009.4,75,0,10.8,4.6,7.6,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,16-02-2010,28.8,32.8,24,1010,79,0,10.8,3.9,7.6,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,17-02-2010,29,31.4,24.6,1010.6,82,0,10.6,6.7,9.4,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,18-02-2010,29.6,31.8,26.8,1010,78,3.05,10,7.6,9.4,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,19-02-2010,29.9,32.4,27.4,1009,75,0,10.1,5.6,9.4,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,20-02-2010,28.9,33,24.4,1009.4,78,0,9.8,9.3,11.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,21-02-2010,27.2,31.8,23.6,1010.8,84,34.04,7.9,9.3,14.8,-,o, ,o, 
indonesia,GESER,ws-977480,-3.8,130.83,22-02-2010,28.7,32,24.8,1010.7,79,0,9,5.6,11.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,23-02-2010,29.2,31.8,25.6,1009.5,79,0,9.5,6.1,11.1,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,24-02-2010,29.4,32.6,26.6,1008.8,79,0,10.1,9.8,14.8,-, , , , 
indonesia,GESER,ws-977480,-3.8,130.83,25-02-2010,29.1,33.2,27,1008.8,75,0,9.7,8.5,14.8,-, , , , 
