country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,1-01-2010,26.8,31.4,22.8,1006.5,86,0,10,4.6,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,2-01-2010,27.1,32,22,1006.7,82,0,10,5,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,3-01-2010,27.2,31.4,22.5,1006.8,82,0,9.8,4.4,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,4-01-2010,26.9,31.6,23.4,1006.3,80,0,10,4.8,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,5-01-2010,24.3,29,22,1006.1,93,35.05,9.3,0,-,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,6-01-2010,25,30.2,22,1007,94,9.14,8.9,1.5,11.1,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,7-01-2010,25.4,30.2,20,1006.8,88,-,9.3,0,-,-,o, ,o, 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,8-01-2010,25.6,29.6,23.6,1007.4,89,18.8,8.9,2.8,11.1,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,9-01-2010,26.1,31.2,21.8,1007,85,0,10,3.1,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,10-01-2010,26.1,31.1,21.8,1006.9,87,28.7,9.5,3.9,11.1,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,11-01-2010,26.9,31.2,21.8,1007.4,84,7.87,9,7,18.3,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,12-01-2010,26.7,30.2,23.2,1007.7,83,3.05,9.2,3.7,18.3,-,o, ,o, 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,13-01-2010,25.7,30,22.4,1008.4,90,79.76,8,0,-,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,14-01-2010,26.1,31.2,22,1007.8,85,0,9.7,0,-,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,15-01-2010,25.8,31.2,23,1007.6,89,9.14,9.2,3.1,11.1,-,o, ,o, 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,16-01-2010,26.7,32.4,23,1008.2,87,7.87,9.3,5.7,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,17-01-2010,25.3,29.2,23.4,1008.8,93,7.11,9.2,2.8,11.1,-,o, ,o, 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,18-01-2010,27,30.2,23.4,1008.9,86,0,10,2,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,19-01-2010,26.2,32.4,23.2,1009.8,88,0,9.8,4.6,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,20-01-2010,26.3,31.8,22.2,1010.2,82,0,10,0,-,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,21-01-2010,26,31.2,22.4,1009.2,87,14.22,9.5,1.1,9.4,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,22-01-2010,25.5,30.4,22.5,1009.8,91,13.97,8.7,3.1,14.8,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,23-01-2010,27.1,31.6,21.6,1009.2,82,0,9.8,4.3,11.1,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,24-01-2010,25.9,31.8,22.4,1009.5,87,0,9.8,5,18.3,-, , ,o, 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,25-01-2010,26.1,30.8,21.8,1008.8,85,1.02,9.8,2.2,18.3,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,26-01-2010,27.6,32,21.2,1008.6,80,1.02,9.3,6.1,14.8,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,27-01-2010,25.8,32,23.6,1008.7,89,-,10,3,11.1,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,28-01-2010,26.2,31.8,23.6,1009,87,0.51,9.7,1.9,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,29-01-2010,25.1,31.4,22.5,1008.8,92,23.11,9.5,4.6,22.2,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,30-01-2010,26.1,32.4,21.6,1009,86,0,10,1.7,11.1,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,31-01-2010,27.1,30.2,23,1009.3,84,0,9.8,2.4,14.8,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,1-02-2010,25.9,30.2,21.2,1008.8,83,0,10.3,3.9,16.5,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,2-02-2010,26.4,30.4,21,1008,81,0,10,4.3,11.1,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,3-02-2010,24.3,29.6,21.4,1009.7,93,46.99,8.9,0,-,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,4-02-2010,26.5,30.6,21.4,1009.5,82,46.99,10,4.8,11.1,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,5-02-2010,26.5,30.4,21.4,1010,81,0,10,6.1,18.3,-, , , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,6-02-2010,24.8,29,20.4,1011,91,5.08,8,2.4,14.8,-,o, , , 
indonesia,Galela / Gamarmalamu,ws-974060,1.81,127.83,7-02-2010,24.3,30.2,19.6,1011.3,83,0,10,4.6,18.3,-, , , , 
