country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,1-01-2010,28.6,31.2,17,1006.7,87,0,7.7,5.2,18.3,-, , , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,2-01-2010,25.7,31.8,17,1007.7,95,2.03,5.3,3.7,9.4,-,o, , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,3-01-2010,25.3,27.4,14,1009,96,23.11,3.9,3,14.8,-,o, , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,4-01-2010,26.8,28.5,17,1009,93,8.89,4.8,1.1,5.4,-,o, , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,5-01-2010,27.3,31.2,17.2,1007.8,92,2.03,5.1,4.1,7.6,-,o, , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,6-01-2010,28.2,33.4,17.4,1008.4,88,6.1,7.2,7,18.3,-,o, ,o, 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,7-01-2010,27.8,32.8,16.8,1009.9,89,23.88,6.9,3,14.8,-,o, , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,8-01-2010,27.9,32.4,16,1010.2,88,0,6.4,3.3,11.1,-, , , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,9-01-2010,28.3,31.4,15.4,1009.9,85,0,6.4,2.2,11.1,-, , , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,10-01-2010,28.8,32.2,15.6,1010,85,0,8,4.4,9.4,-, , , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,11-01-2010,27.6,30.1,17.8,1011.1,88,0,6,4.1,11.1,-,o, , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,12-01-2010,26.9,29,25.2,1011.5,92,-,6.9,7.4,81.3,-,o, , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,13-01-2010,26,28.8,17,1013,93,2.03,5.8,5.2,18.3,-,o, , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,14-01-2010,27.8,31.5,16.4,1013.2,86,1.02,6,5.6,11.1,-, , , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,15-01-2010,28.1,33,16.1,1012,85,0,7.4,7.4,11.1,-, , , , 
indonesia,Gunung Sitoli / Binaka,ws-960750,1.5,97.63,16-01-2010,27.8,31.7,23.4,1012.5,86,0,7.7,3.3,9.4,-, , , , 
