country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,1-01-2010,29.1,32.4,26.4,1008.6,70,0,7.6,7.8,11.1,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,2-01-2010,28.3,33.8,25.8,1009.5,74,7.11,7.6,7.8,16.5,-,o, ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,3-01-2010,29.2,33.8,25.4,1009.5,68,0,8,9.8,13,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,4-01-2010,29.8,33.4,26.2,1008.7,68,0,8.2,12.8,14.8,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,5-01-2010,27.6,30.4,25,1008.6,77,0.51,7.7,8.5,18.3,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,6-01-2010,28.7,33.2,24.4,1009.5,69,0,7.7,5.6,13,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,7-01-2010,27.7,33,25.4,1009.5,78,12.95,7.1,5.6,20.6,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,8-01-2010,26.9,28.7,25,1010.5,84,0.25,6.9,3.3,16.5,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,9-01-2010,26.6,30,24,1010.9,82,26.16,6.9,9.4,37,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,10-01-2010,27.1,28.8,23.7,1011.4,82,0,7.4,2.6,9.4,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,11-01-2010,25.9,31,24.4,1010.2,89,8.89,6.4,2.2,7.6,-, , ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,12-01-2010,26.8,30.2,24,1011.3,80,0.76,6.9,8.1,11.1,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,13-01-2010,27,29.9,25.3,1012.3,80,0.51,6.4,8.1,14.8,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,14-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,15-01-2010,26.5,29.6,21.8,1012.6,80,-,7.6,6.9,13,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,16-01-2010,25.5,26.6,22.6,1012.7,91,8.89,6.4,5.6,13,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,17-01-2010,25.5,27.4,23.6,1012.2,94,29.97,5,1.1,9.4,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,18-01-2010,27,30,23.6,1010.9,82,3.05,6.8,6.1,13,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,19-01-2010,26.6,28.9,23.4,1011.6,87,7.11,6.1,1.9,9.4,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,20-01-2010,26.7,28.8,23.8,1012.5,83,3.05,6.6,4.6,14.8,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,21-01-2010,27.1,29.8,25.2,1011.4,83,23.88,6.9,6.1,13,-,o, ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,22-01-2010,26.9,29.8,25.2,1012,81,0,7.1,8.3,13,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,23-01-2010,28.2,32,25,1011.1,78,8.89,7.6,3.9,13,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,24-01-2010,28.9,31.6,24.8,1010.6,74,0,8,4.4,11.1,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,25-01-2010,27.3,29.8,24.6,1011.2,80,13.97,6.8,2.8,9.4,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,26-01-2010,26.9,30,24,1011.3,85,5.59,6.9,3.1,13,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,27-01-2010,28,32,24,1011.3,79,0,7.4,4.6,14.8,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,28-01-2010,28.7,31.6,25.4,1010.7,75,0,8,5.4,13,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,29-01-2010,28.6,32.4,24,1010.2,72,3.05,8,3.7,9.4,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,30-01-2010,27.8,31.4,24.2,1011,79,11.18,6.3,5.6,16.5,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,31-01-2010,27.4,30,24.6,1011.5,82,20.07,6.9,3.7,9.4,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,1-02-2010,26.7,32.2,24.2,1010.6,86,9.4,6.8,3.9,13,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,2-02-2010,27.8,32,24.2,1010,78,0,14.5,5.4,13,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,3-02-2010,27.8,31.2,25,1010,79,9.91,7.4,2.4,9.4,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,4-02-2010,28.4,32.4,24,1009.8,80,0,7.4,1.9,7.6,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,5-02-2010,28.2,31.8,24.4,1010.7,80,6.1,6.9,3.9,9.4,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,6-02-2010,27.3,31.2,25.6,1012.2,83,0,6.9,3.7,9.4,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,7-02-2010,28.6,33,25.2,1011.5,78,2.03,7.4,3.5,11.1,-,o, ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,8-02-2010,29.3,33,25.4,1011.3,75,0,7.7,5.7,13,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,9-02-2010,29.3,32.8,26.2,1010.2,73,0,8.5,4.4,13,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,10-02-2010,30.1,33.8,25,1010,69,0,8.5,3.1,7.6,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,11-02-2010,29.8,33.6,25.4,1011.2,72,0,7.7,3.7,11.1,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,12-02-2010,28.2,31.8,26.7,1010.7,80,20.07,6.9,3.7,11.1,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,13-02-2010,25.8,26.6,25,1010.2,93,40.13,6,1.7,13,-,o, ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,14-02-2010,27.2,30.8,24.2,1010.6,81,1.02,7.6,1.1,9.4,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,15-02-2010,28.4,32.4,24.6,1009.9,77,0,8,4.3,9.4,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,16-02-2010,28.3,31.2,25,1010.5,80,4.06,7.6,2.2,7.6,-, , ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,17-02-2010,28.9,32,25,1010.6,78,0,7.2,4.3,11.1,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,18-02-2010,27.3,30.4,24.4,1011.2,86,43.43,6.6,8.5,13,-,o, ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,19-02-2010,26.7,30.3,24.2,1012.2,86,3.05,7.4,4.4,11.1,-,o, ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,20-02-2010,27.1,31,25.1,1011.6,85,0.25,6.9,6.3,14.8,-,o, ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,21-02-2010,28.6,32.4,25.4,1011.1,78,8.89,8.7,6.3,11.1,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,22-02-2010,28.4,31.2,25,1011.8,81,1.02,7.1,4.4,11.1,-, , ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,23-02-2010,28.9,32.2,26,1010.5,77,0,7.1,3,11.1,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,24-02-2010,27.4,31.2,25.4,1010.4,85,-,6.6,3.1,11.1,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,25-02-2010,27.8,30.2,25,1011,82,0,6.9,4.1,11.1,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,26-02-2010,29.6,33.4,25.4,1010.1,75,0,8.4,0.7,5.4,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,27-02-2010,29.4,32.2,25,1010.4,71,0,7.7,0,-,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,28-02-2010,29,33.4,26.2,1010.5,74,10.92,7.6,3.5,11.1,-,o, , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,1-03-2010,26.9,33.6,24.2,1010.6,82,46.99,6.9,1.7,7.6,-,o, ,o, 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,2-03-2010,28.9,32.8,24,1010.7,73,0,7.6,5.4,13,-, , , , 
indonesia,JAKARTA/OBSERVATORY,ws-967450,-6.18,106.83,3-03-2010,29.7,33.8,25.2,1009.9,73,0,7.7,3.7,11.1,-, , , , 
