country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,1-01-2010,27.9,31.6,25.6,1008.2,82,-,6,1.9,9.4,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,2-01-2010,27.9,30.4,24.8,1007.7,80,2.03,8.2,7,14.8,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,3-01-2010,29.7,31,24.6,1007.5,70,0,9.8,3.3,9.4,-, , , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,4-01-2010,28.1,30,25,1007.2,85,6.1,8.9,14.8,74.1,-, , , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,5-01-2010,30.3,34.4,25,1006.2,73,0,8.4,6.7,13,-, , , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,6-01-2010,27.6,32.2,25.8,1006.8,86,8.89,6.9,8.1,18.3,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,7-01-2010,28.7,30.8,25.4,1006.6,79,0,7.4,1.5,7.6,-, , , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,8-01-2010,28.4,30.6,25.8,1006.5,81,4.06,6.8,6.7,14.8,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,9-01-2010,28.7,31.5,25.4,1006.1,77,7.11,9.2,11.5,16.5,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,10-01-2010,27.6,29,24.2,1007.3,85,-,8.5,0,-,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,11-01-2010,30.4,32,25.4,1005.4,71,-,8.5,3.7,9.4,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,12-01-2010,27.8,33,25.4,1007.2,84,13.97,6.9,1.5,3.5,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,13-01-2010,29.9,32.2,25.6,1008.2,74,0,9,2.2,11.1,-, , , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,14-01-2010,28.1,30.4,25.8,1008.4,83,-,6.6,4.4,14.8,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,15-01-2010,26.6,28.7,25,1009.3,93,9.14,4.3,5.9,18.3,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,16-01-2010,24.9,28.9,24,1009.9,98,5.08,4.7,2.2,11.1,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,17-01-2010,28.4,30.2,24.4,1008.8,76,1.02,8,6.7,22.2,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,18-01-2010,28.1,29.8,24.4,1009.3,82,0,8,2.6,7.6,-,o, , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,19-01-2010,30,31,24.8,1010,75,0,9.8,3.7,7.6,-, , , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,20-01-2010,29.3,33.4,25.6,1007.8,75,0,8.4,5.6,18.3,-, , , , 
indonesia,JAYAPURA/DOK II,ws-976980,-2.36,140.71,21-01-2010,27,29.6,24.4,1010.1,82,0,7.4,0,-,-,o, , , 
