country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,1-01-2010,28,32.3,24,-,73,0,7.7,13.3,24.1,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,2-01-2010,27.5,33.2,24.5,-,75,34.04,7.7,13.7,29.4,55.4,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,3-01-2010,28.4,33,24.4,-,73,0,6.9,17.8,25.9,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,4-01-2010,29,34,25,-,71,0,8.5,22.4,38.9,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,5-01-2010,28.1,32,25,-,74,0,7.7,18.1,33.5,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,6-01-2010,28.4,32.3,25.2,-,71,0,8.9,15.6,29.4,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,7-01-2010,27.4,33,24,-,78,8.89,7.4,8.7,31.3,38.9,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,8-01-2010,26,29,24,-,85,3.81,4.7,6.9,18.3,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,9-01-2010,26.2,30.2,23.6,-,82,37.08,5.1,8.9,25.9,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,10-01-2010,27.4,31.2,23.5,-,78,0,6.6,6.9,16.5,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,11-01-2010,27.3,31.4,25,-,79,23.11,6.3,10.4,25.9,44.3,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,12-01-2010,26.2,29,24,-,83,1.02,8,14.3,31.3,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,13-01-2010,26.3,30,23.9,-,81,7.11,6,13.9,25.9,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,14-01-2010,25.4,30,22,-,82,23.62,6.4,15,27.8,46.5,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,15-01-2010,25.9,29,21.5,-,82,0,5.8,9.4,20.6,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,16-01-2010,25.8,29,24,-,85,3.05,7.2,10.2,29.4,42.4,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,17-01-2010,25.7,28.4,24,-,87,62.99,4.7,10.6,25.9,35.2,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,18-01-2010,26.8,31,23,-,81,0.51,6.1,11.5,24.1,40.7,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,19-01-2010,26.5,30,23.2,-,83,4.06,6.3,6.9,24.1,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,20-01-2010,26.5,30,24,-,82,7.11,5.1,8.1,16.5,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,21-01-2010,27.5,32,23.8,-,79,7.87,7.1,9.3,22.2,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,22-01-2010,26.7,30,24.9,-,82,0,8.4,9.8,25.9,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,23-01-2010,27.7,32,24.5,-,77,1.02,7.7,7.6,20.6,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,24-01-2010,27.8,32,24.4,-,78,0,7.2,6.7,20.6,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,25-01-2010,26.9,31.6,23.8,-,83,44.96,4.7,8.5,22.2,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,26-01-2010,26.8,30,23.6,-,83,2.03,5.6,5.4,18.3,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,27-01-2010,27.4,32,24.4,-,79,0,7.4,6.7,22.2,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,28-01-2010,27.8,32,24.7,-,77,0,6.4,11.5,24.1,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,29-01-2010,28.4,32,24.7,-,75,-,7.6,10.6,16.5,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,30-01-2010,26.9,31.3,24,-,81,18.03,7.1,10,20.6,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,31-01-2010,27.3,30.6,23.7,-,81,23.88,6.8,5.9,14.8,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,1-02-2010,27,31.6,23.7,-,81,-,7.6,8.1,18.3,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,2-02-2010,28,33,24.2,-,75,0,6.6,12.6,31.3,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,3-02-2010,27.7,32,25,-,79,0.25,6.3,5.9,16.5,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,4-02-2010,28.1,32,24.6,-,77,0,5.1,6.3,18.3,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,5-02-2010,27.4,31,24,-,79,-,4.7,6.9,18.3,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,6-02-2010,26.9,31.4,23.9,-,83,27.94,6.4,6.5,13,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,7-02-2010,28.5,32.4,23.7,-,75,0,5.5,8,18.3,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,8-02-2010,28.1,32,24,-,79,2.03,4.8,8,24.1,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,9-02-2010,28.2,33,24,-,74,0,6.9,9.8,24.1,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,10-02-2010,28.5,33,24.3,-,74,-,8.4,8.9,25.9,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,11-02-2010,28.9,33,25,-,74,0,6.1,8.1,20.6,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,12-02-2010,28.7,33,25,-,74,-,6.3,8.7,22.2,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,13-02-2010,25.4,26.4,24,-,90,16.76,5.6,5.2,13,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,14-02-2010,26.6,31,23.8,-,83,3.56,7.2,10.2,22.2,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,15-02-2010,28.4,33,23.4,-,74,0,9,6.9,18.3,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,16-02-2010,26.6,32,-,-,85,-,6.1,6.3,16.5,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,17-02-2010,27.3,32,-,-,84,0,7.9,9.6,29.4,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,18-02-2010,26.4,30,24,-,88,24.89,4.5,7.6,18.3,38.9,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,19-02-2010,26.6,31,24.7,-,83,2.54,6.3,7.8,18.3,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,20-02-2010,27,32,24.4,-,85,2.03,7.4,9.8,31.3,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,21-02-2010,28.2,32,24.9,-,77,7.87,6.9,9.1,18.3,46.5,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,22-02-2010,27,31,24.7,-,85,0.76,6.8,6.1,22.2,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,23-02-2010,28.4,32,25,-,79,6.1,6.9,7.2,22.2,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,24-02-2010,27.3,32,25,-,82,0,6.6,5.7,18.3,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,25-02-2010,26.9,30.3,24,-,85,4.06,4.7,6.5,22.2,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,26-02-2010,28.5,32,24,-,82,0,8.2,4.6,13,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,27-02-2010,29.3,33.1,25,-,74,0,6.1,8.3,20.6,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,28-02-2010,28.4,34,25,-,79,7.87,6,5.4,16.5,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,1-03-2010,28.2,35,24.9,-,77,0.51,7.1,7.8,22.2,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,2-03-2010,28.8,33.4,24.6,-,76,0,6.6,8.1,18.3,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,3-03-2010,28.8,33,24.8,-,77,0,6.3,6.3,13,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,4-03-2010,28.6,33.1,24.9,-,75,0,6,6.3,18.3,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,5-03-2010,27.3,30,24.9,-,85,0.51,4.5,5.4,11.1,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,6-03-2010,27.1,32.5,-,-,84,0,5.8,4.8,18.3,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,7-03-2010,29.1,33,25,-,73,0,5.6,6.9,18.3,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,8-03-2010,27.6,32,24.9,-,81,3.05,6.1,9.1,22.2,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,9-03-2010,28.2,33,24.5,-,77,0,6.6,10.9,22.2,29.4, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,10-03-2010,27.3,31,24,-,80,2.03,6.8,8,14.8,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,11-03-2010,27.1,31,24.4,-,80,-,7.4,10.2,24.1,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,12-03-2010,27.4,31.2,24,-,77,0.25,6.9,6.5,16.5,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,13-03-2010,28.9,33,24.2,-,72,0,6.9,8.5,24.1,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,14-03-2010,28.6,33.2,23.4,-,74,0,6.8,7.6,18.3,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,15-03-2010,28.3,33,24.4,-,77,0,6,8.9,22.2,46.5, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,16-03-2010,27.7,32,24.4,-,77,0,6.4,7.2,16.5,-,o, ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,17-03-2010,27.7,31.4,24,-,76,0,7.6,10,24.1,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,18-03-2010,28.5,32,25.6,-,72,0,7.7,8.7,20.6,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,19-03-2010,27.8,31.6,25,-,77,0,6.6,8,22.2,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,20-03-2010,28.4,34,24.6,-,74,0,6.8,9.1,18.3,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,21-03-2010,28.1,31.6,24.7,-,77,0,6,11.9,27.8,-,o, , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,22-03-2010,28.9,35,24.5,-,71,0,8.2,14.3,29.4,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,23-03-2010,28.4,34,24.5,-,76,0,6,7.6,20.6,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,24-03-2010,29.4,33.9,26.8,-,72,0,6.8,7.2,20.6,-, , , , 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,25-03-2010,29.1,33,26,-,75,0,6.8,7.2,22.2,-, , ,o, 
indonesia,Jakarta / Soekarno-Hatta,ws-967490,-6.11,106.65,26-03-2010,28.3,32,25.8,-,73,0,6.1,6.5,13,-, , , , 
