country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,1-01-2010,27.2,31,23,1008.6,81,0,7.7,1.3,9.4,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,2-01-2010,27.1,32,23.1,1009.6,85,12.95,6.4,4.4,9.4,-,o, , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,3-01-2010,26.3,30,23.4,1009.4,89,0,8.7,1.7,13,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,4-01-2010,28.1,32.2,22.6,1008.6,81,0,9,0,-,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,5-01-2010,26.3,32.6,24.3,1009.6,87,0.51,6.3,0,-,-,o, , ,o
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,6-01-2010,27.9,31.8,24.1,1010.1,81,0,7.6,1.7,11.1,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,7-01-2010,27.9,32.3,25.4,1009.9,80,-,7.7,0,-,-,o, , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,8-01-2010,25.1,28,22.9,1011.7,93,9.14,7.2,0,-,-,o, ,o, 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,9-01-2010,25.8,29.8,23.6,1011.5,87,0,7.1,3.5,13,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,10-01-2010,27.8,30.3,24.9,1011.6,76,0,7.9,3.5,13,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,11-01-2010,27.7,33,23.5,1011.8,78,0,7.1,4.6,16.5,-,o, , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,12-01-2010,25.8,30.7,23.2,1012.8,86,5.08,7.6,5.7,14.8,-,o, ,o, 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,13-01-2010,25.8,28.4,22.3,1014.3,85,0,7.2,3.7,11.1,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,14-01-2010,25.8,29.8,22.6,1014.7,85,15.24,5.8,4.8,11.1,-,o, ,o, 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,15-01-2010,25.4,32.6,22.4,1014.4,89,-,5.8,1.9,13,-,o, , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,16-01-2010,27.1,30.6,23.6,1013.6,80,0,8,4.3,13,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,17-01-2010,27.4,31.2,24.2,1013.6,77,0,8.5,8.9,14.8,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,18-01-2010,27.7,30.7,23.6,1012.2,79,0.51,8.5,5,13,-,o, , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,19-01-2010,27.1,31.2,23.7,1012,83,1.02,8.4,4.4,13,-,o, ,o, 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,20-01-2010,28.4,33.2,23.4,1012.3,78,0,8.5,3.9,13,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,21-01-2010,25.9,28.2,23.8,1012.8,90,0,7.9,3,9.4,-,o, , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,22-01-2010,28.4,32.1,23.2,1012.2,78,0,10,4.3,13,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,23-01-2010,25.4,29.7,23.5,1012.8,93,16,5.3,3,13,-,o, ,o,o
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,24-01-2010,27.2,30.8,23.2,1012,85,0,7.4,4.3,13,-, , , ,o
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,25-01-2010,26.9,30.5,23.4,1011.9,86,7.11,7.1,3.5,11.1,-, , ,o, 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,26-01-2010,27.3,32,23.9,1012.2,81,0,6.9,3.5,11.1,-, , , , 
indonesia,Jambi / Sultan Taha,ws-961950,-1.63,103.65,27-01-2010,27.4,30.8,24.2,1012.1,85,1.02,7.7,2.6,13,-,o, , , 
