country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,1-01-2010,26.6,29.6,23,1007.6,87,-,10.3,4.6,18.3,-,o, , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,2-01-2010,26.9,31,23,1007.4,85,0,9.5,6.7,22.2,-, , , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,3-01-2010,27.2,32.6,23.6,1007,82,0,9.8,6.5,20.6,-, , , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,4-01-2010,27.8,33,23.8,1006.4,79,0,9.3,5.4,14.8,-, , , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,5-01-2010,27.9,33.8,23.8,1006.2,85,0,8.2,4.8,11.1,-, , , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,6-01-2010,27,31.8,24.4,1006.2,88,0.51,7.4,5.6,11.1,-,o, ,o, 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,7-01-2010,27.2,31.4,24.6,1005.8,87,0,8.5,3.3,9.4,-, , , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,8-01-2010,26.3,31.2,24.7,1006.5,89,3.05,7.7,9.4,25.9,-,o, , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,9-01-2010,26.9,33,23.6,1006.1,85,49.02,7.9,7.4,20.6,-,o, , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,10-01-2010,26.9,29.8,23.6,1006,86,0,7.9,13,31.3,-, , , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,11-01-2010,28.2,32.3,25.2,1005.8,79,0,8.7,20.4,27.8,-,o, , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,12-01-2010,26.9,29.2,25.2,1006.8,84,0,6.6,19.8,27.8,-,o, , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,13-01-2010,27.6,31.2,26,1008,82,-,7.7,14.1,29.4,-,o, , , 
indonesia,Jayapura / Sentani,ws-976900,-2.56,140.48,14-01-2010,26.7,31.2,25.2,1007.7,92,-,6.4,6.9,24.1,-,o, ,o, 
