country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,1-01-2010,27.5,31,25.2,1008,86,0,8.9,5.2,11.1,-,o, ,o, 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,2-01-2010,27.9,32.6,25,1008.5,89,-,9.5,5.4,18.3,-,o, ,o, 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,3-01-2010,27.9,33,21.6,1008.2,91,0,10.3,6.1,14.8,-, , , , 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,4-01-2010,27.8,33,26,1007.3,88,0.25,9.3,5,18.3,-, , ,o, 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,5-01-2010,27.4,31.8,25.2,1008.2,86,3.05,9.5,13.1,53.5,-,o, ,o, 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,6-01-2010,27.7,32.4,24.8,1008.6,86,0.76,9.2,8.1,16.5,-,o, ,o, 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,7-01-2010,25.4,29.2,24.4,1009,95,39.12,8,7.4,29.4,-,o, ,o, 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,8-01-2010,26.4,30.4,24.4,1009.1,89,11.94,9.3,5.7,14.8,-,o, , , 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,9-01-2010,26.4,31.2,24,1009.4,85,5.84,9.2,17.4,25.9,-,o, ,o, 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,10-01-2010,27.4,31,24.4,1009.5,85,0,9.3,8.5,18.3,-, , , , 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,11-01-2010,26.8,32,23.4,1009.5,87,24.13,9,10.9,16.5,-,o, ,o, 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,12-01-2010,27.8,32.4,23.2,1008.7,82,0,9.8,18.7,31.3,-, , , , 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,13-01-2010,27.3,32.4,25,1009.6,85,-,9.2,28,40.7,-,o, , , 
indonesia,KALIANGET (MADURA I,ws-969730,-7.05,113.96,14-01-2010,25.8,30.2,24.2,1010.5,89,13.72,8.5,25.6,37,-,o, , , 
