country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,1-01-2010,22.2,29.4,18.4,-,87,0,3.9,3.7,25.9,-, , ,o, 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,2-01-2010,23.2,29.7,18.2,-,82,1.02,5.5,5,16.5,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,3-01-2010,22.4,24.3,20,-,78,0,4.8,4.4,14.8,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,4-01-2010,23.1,27.1,17,-,77,0,5.5,4.4,13,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,5-01-2010,23.3,28.8,18.8,-,76,1.02,4.7,1.1,9.4,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,6-01-2010,22.2,26.4,18.8,-,78,0,4.8,6.5,24.1,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,7-01-2010,22.3,27.8,19.2,-,84,-,5.3,2.2,7.6,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,8-01-2010,21.9,25.6,18.4,-,88,7.11,4.7,1.3,7.6,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,9-01-2010,23.4,28.1,20.2,-,80,-,5.8,0,-,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,10-01-2010,22.2,24.2,18.4,-,90,1.02,3.4,1.5,7.6,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,11-01-2010,22.2,28,19.5,-,86,9.4,4,1.9,13,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,12-01-2010,22,26.7,19.4,-,87,12.95,6,2.6,11.1,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,13-01-2010,21,24.6,19.3,-,91,3.05,4.7,0,-,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,14-01-2010,22.1,26.4,17.8,-,83,0,4.2,3.3,13,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,15-01-2010,21.3,26.2,18.2,-,87,0,4.7,3.5,14.8,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,16-01-2010,23.2,29,18.2,-,78,0,6.8,4.1,13,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,17-01-2010,23.6,29,20.4,-,79,2.03,6.1,3,20.6,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,18-01-2010,22.9,28.7,18,-,81,4.06,5.1,1.9,11.1,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,19-01-2010,21.4,24.9,17.3,1017.4,83,0,4.7,9.8,20.6,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,20-01-2010,21.9,27.5,18.6,1017.3,82,3.05,4.8,5.6,14.8,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,21-01-2010,20.6,22.5,18,1016.7,88,4.06,4.5,3,11.1,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,22-01-2010,24,29.1,20.5,1017.1,77,0,7.2,3.1,13,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,23-01-2010,22.3,27.9,19.2,1017.7,86,0,5.6,3.7,11.1,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,24-01-2010,21.3,26,19,-,89,0,4.5,-,-,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,25-01-2010,22.5,28.2,17.9,1016.5,88,2.03,4.3,0,-,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,26-01-2010,23.6,27.9,19,1016.3,82,0,5.8,3,13,-, , ,o, 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,27-01-2010,21.6,25.2,19.4,1017.2,90,0,5.1,0,-,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,28-01-2010,22.2,27.9,19,1016.4,89,5.08,4.7,1.9,11.1,-,o, , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,29-01-2010,23.4,27.5,20,1017.1,82,1.02,5.5,0,-,-, , , , 
indonesia,Kerinci / Depati Parbo,ws-962070,-2.76,101.36,30-01-2010,23.3,27.8,19.8,1016.9,82,-,5.6,3,14.8,-,o, , , 
