country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,1-01-2010,27.4,33,24,1008.2,84,5.08,6.8,3.7,13,-,o, ,o, 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,2-01-2010,26.9,32.8,23.4,1008.9,87,17.02,6.9,3.1,9.4,-,o, , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,3-01-2010,28.4,32.4,23.6,1008.5,79,0,7.2,4.3,14.8,-, , , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,4-01-2010,27.6,33.8,23.6,1007.6,83,20.07,5.8,3.1,14.8,-,o, ,o, 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,5-01-2010,28.2,31.6,22.6,1008.2,79,0,6.8,4.1,14.8,-, , , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,6-01-2010,28.4,34,24.4,1009.4,81,21.08,6.8,0,-,-,o, , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,7-01-2010,27.7,31.2,22.8,1008.8,82,0,6,3.7,14.8,-, , , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,8-01-2010,27.2,30.2,23.8,1008.7,81,0.51,6.6,10.7,37,-, , , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,9-01-2010,26.2,31,23.8,1008.9,87,9.14,5.1,1.9,11.1,-,o, , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,10-01-2010,28,32.8,23,1008.3,80,5.08,6.1,4.6,14.8,-,o, , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,11-01-2010,28.2,32.4,23.2,1007.7,81,0.76,6.4,4.6,14.8,-,o, , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,12-01-2010,28.8,32.8,24,1007.4,77,0,6.6,3.1,18.3,-,o, , , 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,13-01-2010,28.7,34,24.2,1008.9,81,1.52,6.8,2.2,13,-,o, ,o, 
indonesia,Kokonao / Timuka,ws-977960,-5,136.43,14-01-2010,28.7,32.5,23.8,1011,79,0,7.2,1.9,11.1,-, , , , 
