country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,1-01-2010,27.4,30.2,22.8,1008.9,78,0,5.5,7.4,11.1,-, , , , 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,2-01-2010,26.3,28,23.6,1009.4,86,4.06,5.3,5.6,13,-,o, , , 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,3-01-2010,24.8,25.8,23.2,1009.4,97,13.97,3.2,5.4,9.4,-,o, ,o, 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,4-01-2010,26.7,30,23,1008.5,87,0.51,7.2,2.4,9.4,-,o, , , 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,5-01-2010,27.4,30,23.2,1007.5,82,-,7.4,6.1,13,-,o, ,o, 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,6-01-2010,27,28.8,23.2,1009.1,87,0,5.8,4.3,7.6,-, , , , 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,7-01-2010,26.1,28,23.4,1011.1,89,0,5.5,7.4,13,-,o, ,o, 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,8-01-2010,26.9,29.4,23.4,1011,85,0,5.5,5,9.4,-, , ,o, 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,9-01-2010,27.5,30.8,24,1011,84,0,5.8,6.1,9.4,-, , , , 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,10-01-2010,27.2,30.6,21.4,1010.8,79,0,6.3,5,13,-, , , , 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,11-01-2010,27.6,30.6,22,1011.9,80,0,6.3,7.2,9.4,-, , , , 
indonesia,Lhokseumawe / Malikussaleh,ws-960090,5.23,97.2,12-01-2010,27.3,30.6,21.6,1012.3,79,0,4.7,4.6,14.8,-, , , , 
