country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,1-01-2010,28.7,32.8,26.2,1008,77,0,9.5,7.2,11.1,-, , ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,2-01-2010,27.7,32.4,25.4,1009,81,3.05,9.7,9.8,27.8,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,3-01-2010,28.9,32,25.3,1008.6,77,0,9.7,8.5,13,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,4-01-2010,28.6,31.7,25.4,1007.8,79,1.02,9.8,7.6,11.1,-,o, ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,5-01-2010,28.9,33,25.2,1008,75,0,10.1,7.6,9.4,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,6-01-2010,28.6,33,24.6,1008.9,73,-,9.8,6.5,16.5,-,o, , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,7-01-2010,26.9,30,24.6,1009.3,83,0,9.5,8,11.1,-,o, , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,8-01-2010,28.8,31.6,25,1008.6,76,0,9.8,8.1,11.1,-, , ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,9-01-2010,27.6,30.7,25.2,1009.1,82,-,9.3,4.6,9.4,-,o, , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,10-01-2010,26.3,32,24.4,1009.7,84,4.06,7.2,9.8,20.6,-,o, , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,11-01-2010,28.1,32.2,24.4,1008.6,78,0.25,9.7,6.7,11.1,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,12-01-2010,29.1,32.2,23.2,1008.5,76,3.05,10,7.4,13,-,o, , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,13-01-2010,29.2,32,25.6,1009.7,75,0,10,7.2,9.4,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,14-01-2010,28.4,32.4,26.2,1010.3,75,0,8.5,7.4,9.4,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,15-01-2010,27.8,30.6,25,1010.2,78,1.02,8.9,4.3,9.4,-, , ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,16-01-2010,27.7,33.1,24,1009.8,80,30.99,8.9,8.3,11.1,-,o, ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,17-01-2010,28.3,32.2,21.6,1010.2,74,0,9.8,6.3,11.1,-,o, , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,18-01-2010,28.5,32.5,24.6,1010.5,78,0,9.8,11.5,46.5,-, , ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,19-01-2010,27.9,32.9,25.1,1011.6,79,0,8.7,8.5,13,-,o, , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,20-01-2010,28.4,31.6,24.8,1011.2,77,0,9.8,7.6,11.1,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,21-01-2010,28.8,32.1,25,1011.1,74,0.51,9.8,5.6,9.4,-,o, , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,22-01-2010,29,33.2,25.9,1011.3,75,0,10.1,9.3,14.8,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,23-01-2010,28.4,33.3,22.8,1011.2,77,0,10,8.3,13,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,24-01-2010,28.9,32.1,25,1010.2,74,0,10,8.1,13,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,25-01-2010,28.9,32.6,24.6,1010.7,72,0,9.3,7,11.1,-, , ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,26-01-2010,28.1,32.3,25.8,1011,78,0,8.5,6.9,9.4,-, , ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,27-01-2010,28.2,31.2,25.9,1010.6,77,0,10,6.3,11.1,-, , ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,28-01-2010,28.2,32,22.9,1010.1,73,0,9.7,8.1,13,-,o, ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,29-01-2010,28.8,32.1,25.2,1010.5,75,0,10,9.4,14.8,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,30-01-2010,28.7,31.3,25.4,1010.8,74,0,9.7,8,11.1,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,31-01-2010,28.8,32.6,25.7,1010.9,71,0,10,7.2,11.1,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,1-02-2010,28.8,31.8,24.1,1009.8,72,0,10,7.2,11.1,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,2-02-2010,28.9,33,25.4,1010,74,0,10,8.5,11.1,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,3-02-2010,28.6,31.5,25.1,1010.3,71,0,10,8,11.1,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,4-02-2010,29.7,35.2,25,1010.4,67,0,10.1,10.2,27.8,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,5-02-2010,29.6,33.4,26.1,1011,69,0,10.3,11.1,25.9,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,6-02-2010,29.4,33.4,26.4,1012.6,74,0.25,10,10,14.8,-,o, , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,7-02-2010,28.4,32.5,26,1012.9,77,0,9.2,7.2,11.1,-,o, ,o, 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,8-02-2010,28.7,31.9,25.6,1011.7,71,0,10,12,24.1,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,9-02-2010,29.1,32.6,25.3,1011.7,71,0,10.3,14.3,29.4,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,10-02-2010,29.2,33,25.6,1011.8,70,0,9.8,13.1,20.6,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,11-02-2010,29.8,33.2,26.2,1012,68,0,10.1,13.5,22.2,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,12-02-2010,29.2,33.5,24.8,1010.8,69,0,10,8.1,14.8,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,13-02-2010,28.6,31.1,25.8,1010.7,74,0,9.5,9.8,20.6,-, , , ,o
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,14-02-2010,28.8,32.4,25.4,1010.3,71,0,10,9.8,11.1,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,15-02-2010,29.3,32.7,25.4,1010.4,69,0,10,6.3,9.4,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,16-02-2010,29.2,33.2,25.6,1010.2,70,0,9.5,11.9,18.3,-, , , , 
indonesia,Luwuk / Bubung,ws-970860,-0.9,122.78,17-02-2010,29.8,33.5,25.6,1010.8,72,0,10.1,8.3,13,-, , , , 
