country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,1-01-2010,17.6,31.3,9,1007.6,83,0,8.4,5,11.1,-,o, , ,o
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,2-01-2010,22.6,32.6,10,1009.6,48,1.02,9,5.2,18.3,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,3-01-2010,20.8,33,9,1009,46,13.46,9.2,6.3,18.3,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,4-01-2010,18.3,33.2,9,1008.8,54,53.09,9.2,5.4,14.8,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,5-01-2010,12.1,25.6,8,-,88,27.94,7.2,10.7,18.3,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,6-01-2010,10.2,23.6,6,-,86,18.8,10.5,6.1,18.3,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,7-01-2010,11.4,-,2,-,75,0,9.2,3.1,11.1,-, , , ,o
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,8-01-2010,8.3,14,4,-,79,0.76,10.5,6.5,18.3,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,9-01-2010,9.9,24,4,-,77,11.94,9.8,6.9,14.8,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,10-01-2010,16.8,29.2,5,1010.2,74,27.94,9.2,5.7,14.8,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,11-01-2010,16.2,31.6,5,1009.4,56,4.06,9.5,4.4,14.8,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,12-01-2010,11.7,16,6,-,73,0,10.9,3,18.3,-, , , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,13-01-2010,10.3,13,8,-,80,0,9.8,6.5,14.8,-, , , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,14-01-2010,11.7,17,8,-,77,0,9,8.3,22.2,-, , , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,15-01-2010,14.2,25.4,9,-,86,0.76,4.8,8.3,22.2,-,o, ,o,o
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,16-01-2010,13.6,25.6,8,-,87,0,5.1,5.2,18.3,-, , , ,o
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,17-01-2010,12.8,24.4,11,-,94,0,4.2,6.9,14.8,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,18-01-2010,14.8,26.2,10,-,88,4.06,6.6,4.8,11.1,-, , , ,o
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,19-01-2010,16.9,30.4,9,1011.6,81,1.52,7.7,2.4,11.1,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,20-01-2010,13.7,29.6,7,-,74,1.02,9.5,5.7,14.8,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,21-01-2010,16.1,32.4,11,-,80,18.03,10.1,7.6,18.3,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,22-01-2010,11.5,24.8,10,-,94,1.02,5.6,7,14.8,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,23-01-2010,13.3,-,5,-,85,70.1,8.5,6.1,14.8,-,o, ,o,o
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,24-01-2010,10.7,24.2,4,-,79,7.87,9,5,11.1,-, , , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,25-01-2010,16.1,32.4,6,1011.9,86,40.13,8.2,10,18.3,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,26-01-2010,15.9,32,4,1011.2,86,8.89,5.5,6.9,25.9,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,27-01-2010,13.8,-,0,1011.3,84,55.63,8.9,6.7,18.3,-,o,o,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,28-01-2010,3.9,9,-1,-,72,2.03,10.3,3.7,11.1,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,29-01-2010,8,-,3,-,81,16,10.3,4.3,11.1,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,30-01-2010,12.9,26.6,4,-,54,0,9.7,6.3,11.1,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,31-01-2010,16.6,29.1,8,-,41,55.12,9.2,6.9,18.3,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,1-02-2010,18.4,32.2,8,1010.5,53,54.1,9.2,4.4,11.1,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,2-02-2010,12.5,23.8,9,-,84,20.07,11.1,8.3,18.3,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,3-02-2010,16.4,32.4,10,1010.3,81,2.54,5.6,4.1,14.8,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,4-02-2010,17.9,33.4,9,1010.4,84,0,6.9,8.3,18.3,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,5-02-2010,6.4,9,3,-,89,27.94,6,22.8,33.5,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,6-02-2010,4.8,6,3,-,80,-,11.3,11.7,18.3,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,7-02-2010,4.3,7,2,-,87,37.08,9.2,10,22.2,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,8-02-2010,4.2,9,1,-,79,0,10.8,6.3,18.3,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,9-02-2010,6.9,-,1,-,82,-,10.1,3,11.1,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,10-02-2010,9.4,25.2,3,-,78,21.08,9.8,7.6,18.3,-,o, , , 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,11-02-2010,22.6,34.2,6,1010.9,80,-,7.7,3.7,7.6,-,o, ,o, 
indonesia,MASAMBA/ANDI JEMMA,ws-971260,-2.55,120.36,12-02-2010,24.2,34.2,-,1010.7,78,0,7.6,4.6,18.3,-,o, ,o, 
