country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,1-01-2010,27.3,29.4,25.4,1009.1,80,0,5.3,5.7,20.6,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,2-01-2010,28.1,31.4,24.4,1008.9,79,2.03,5,8.5,25.9,-,o, ,o, 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,3-01-2010,26.3,29,24.4,1009.3,90,49.02,4.2,4.4,14.8,-,o, ,o, 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,4-01-2010,26.7,29.4,24,1008.5,87,0,5.6,4.3,9.4,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,5-01-2010,28.7,32.2,24.4,1007.7,79,-,6.4,6.1,22.2,-,o, , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,6-01-2010,27.4,31.2,24.6,1009,84,11.94,6.8,6.7,22.2,-,o, , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,7-01-2010,27.3,31,24.2,1010.6,84,0,6.9,8.3,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,8-01-2010,27.7,31.2,24,1010.9,81,0,6.1,10.9,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,9-01-2010,27.9,30.4,24.4,1010.8,80,0,6.4,8,18.3,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,10-01-2010,27.8,32,25,1011.1,79,0,7.1,7.6,25.9,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,11-01-2010,27.9,31.2,24.8,1011.7,79,0,6.6,4.3,11.1,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,12-01-2010,27.6,31.2,24.2,1012.3,76,0,8,6.5,14.8,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,13-01-2010,25.9,29.2,24,1013.5,85,0,6.9,5.6,27.8,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,14-01-2010,27.7,30.6,23.6,1014.3,77,0,7.4,8,18.3,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,15-01-2010,27.2,30.8,24,1013.8,78,0,6.4,6.9,20.6,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,16-01-2010,27.4,31,24.8,1014.4,76,0,6.9,9.4,16.5,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,17-01-2010,27.3,31.4,24,1014.3,74,0,6.9,7.6,18.3,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,18-01-2010,27.6,30.2,24.6,1012.9,77,0,7.6,8.9,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,19-01-2010,27.2,31,24,1011.9,79,2.03,6.1,11.7,27.8,-,o, , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,20-01-2010,27.4,31.6,23.4,1011.9,78,3.05,6.4,9.4,14.8,-,o, , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,21-01-2010,27.8,31.2,23.4,1011.3,78,0,6.9,8,14.8,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,22-01-2010,28.1,31.2,23.8,1012.1,79,0,6.8,4.3,14.8,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,23-01-2010,28.2,31.4,24,1011.6,79,0,6,7.8,18.3,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,24-01-2010,27.6,31.2,24.2,1011.4,84,0,6,7.6,18.3,-,o, ,o, 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,25-01-2010,27.5,30.6,24.6,1011.7,83,0,6.4,9.4,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,26-01-2010,28.1,31.6,23.8,1012,79,0,7.1,10.2,29.4,-, , ,o, 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,27-01-2010,28.3,32,24.6,1011.4,77,0,6.9,5.9,11.1,-, , ,o, 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,28-01-2010,27.5,32.6,24.8,1012.2,81,1.02,6.6,4.6,14.8,-, , ,o, 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,29-01-2010,28.2,32.6,24.6,1011.5,79,0,7.6,9.3,25.9,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,30-01-2010,28.3,31.6,24.2,1011.1,78,0,7.6,7.8,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,31-01-2010,28.3,31.6,25.2,1011.5,79,0,7.9,8.5,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,1-02-2010,28.7,31.8,24.2,1010.9,77,0,7.2,10.2,25.9,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,2-02-2010,28.7,32.2,24.8,1010.7,76,0,7.9,6.7,14.8,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,3-02-2010,28.5,32.4,25.4,1010.8,74,0,7.4,6.7,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,4-02-2010,28.6,31.8,24.4,1010.8,79,0,8.4,9.8,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,5-02-2010,29.2,32.8,26,1011.4,77,0,7.7,12.6,25.9,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,6-02-2010,29.2,33,26.2,1011.7,76,0,7.7,7.6,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,7-02-2010,29.3,32.4,24.6,1011,76,0,7.6,7.6,14.8,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,8-02-2010,28.8,32.8,25.2,1010.1,77,0,7.2,8,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,9-02-2010,29.4,32.8,24.6,1009.8,75,0,7.4,4.6,14.8,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,10-02-2010,28.2,32,25.8,1010.4,82,0,5.6,5.7,18.3,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,11-02-2010,28.7,32.2,24.4,1010.8,80,0,6.8,8.5,25.9,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,12-02-2010,29.3,32.6,25.2,1011.2,78,0,7.2,7.6,16.5,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,13-02-2010,28.2,31.4,25.4,1009.7,78,0,6.9,4.8,18.3,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,14-02-2010,28.4,31,24.4,1009.9,77,0,6.4,6.1,22.2,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,15-02-2010,29,33,25.4,1010.6,77,0,7.7,9.4,33.5,-, , , , 
indonesia,MEDAN/BELAWAN,ws-960330,3.8,98.7,16-02-2010,28.5,32.9,24.4,1010.6,76,0,7.4,7,22.2,-, , , , 
