country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,1-01-2010,28,31.8,23,1007.5,82,0,11.7,5.4,27.8,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,2-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,3-01-2010,27.5,32.4,25.2,1006.5,81,0,7.2,4.4,22.2,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,4-01-2010,27.8,32.4,23.6,1006.2,79,0,10.6,8,24.1,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,5-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,6-01-2010,27.4,33.4,23.8,1006.6,85,-,8,5.7,27.8,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,7-01-2010,27.7,32,24,1006,85,1.02,9.5,1.7,11.1,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,8-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,9-01-2010,26.7,31,23.6,1007.2,90,14.48,10.1,3.1,11.1,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,10-01-2010,27.2,30.2,24,1006.5,89,0,8.2,0,-,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,11-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,12-01-2010,27.5,31,26.2,1007.2,82,0,9.5,12.4,18.3,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,13-01-2010,27,31.2,24,1007,86,-,8,7.6,22.2,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,14-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,15-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,16-01-2010,26.2,29.7,24.4,1009,90,3.56,7.7,0,-,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,17-01-2010,25.1,31,23.2,1009.4,98,25.91,7.2,0,-,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,18-01-2010,26.4,31,23,1010,90,11.94,7.9,3,9.4,-,o, ,o, 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,19-01-2010,26,30.7,23.6,1010.5,95,25.15,5.1,5.6,18.3,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,20-01-2010,26.5,30.8,23,1010.1,84,6.35,8,4.8,18.3,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,21-01-2010,27.1,30.2,22.8,1009.7,79,0,8.7,5.2,18.3,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,22-01-2010,26.9,31.9,22.8,1009.9,84,0,9.2,1.9,7.6,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,23-01-2010,26.2,30.4,23.6,1010,92,21.08,8.2,3.5,14.8,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,24-01-2010,27.7,30.2,23.6,1009.8,81,23.11,8.7,-,-,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,25-01-2010,25.6,29.4,23.4,1009,89,28.96,7.9,4.1,14.8,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,26-01-2010,25.4,31,23.3,1008.5,95,1.02,6.6,1.9,11.1,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,27-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,28-01-2010,26.4,31.5,23.6,1008.8,87,0.76,8.5,9.8,27.8,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,29-01-2010,26.8,32,23.8,1007.6,87,0,10.6,2.4,14.8,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,30-01-2010,26.8,31.8,23.8,1009,89,7.11,8.2,0,-,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,31-01-2010,26.7,30.2,25,1009.7,86,0,9,4.6,11.1,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,1-02-2010,27.7,31.2,24.6,1008.8,83,0,11.4,5.6,13,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,2-02-2010,26.8,32,25,1009,86,0,8.5,14.4,37,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,3-02-2010,25.9,29.8,22.8,1009.8,87,0,9.5,6.3,20.6,-, , , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,4-02-2010,25.4,28.4,23.4,1011,88,2.54,7.6,6.3,14.8,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,5-02-2010,26.3,31,23.3,1010.5,86,2.03,6.9,6.9,18.3,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,6-02-2010,26.2,29.1,23.6,1011.2,86,0.51,5,12.2,18.3,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,7-02-2010,25.9,28.4,22.6,1012.1,85,-,9.7,2.4,14.8,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,8-02-2010,26.2,31.2,23.2,1011.3,81,1.02,8.2,11.5,18.3,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,9-02-2010,25.2,29.6,22.4,1012.5,86,-,5.6,5.6,14.8,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,10-02-2010,27.8,32.2,23.3,1011.6,80,6.1,8.5,2.8,13,-,o, , , 
indonesia,Manokwari / Rendani,ws-975300,-0.88,134.05,11-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
