country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,1-01-2010,28.5,32.2,25.2,1007.8,82,0,12.6,5,11.1,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,2-01-2010,29.1,32.6,25,1008.7,79,0,11.7,7,14.8,-, , ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,3-01-2010,27.9,30.5,24.8,1008.5,85,2.03,10.9,3,9.4,-, , ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,4-01-2010,27.4,32.6,24.6,1007.3,86,0,10.9,0.7,5.4,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,5-01-2010,28.4,31.4,25.3,1007.6,81,0,11.4,7.4,9.4,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,6-01-2010,26.4,31.4,24.8,1009.8,85,4.06,10.3,6.9,14.8,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,7-01-2010,27.1,30.6,24.6,1009.1,82,17.02,10.5,3.9,11.1,-,o, ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,8-01-2010,27.6,31.2,24.8,1009.1,84,5.08,11.6,3.7,14.8,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,9-01-2010,27.6,31.2,24.2,1008.9,84,6.1,10.3,4.8,9.4,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,10-01-2010,27.6,30.2,24.8,1008.9,84,0,12.6,4.4,9.4,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,11-01-2010,28.2,33.2,24.4,1008.7,77,0,12.2,4.8,16.5,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,12-01-2010,26.5,33.2,23.8,1008.5,86,6.1,10.3,3.3,9.4,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,13-01-2010,26.4,33.5,24.2,1009.6,89,34.54,10.9,3.7,11.1,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,14-01-2010,26.9,33.2,24,1010.3,87,18.03,9.2,5.6,16.5,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,15-01-2010,27.7,30.6,24.8,1009.9,81,2.03,10.8,7.2,22.2,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,16-01-2010,26.3,28.8,24.8,1010,88,6.6,10.6,3.1,9.4,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,17-01-2010,25.8,28.8,24.6,1010.3,89,19.05,10.3,2,9.4,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,18-01-2010,26.8,30,24.2,1009.3,83,0,10.5,3.7,13,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,19-01-2010,26.5,30.4,24,1009.8,87,5.84,10.3,3.7,9.4,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,20-01-2010,27.1,30.1,24.8,1010.6,82,0,10.8,6.1,13,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,21-01-2010,26.6,30.8,24,1010.8,87,19.05,11.4,3.7,11.1,-,o, ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,22-01-2010,27.1,30.4,24.4,1011.5,86,10.92,11.4,5.7,14.8,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,23-01-2010,26.4,30,23.8,1011.3,90,24.13,10.8,3.9,11.1,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,24-01-2010,26.9,30.2,24,1010.5,88,3.05,11.3,5.2,11.1,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,25-01-2010,27.1,30.4,24.2,1011,87,0,11.4,3.9,9.4,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,26-01-2010,27.7,30.4,24.4,1011,82,0,12.7,4.1,11.1,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,27-01-2010,27.2,30.6,24.2,1010.9,86,0,11.6,2.8,9.4,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,28-01-2010,27.7,30.5,23.5,1010.9,83,0,11.4,4.1,9.4,-, , ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,29-01-2010,27.6,31,24.8,1010.2,85,2.03,10.9,6.1,14.8,-,o, ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,30-01-2010,27.4,30.2,25.2,1010.5,86,-,10.5,2.8,9.4,-,o, ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,31-01-2010,28.1,31.2,25,1010.4,84,0,10.8,5.6,11.1,-, , ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,1-02-2010,26.7,28.8,25.2,1010.2,86,2.03,9.5,4.4,11.1,-,o, ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,2-02-2010,27.3,30,25,1010.1,87,-,11.6,3.1,9.4,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,3-02-2010,27.3,28.8,24.8,1010.5,85,0.25,9.5,4.1,11.1,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,4-02-2010,26.9,30.6,25.6,1011.2,89,18.03,10.3,2.6,9.4,-,o, ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,5-02-2010,27.1,30.2,24.5,1011.6,87,0,11.3,1.5,11.1,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,6-02-2010,27.3,30.8,24,1012.8,88,9.91,11.3,4.4,9.4,-,o, , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,7-02-2010,26.3,30.8,24.6,1013.2,89,28.96,10.3,4.3,11.1,-,o, ,o, 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,8-02-2010,26.9,30.8,23.4,1012.1,84,0,12.2,3.5,9.4,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,9-02-2010,27.4,30.3,23.6,1012.2,83,0,11.4,3.1,7.6,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,10-02-2010,27.3,30.5,24.4,1011.7,86,0,11.7,1.3,5.4,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,11-02-2010,28.3,30.8,24.4,1012.1,81,0,12.9,2.4,11.1,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,12-02-2010,28.1,31,25,1011.2,84,0,12.4,3,9.4,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,13-02-2010,27.3,31.2,16.4,1010.2,89,0,12.2,4.8,11.1,-, , , , 
indonesia,Maumere / Wai Oti,ws-973000,-8.63,122.25,14-02-2010,28.3,31.6,24.8,1009.9,83,0,12.7,4.4,11.1,-, , , , 
