country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Medan / Polonia,ws-960350,3.56,98.68,1-01-2010,27.2,29,24,1008.7,80,0,5,3.3,11.1,-,o, , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,2-01-2010,28.3,32,24.4,-,77,0,5.5,3.3,11.1,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,3-01-2010,26.5,29,24,-,90,19.05,4.8,3.5,9.4,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,4-01-2010,27.1,30.5,24,-,84,0,6,3,11.1,-,o, , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,5-01-2010,28.2,33.4,23.8,-,78,0,8,4.3,22.2,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,6-01-2010,25.7,33,23,1008.4,88,57.91,6.3,4.6,37,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,7-01-2010,26.3,32,23,-,87,13.97,5.8,3.3,18.3,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,8-01-2010,26.9,31.9,23.4,-,84,0,6.3,4.1,14.8,-, , ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,9-01-2010,27.4,31.3,23.9,-,80,0,7.4,3.3,11.1,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,10-01-2010,28.1,32.6,23,-,76,0,7.2,3.7,14.8,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,11-01-2010,27.4,32,23,-,78,0,5.6,1.9,11.1,-,o, , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,12-01-2010,27.3,32.3,23,-,75,0,6.4,3.9,14.8,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,13-01-2010,25.9,30.5,22.4,-,80,0,5.8,3,14.8,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,14-01-2010,26.5,33,22.4,-,79,0,6.3,3,11.1,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,15-01-2010,26.6,31,22.2,-,82,8.13,5.6,3.3,11.1,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,16-01-2010,27.1,32,23,-,75,0,6.3,4.8,22.2,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,17-01-2010,27.4,31.7,22.8,-,72,0,6.6,5.7,14.8,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,18-01-2010,27.6,32.3,22.8,-,75,20.07,6.6,5,16.5,-,o, , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,19-01-2010,26.7,31,23.8,-,81,11.43,5.8,4.4,18.3,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,20-01-2010,27.2,32.2,23.6,-,79,0.51,6.9,4.6,20.6,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,21-01-2010,27.4,33,23.8,-,78,0,6.4,5.4,20.6,-,o, , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,22-01-2010,27.8,31.4,23.8,-,80,0,5,2.8,9.4,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,23-01-2010,27.8,33,24.2,-,80,0,5.5,4.3,18.3,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,24-01-2010,28.2,33,24.4,-,78,0,6.4,4.8,18.3,-, , ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,25-01-2010,26.6,31,24,-,86,8.89,5.6,3.9,16.5,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,26-01-2010,27.6,32.1,23,-,81,-,6.9,4.3,14.8,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,27-01-2010,27.2,32,22.8,-,83,0,6.1,2,9.4,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,28-01-2010,27.1,31,22.4,-,82,3.05,5.8,3.5,11.1,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,29-01-2010,27.7,32,23,-,77,0,8,4.1,16.5,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,30-01-2010,28.3,33,23,-,75,0,6.8,5.2,18.3,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,31-01-2010,28.2,32.4,23,-,80,0,6.8,4.8,14.8,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,1-02-2010,28.4,33.2,24.2,-,78,0,6.9,3.3,13,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,2-02-2010,28.4,33.8,24.2,-,75,0,5.8,5,18.3,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,3-02-2010,28.3,33.5,24,-,73,0,5.6,3.3,14.8,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,4-02-2010,28.7,33,24,-,74,0,5.8,4.6,18.3,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,5-02-2010,28.8,33.4,24,-,75,0,6.3,5.4,18.3,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,6-02-2010,29.2,33.8,24.6,-,74,0,6.3,5.2,22.2,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,7-02-2010,29,34.2,25,-,72,0,5.8,3.7,14.8,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,8-02-2010,28,33.2,24.6,-,80,2.03,6,3.1,16.5,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,9-02-2010,28.9,34.3,24.4,-,74,2.03,6.6,3.9,14.8,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,10-02-2010,27.7,33,24.8,-,80,0,5.1,3.3,20.6,-, , ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,11-02-2010,28,32.9,24,-,79,0,5,2.8,16.5,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,12-02-2010,28.9,33.7,24,-,75,0,5.5,3.9,18.3,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,13-02-2010,28.6,32.2,23.9,-,74,0,5.5,5.4,14.8,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,14-02-2010,27.4,32.6,23,-,78,0,6.1,4.3,13,-,o, , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,15-02-2010,28.7,33.4,23.1,-,75,0,6.6,3.9,11.1,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,16-02-2010,27.7,32,23.2,-,79,7.11,5.3,3.9,18.3,-,o, , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,17-02-2010,27.7,31,23.8,-,79,0,5.1,2.8,11.1,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,18-02-2010,28.7,33,23.6,-,75,0,5.8,3.1,11.1,-, , , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,19-02-2010,27.2,31.3,24,-,82,7.11,6.6,4.4,13,-,o, ,o, 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,20-02-2010,28.3,32.4,23.1,-,77,4.06,5.5,2,13,-,o, , , 
indonesia,Medan / Polonia,ws-960350,3.56,98.68,21-02-2010,28.7,34,24.2,-,73,0,5.8,3.7,16.5,-, , , , 
