country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,1-01-2010,26.2,30.6,23.7,1009,85,-,9.7,4.6,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,2-01-2010,26.1,30.6,23.1,1009.6,88,0.51,9.5,3.7,11.1,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,3-01-2010,26.8,30.6,22.8,1009.7,84,4.06,8.9,4.1,11.1,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,4-01-2010,26.5,30.6,23.2,1009.3,83,0,9.7,5.6,14.8,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,5-01-2010,25.1,29.6,22.9,1010,90,13.97,7.4,1.3,5.4,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,6-01-2010,24.8,32.2,22.8,1010.2,89,10.16,7.4,5,16.5,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,7-01-2010,24.4,30.1,22.4,1010.2,90,11.18,6.8,3.9,7.6,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,8-01-2010,26.1,29.7,22.7,1009.4,82,0,10.8,4.1,11.1,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,9-01-2010,27.4,31.5,22.8,-,74,0.51,10.1,5,11.1,-,o, ,o, 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,10-01-2010,26.2,29.4,23.1,1010.5,83,2.03,8.7,4.4,9.4,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,11-01-2010,24.5,29,22.9,-,89,27.18,6.6,5,16.5,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,12-01-2010,25.4,29.7,22.8,-,88,16,7.6,4.6,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,13-01-2010,24,30,-,1011,94,50.04,6.6,5.2,18.3,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,14-01-2010,24.9,28,23.2,1011,90,19.05,8.7,4.6,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,15-01-2010,23.7,29.7,-,1010.8,94,21.08,5.6,4.1,11.1,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,16-01-2010,25.7,29.6,23.4,-,85,1.02,10.1,4.1,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,17-01-2010,26.1,29.1,22.4,-,84,-,9.5,2,7.6,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,18-01-2010,28.2,32,24,-,77,0,11.1,6.3,13,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,19-01-2010,27.2,31.5,22.9,-,79,18.03,10,7.6,24.1,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,20-01-2010,26.5,30.3,23.1,-,81,0.76,9.3,5.4,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,21-01-2010,26.7,31.2,22.9,-,79,0.51,9.8,5.4,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,22-01-2010,26.5,30.5,22.9,1012.2,80,0,10.5,6.3,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,23-01-2010,23.7,31.4,-,1012.8,94,10.92,9.2,6.1,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,24-01-2010,24.3,29.2,-,-,90,6.1,10.1,3.9,11.1,-,o, ,o, 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,25-01-2010,25.4,29.7,22.7,1011.7,85,5.59,9,3.7,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,26-01-2010,26.4,30.5,21.9,1012,80,4.06,9,8,20.6,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,27-01-2010,23.2,30.2,-,-,96,54.1,8.4,4.8,22.2,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,28-01-2010,20,30.4,-,-,-,29.97,7.6,5.4,18.3,-,o, ,o, 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,29-01-2010,22.1,30.6,-,-,-,2.03,7.2,3.5,22.2,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,30-01-2010,26.6,31.2,22,1012,82,0,9,7.4,20.6,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,31-01-2010,22.6,29.4,-,1012.1,-,38.86,6.9,4.1,13,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,1-02-2010,26.5,30.5,21.9,-,76,0,10.9,7.8,20.6,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,2-02-2010,25.8,31.4,21.5,1011,83,0,10.5,3.1,13,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,3-02-2010,22.8,29.5,-,-,98,14.22,8.7,5.6,14.8,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,4-02-2010,25.8,30.3,21,-,80,0.51,10.6,5.9,22.2,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,5-02-2010,27.1,30.1,21.1,-,75,0,10.8,10.7,25.9,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,6-02-2010,26.7,30.2,22.8,1013.8,76,7.87,10.3,8.3,20.6,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,7-02-2010,23,30.2,-,-,97,3.05,9.2,11.5,25.9,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,8-02-2010,26.1,30.4,22,-,79,0,10.8,7.4,18.3,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,9-02-2010,26.9,31,21.7,-,76,-,10.3,11.7,22.2,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,10-02-2010,26.9,31,23,-,76,0.76,8.9,10.9,22.2,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,11-02-2010,27.8,31.1,22.8,1012.3,69,-,10.8,8.9,20.6,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,12-02-2010,20.6,28.4,-,-,-,2.79,5.1,7.8,18.3,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,13-02-2010,16.8,26.6,-,-,-,33.02,6.8,4.6,22.2,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,14-02-2010,26.8,31,21,1010.6,79,6.1,8.9,5.9,18.3,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,15-02-2010,27.7,31.1,22.9,1011.4,75,5.08,10.3,10.2,24.1,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,16-02-2010,26.4,31,23,-,79,-,10.8,6.1,18.3,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,17-02-2010,27.7,31,22.9,1011,77,0,10.3,6.5,14.8,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,18-02-2010,25.2,29,23,1011.2,89,39.12,6.1,3,13,-,o, ,o, 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,19-02-2010,26.9,30.9,23,1011.6,79,0,10.9,4.8,11.1,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,20-02-2010,26.3,29.1,23.1,-,84,-,10.6,4.8,11.1,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,21-02-2010,26.9,31,22.8,-,78,0,11.1,4.3,16.5,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,22-02-2010,26.3,31,22,-,79,0,10.3,4.8,13,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,23-02-2010,27.4,31.9,21.7,1011.3,76,0,10.9,4.4,11.1,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,24-02-2010,26.4,31.2,21,-,81,0,11.1,6.9,22.2,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,25-02-2010,26.9,31.2,21.1,-,77,-,10.6,7,18.3,-,o, , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,26-02-2010,26.6,31.5,22,-,78,0,11.3,5.2,18.3,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,27-02-2010,27.1,31.6,22,1011.8,76,0,10.8,6.9,18.3,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,28-02-2010,26.6,31.7,21,-,77,0,11.1,6.9,18.3,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,1-03-2010,26.5,31.3,21.3,1012,79,0,10.9,6.3,16.5,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,2-03-2010,26.3,32,21.8,1011.8,78,0,11.1,5.7,14.8,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,3-03-2010,27.5,32,21.7,1012.1,75,0,10.9,7.4,20.6,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,4-03-2010,26.9,32,21.9,-,74,0,11.1,9.3,20.6,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,5-03-2010,27.2,32.1,22.1,1012,76,0,10.9,8.3,20.6,-, , , , 
indonesia,Menado / Dr. Sam Ratulangi,ws-970140,1.53,124.91,6-03-2010,26.8,33,22,-,77,0,10.3,7.2,24.1,-, , , , 
