country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,1-01-2010,28.4,32.8,24.6,1006.4,79,0,9.5,4.8,7.6,-, , , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,2-01-2010,25.8,27.4,24.7,1007.6,89,7.11,8.9,4.6,13,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,3-01-2010,27.7,32.2,23.8,1007,81,30.99,9.2,9.6,18.3,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,4-01-2010,27.6,31.4,24.2,1007.1,84,0,9.5,4.4,11.1,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,5-01-2010,27,31,23.6,1007.7,85,0,8.5,2.6,11.1,-, , , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,6-01-2010,27.6,32.2,23.2,1006.9,81,0,9.2,6.9,16.5,-, , ,o, 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,7-01-2010,26.5,30.2,24.2,1006.8,89,12.19,8.5,4.8,7.6,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,8-01-2010,27.1,30.5,24.2,1006.7,84,0,9.3,3.5,7.6,-, , , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,9-01-2010,27.3,31,24.2,1006.2,84,24.89,7.6,6.7,11.1,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,10-01-2010,26.4,30.2,24.5,1005.8,86,2.03,9.2,10.7,27.8,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,11-01-2010,27.1,29.8,24.8,1005.8,88,18.03,7.4,9.1,14.8,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,12-01-2010,25.3,28.5,24.1,1006.6,91,12.45,6.6,6.1,-,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,13-01-2010,28.1,31.6,25,1007.9,81,1.02,8.5,11.3,18.3,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,14-01-2010,26.1,29.8,24.3,1008.4,87,0,9.5,12,22.2,-, , , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,15-01-2010,27.3,31.8,24.4,1006.5,85,4.06,9.2,6.3,16.5,-, , , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,16-01-2010,26.7,32,24.9,1006.3,87,20.07,9,5.4,11.1,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,17-01-2010,26.3,31.6,24.5,1005.7,89,36.07,7.2,13,25.9,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,18-01-2010,25.8,29.8,24.4,1007.3,89,28.7,6.9,20.2,37,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,19-01-2010,27.9,31,24.6,1009.3,83,8.13,9.7,10,18.3,-,o, , , 
indonesia,Merauke / Mopah,ws-979800,-8.46,140.38,20-01-2010,27.1,32.2,24.7,1009.5,85,0,9.3,6.1,22.2,-, , ,o, 
