country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,1-01-2010,28.2,31.6,22,1007.1,79,0,7.6,4.1,11.1,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,2-01-2010,27.2,31.8,20.8,1007.9,85,0,6.6,4.8,14.8,-, , ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,3-01-2010,26.6,28.4,22.8,1008.8,90,42.93,6.3,1.9,9.4,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,4-01-2010,27,29.5,20.7,1009.2,84,0,7.7,6.5,9.4,-,o, , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,5-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,6-01-2010,27.6,31.6,20.8,1008.5,84,55.88,7.7,12.6,25.9,-, , ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,7-01-2010,27.7,30.3,20.8,1010,82,0,7.2,10,18.3,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,8-01-2010,28.6,31,22,1010.4,79,0,11.6,6.3,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,9-01-2010,28.6,31.8,21.2,1010.4,78,0,10.6,3.7,9.4,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,10-01-2010,27.4,31.2,20.3,1009.9,84,0,7.6,7,14.8,-, , ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,11-01-2010,27.9,31.6,20.4,1011.3,81,0,9.7,8.9,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,12-01-2010,26.7,31.2,20.8,-,84,0,9,7.4,14.8,-, , ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,13-01-2010,27.1,31.3,20.8,1011.8,83,0,7.6,14.1,25.9,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,14-01-2010,27.3,31.2,20.8,1013.3,81,0,8.9,8.9,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,15-01-2010,27.6,30.4,20.8,1012.1,82,0,8.9,8.9,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,16-01-2010,28.2,30.5,20.8,1011.9,79,0,9.8,5.6,16.5,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,17-01-2010,28.5,30.8,20.8,1013.3,78,0,8.2,7,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,18-01-2010,28.4,31.4,23.5,1012.5,78,0,10,8.5,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,19-01-2010,28.3,31.6,20.9,1010.2,-,0,9.5,6.5,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,20-01-2010,28.6,31.6,20.5,1011,78,0,10.1,10,16.5,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,21-01-2010,28.2,31.3,20.8,1010.6,74,0,8,10,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,22-01-2010,28.3,30.8,21.2,1010.5,79,0,6.6,5.6,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,23-01-2010,28.8,31,21.2,1010,80,0,7.2,10.7,16.5,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,24-01-2010,28.2,31.4,21.2,1010.5,82,0,9,5.2,11.1,-, , ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,25-01-2010,27.8,31.4,21.2,1010.8,81,1.02,8.9,14.1,27.8,-,o, , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,26-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,27-01-2010,28.2,31.4,21.3,1010.2,82,2.03,6.8,9.6,14.8,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,28-01-2010,28.3,32,21.8,1010.4,82,0,9.5,5.2,16.5,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,29-01-2010,28.1,31.6,21.2,1011.2,81,0,10.8,4.1,11.1,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,30-01-2010,28.7,31.6,21.3,1010.9,80,0,10.1,4.4,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,31-01-2010,28.4,32.5,21.2,1011.1,82,0,9,3.1,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,1-02-2010,29.3,32,21.4,1010.2,81,0,9.3,7,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,2-02-2010,27.9,31.4,21.6,1009.6,81,0,8.5,7.8,11.1,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,3-02-2010,28.4,31.6,21.8,1010.4,80,0,10.6,5.9,11.1,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,4-02-2010,29.2,32.2,24.2,1010.2,75,0,9.8,9.6,11.1,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,5-02-2010,29.3,31.5,22.1,1011,79,0,9.8,5.9,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,6-02-2010,29.1,32,22.2,1010.9,78,0,8.5,5.2,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,7-02-2010,29.4,32.4,22.4,1009.8,80,0,9.8,5.6,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,8-02-2010,31.1,32.4,30,1009.1,73,0,11.4,8,77.8,-, , ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,9-02-2010,29.8,32.6,22.5,1008.9,78,0,8.5,7.4,11.1,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,10-02-2010,28.2,30.4,22.4,1009.4,85,3.05,6.6,7,14.8,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,11-02-2010,29.4,32,22.7,1007.8,76,0,9,7,11.1,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,12-02-2010,28.9,31.4,22.4,1010.7,83,0,10.5,8.1,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,13-02-2010,28.6,32.2,22.6,1008.9,83,0,10,10,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,14-02-2010,28.5,31.6,23.8,1008.9,84,0,9,7,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,15-02-2010,28.4,31.3,22.2,1009.9,83,0.76,10,9.3,13,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,16-02-2010,28.8,32,21.4,1009.5,79,0,9.7,8.1,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,17-02-2010,27.2,30.5,23.6,1010.6,87,-,6.9,5.6,22.2,-,o, , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,18-02-2010,29.1,31.8,21.8,1009.7,80,0,10.9,13.3,29.4,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,19-02-2010,27.9,29.2,21.7,1011.3,86,0,7.2,6.9,18.3,-,o, , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,20-02-2010,27.9,30.2,21,1011.9,85,0,9,5.2,13,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,21-02-2010,25.4,29.2,21.8,1011.1,93,11.94,5.8,0,-,-,o, , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,22-02-2010,28.4,31.5,20.4,1010.8,79,0,12.2,7.4,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,23-02-2010,29.6,31.8,25.5,1010.3,76,0,10.5,8.1,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,24-02-2010,27.6,31.8,21.2,1011.1,84,0,6.8,1.3,5.4,-,o, , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,25-02-2010,29.2,32.2,21.6,1009.8,76,0,10.6,6.3,11.1,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,26-02-2010,29.3,32,21.7,1009.4,79,0,7.6,5.2,13,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,27-02-2010,29.5,32.4,23.2,1008.8,79,0,10.8,4.8,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,28-02-2010,28.4,30,23,1010.4,84,0.76,6.4,6.7,14.8,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,1-03-2010,26.4,28.7,24.9,1011.7,86,-,5.6,1.9,9.4,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,2-03-2010,28.9,31.8,22.4,1009.7,82,0,7.4,6.1,16.5,-, , ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,3-03-2010,27.4,29.7,23.6,1010.6,84,0,5.6,6.1,14.8,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,4-03-2010,28.9,31.8,22.4,1010.1,81,-,8.4,5.6,13,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,5-03-2010,27.7,31.4,22.2,1011.1,84,24.89,7.1,3.7,11.1,-,o, ,o, 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,6-03-2010,28.3,31,22.1,1010.8,82,0,9,7,11.1,-, , , , 
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,7-03-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Meulaboh / Cut Nyak Dhien,ws-960150,4.25,96.11,8-03-2010,28.8,31.8,21.6,1010.6,77,0,8.5,5.6,9.4,-, , , , 
