country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,1-01-2010,26.4,31.3,23,1005.9,86,3.05,5.5,1.5,9.4,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,2-01-2010,28,32.2,23.8,1006.2,81,0,7.7,0,-,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,3-01-2010,28.6,32.9,25.1,1006.3,79,0,7.4,0,-,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,4-01-2010,26.8,32.4,23.4,1006.2,88,10.92,5.8,2.2,13,-,o, ,o, 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,5-01-2010,25.3,29.8,22.2,1007.2,88,1.02,4.2,3.3,20.6,-,o, ,o, 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,6-01-2010,26.8,31.1,22,1006.8,83,0,7.2,1.3,7.6,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,7-01-2010,26.5,30.8,22.7,1007.5,86,4.06,7.9,0,-,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,8-01-2010,26.4,31.1,23,1007.4,83,0,7.2,3.7,11.1,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,9-01-2010,28,31.8,23,1007,79,0,6.1,1.5,9.4,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,10-01-2010,27.6,30.8,23.5,1007.4,84,0,6.8,0,-,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,11-01-2010,27.8,32.3,24.1,1008,81,0,8.2,5.6,13,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,12-01-2010,28.1,32,23.6,1008.2,77,0,7.6,1.9,11.1,-, , , ,o
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,13-01-2010,25.9,32.9,23.5,1009.3,87,34.04,6,1.5,9.4,-,o, ,o, 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,14-01-2010,24.6,31.2,22.7,1011,92,18.03,6.8,2.4,14.8,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,15-01-2010,26.3,30,22.4,1009.7,84,-,7.2,0,-,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,16-01-2010,26.4,30.4,22.5,1009.6,85,3.05,7.9,1.9,11.1,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,17-01-2010,27.9,32.6,22.4,1008.6,78,0,6.4,2.8,9.4,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,18-01-2010,27,31.3,22.3,1007.8,84,1.02,7.7,5,11.1,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,19-01-2010,27.4,31.4,23.9,1008.4,81,0,7.4,2.6,7.6,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,20-01-2010,28.9,33.4,23.6,1008.9,74,0,6.4,0,-,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,21-01-2010,25.9,30.6,22.2,1009.2,87,0,5.8,0.9,5.4,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,22-01-2010,27.7,33.6,22.3,1008.9,79,7.87,6.6,3.1,11.1,-,o, ,o, 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,23-01-2010,25.6,27.4,22,1009,91,0,6.9,0,-,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,24-01-2010,29.1,34.2,22,1007.8,75,0,7.6,0,-,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,25-01-2010,24.9,29.4,21.9,1009,91,0,6.4,0,-,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,26-01-2010,28.7,33.3,22.7,1008,75,0,9.3,0.9,5.4,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,27-01-2010,25.8,29.6,23.2,1008.8,91,40.89,6.1,0,-,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,28-01-2010,28.1,33.6,23.2,1007.7,78,0,6.9,0,-,-, , , ,o
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,29-01-2010,25.1,27.8,23.2,1009.1,95,5.08,4,0,-,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,30-01-2010,27.9,31.9,23.3,1008.1,81,0,7.7,0,-,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,31-01-2010,26.8,32.2,23,1008.7,84,0,6.8,0,-,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,1-02-2010,27.6,32.4,22.5,1007.9,80,-,6.9,0,-,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,2-02-2010,25.1,32,22.4,1008.5,93,-,3.4,2.2,11.1,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,3-02-2010,27.6,31.5,22.8,1007.9,79,0,6.9,0,-,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,4-02-2010,29.8,34.6,22.8,1006.9,72,0,7.6,0,-,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,5-02-2010,24.9,30.2,23.4,1008.9,93,5.08,4.7,0,-,-,o, , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,6-02-2010,28.3,33.2,22,1009.1,75,0,6.8,3.7,14.8,-, , , , 
indonesia,NANGAPINOH,ws-965570,-0.35,111.78,7-02-2010,28.2,32.8,22,1008.4,81,0,8.4,0,-,-, , , , 
