country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,NEIRA,ws-977900,-4.53,129.9,1-01-2010,27.8,30.6,22.1,1005.1,85,20.07,8.5,10.4,16.5,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,2-01-2010,29.9,31.2,28.4,1005.2,74,0,10.3,10.2,-,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,3-01-2010,28.8,30.5,22.9,1005.4,80,6.1,8,9.6,13,-,o, ,o, 
indonesia,NEIRA,ws-977900,-4.53,129.9,4-01-2010,30,31.5,22.2,1004.4,78,0.51,10.1,9.3,13,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,5-01-2010,30,31.4,25.3,1004.6,76,0,10.6,11.9,22.2,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,6-01-2010,29.3,31,27,1005.7,79,0,9.8,11.1,14.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,7-01-2010,28.1,30.1,26.6,1005.7,77,2.03,9.3,19.6,25.9,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,8-01-2010,26.1,30.5,23.4,1006,86,12.95,-,21.3,46.5,-,o, ,o, 
indonesia,NEIRA,ws-977900,-4.53,129.9,9-01-2010,28.4,29.6,22.1,1005.8,77,1.02,8.4,7.4,11.1,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,10-01-2010,25.7,29,24.4,1006.1,89,31.5,6.4,29.3,50,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,11-01-2010,28.5,29.8,22,1005.3,77,0,9,21.5,29.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,12-01-2010,28.9,30.7,23.8,1005.3,77,-,11.3,14.4,20.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,13-01-2010,28.6,29.6,24.8,1006.7,70,1.02,10,28.7,51.9,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,14-01-2010,29.2,30.8,24.2,1007.5,72,-,9.8,10.6,18.3,-,o, ,o, 
indonesia,NEIRA,ws-977900,-4.53,129.9,15-01-2010,26.1,28.6,23.4,1007.3,89,20.07,4,23.2,33.5,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,16-01-2010,26.5,28.7,21.9,1007.2,82,38.86,6.4,17.4,29.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,17-01-2010,27.4,29.4,19.6,1007.4,80,38.1,6.9,21.1,46.5,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,18-01-2010,28.4,30.2,19.4,1007.8,76,0,8.5,15.2,25.9,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,19-01-2010,29.7,31.5,28,1006.9,78,0,11.7,6.3,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,20-01-2010,28.3,31.5,23.2,1008,78,0.51,9.7,13,27.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,21-01-2010,29.7,31,23.9,1007.9,76,0,10.6,9.3,16.5,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,22-01-2010,28.4,30.4,26.2,1008.6,80,0,9,10.7,24.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,23-01-2010,29.6,31.2,23.3,1007.6,75,0,12.4,10.4,13,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,24-01-2010,29.7,31.3,25,1007.2,76,0,11.6,14.4,18.3,-, , ,o, 
indonesia,NEIRA,ws-977900,-4.53,129.9,25-01-2010,29.4,31.2,25.7,1007.5,79,0,10.6,12.6,16.5,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,26-01-2010,29.2,30.8,27.9,1006.7,77,0,10.6,18.1,24.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,27-01-2010,29.3,30.6,23.4,1007.2,77,0,11.4,21.1,25.9,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,28-01-2010,29.6,30.8,25.5,1006.5,73,0,11.6,17.8,27.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,29-01-2010,29.7,31.2,25.4,1006.7,77,0,11.3,17.8,27.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,30-01-2010,30.2,31.6,25.8,1006.9,80,0,10.6,13.1,16.5,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,31-01-2010,29.9,31.3,24.1,1007.3,83,0,10.8,11.5,14.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,1-02-2010,29.7,31.4,25,1006.7,81,0,11.4,8.5,14.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,2-02-2010,29.6,30.9,24.5,1006.6,81,0,11.4,13.3,20.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,3-02-2010,29.4,31.2,25.2,1007.6,75,0,10.9,11.9,20.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,4-02-2010,29.6,31.4,23.3,1008.2,77,0,10.9,4.4,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,5-02-2010,29.2,31.2,23,1008.4,81,0,12.1,4.8,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,6-02-2010,29.1,31.4,25.6,1008.7,80,0,11.6,5.9,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,7-02-2010,28.4,31.1,21.4,1007.9,82,0.51,9.3,10.4,16.5,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,8-02-2010,27.7,30.6,22.9,1009.2,84,3.05,10.3,2.4,9.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,9-02-2010,29.7,31.5,22.8,1009.1,76,0,11.6,2.6,5.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,10-02-2010,29.6,31.4,23,1008.8,81,0,12.6,4.4,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,11-02-2010,29.4,31.6,22.6,1008.5,85,0,12.1,4.4,11.1,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,12-02-2010,29.6,31.8,22.5,1007.8,86,0,12.6,5.6,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,13-02-2010,29.2,31.2,25.6,1007,90,7.87,10.9,2.2,7.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,14-02-2010,29.4,31.4,23,1006.8,83,0,11.3,3,9.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,15-02-2010,29.2,30.8,23,1006.6,89,0,10.6,1.9,9.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,16-02-2010,30.1,31.9,25.4,1007.3,85,0,11.6,1.5,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,17-02-2010,30.2,32.2,23,1007.6,85,0,11.7,0.7,3.5,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,18-02-2010,29.7,31,25.6,1007.7,86,0,12.6,0.7,3.5,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,19-02-2010,30.1,31.6,25.4,1007.3,86,0,10.9,1.1,5.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,20-02-2010,28.9,31.1,24.4,1006.9,87,2.03,10.6,8.9,20.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,21-02-2010,28.3,31.2,23.4,1008.2,89,0,8.9,7.8,13,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,22-02-2010,29.9,32.4,25.5,1008.4,86,0,11.4,10.4,14.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,23-02-2010,29.2,31.6,24.7,1007.2,90,-,8.4,5.6,9.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,24-02-2010,30.3,31.8,25.2,1006.3,84,0,10.8,8.5,16.5,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,25-02-2010,30.1,31.7,24,1006.8,86,0,11.3,8.9,14.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,26-02-2010,30.2,32.2,24.5,1006.6,85,0,11.4,11.1,16.5,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,27-02-2010,30.4,32,23.8,1006.6,84,0,10.5,3.7,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,28-02-2010,30.3,32.2,25.5,1007.3,86,0,12.2,2.2,5.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,1-03-2010,30.7,32.8,26.5,1007.6,86,0,11.7,3.1,5.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,2-03-2010,30.3,32.2,24,1007.2,87,0,11.6,6.3,13,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,3-03-2010,30.2,32.2,25.3,1007.1,87,0,11.7,5.6,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,4-03-2010,30.4,32.1,26.2,1007.2,83,0,10.8,4.1,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,5-03-2010,27.7,28.9,25.5,1008.3,93,0,9.7,2.6,7.6,-,o, ,o, 
indonesia,NEIRA,ws-977900,-4.53,129.9,6-03-2010,29.3,30,22.8,1008.8,92,0,11.3,1.9,3.5,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,7-03-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,NEIRA,ws-977900,-4.53,129.9,8-03-2010,28.7,30.6,23,1008.6,89,0,10,3,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,9-03-2010,29.1,30.9,23.2,1007.3,89,0.25,11.3,4.1,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,10-03-2010,27.8,30,25.2,1010,91,18.03,10.1,3,7.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,11-03-2010,29.6,30.8,25.3,1010.6,83,0,10.6,5.7,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,12-03-2010,29.6,32,25,1010.6,84,0,13,7,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,13-03-2010,29.8,31.8,25.2,1009.2,79,0,12.9,5.7,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,14-03-2010,29.1,31.1,25.5,1007.2,83,-,11.3,1.9,7.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,15-03-2010,29.3,31.3,23,1007.4,82,0,11.6,3,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,16-03-2010,30,31.8,26,1007,80,0,12.2,5.2,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,17-03-2010,27.1,30.2,23.6,1008.2,92,30.73,8.9,5.6,13,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,18-03-2010,28.2,29.7,22,1008.2,86,0,10.6,6.7,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,19-03-2010,27.2,29.2,24.9,1007.3,91,3.05,9.3,2.6,5.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,20-03-2010,29,30.9,25.3,1006.3,85,0,12.2,4.8,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,21-03-2010,27.5,29.7,24.4,1006.1,91,0,10.8,0,-,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,22-03-2010,28.5,30.6,22.2,1005.5,90,0.51,10.9,3.5,5.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,23-03-2010,28.3,30.6,25.2,1005.3,91,30.99,11.3,0.7,3.5,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,24-03-2010,29.4,31.8,24.9,1005,89,0,12.2,4.8,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,25-03-2010,29.9,32.2,25.4,1005.1,84,0,12.6,3.3,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,26-03-2010,29.9,31.3,23.5,1005.5,86,0,11.7,8.1,13,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,27-03-2010,28.8,30.4,23.4,1006.5,89,0,10.8,5.9,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,28-03-2010,29.9,31.5,22.4,1005.8,86,0,11.3,11.5,16.5,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,29-03-2010,29.2,30.4,26.1,1006.5,88,0,10.6,8.9,13,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,30-03-2010,30,32.6,26.1,1006.6,87,0,9.7,8.1,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,31-03-2010,26.6,32.4,19,1006.7,99,1.02,8.9,15.6,20.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,1-04-2010,27.9,29.5,22,1007.2,87,4.06,8.2,16.7,27.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,2-04-2010,30.4,31.3,23.4,1006.1,80,0,12.7,10.7,13,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,3-04-2010,30,31.6,24.6,1006.2,82,0,11.4,5.2,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,4-04-2010,29.3,31.1,24.4,1006.3,83,0,10.1,4.1,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,5-04-2010,28.8,30.3,25.6,1006.3,87,0,10.1,10.6,14.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,6-04-2010,29.2,30.7,23.4,1006.8,86,0,10.5,5.9,13,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,7-04-2010,30,30.8,25.3,1007.9,85,0,12.2,8.3,14.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,8-04-2010,29.2,31.8,22.8,1007.6,86,0,10.1,3,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,9-04-2010,29,31.3,25,1006.9,83,0,12.6,2.2,5.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,10-04-2010,29.3,31.6,22.5,1006.3,84,0,11.4,4.1,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,11-04-2010,29.8,31.7,22.4,1006,79,0,13,2.2,5.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,12-04-2010,29.4,31.9,25.2,1006.1,82,0,12.4,3.7,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,13-04-2010,30.5,32.8,23.2,1007.5,79,0,11.3,5.2,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,14-04-2010,30.1,32.8,25.5,1006.3,81,0,11.7,5.6,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,15-04-2010,30.7,31.8,25.7,1006.9,78,-,10.1,5.6,9.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,16-04-2010,30,31.5,25.2,1006.6,87,0,11.7,4.1,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,17-04-2010,30.6,32.3,23.4,1006.7,83,0,12.4,5.9,14.8,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,18-04-2010,28.6,30.8,23.7,1006.6,88,5.08,10.1,12.2,16.5,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,19-04-2010,28.9,30.4,26,1005.7,86,3.05,9.5,6.9,13,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,20-04-2010,27.4,30.2,25.2,1006.6,94,24.89,6.9,9.6,42.4,-,o, ,o, 
indonesia,NEIRA,ws-977900,-4.53,129.9,21-04-2010,28.9,31.1,22.6,1007,87,0,10.3,4.6,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,22-04-2010,28.3,31.1,23,1008.4,91,-,10.5,1.5,3.5,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,23-04-2010,29.8,32,24.1,1007.7,85,0,12.2,2.6,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,24-04-2010,30.8,31.9,26.4,1007.4,82,0,13.7,6.5,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,25-04-2010,30.1,32.2,22.5,1008,78,0,11.7,5.6,9.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,26-04-2010,29.4,32.2,22,1009.1,78,0,12.6,4.8,11.1,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,27-04-2010,29.8,32.3,22.4,1008.8,82,0,12.9,5.9,13,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,28-04-2010,28.9,30.8,24.4,1009.2,87,0.51,10.8,2.2,7.6,-,o, ,o, 
indonesia,NEIRA,ws-977900,-4.53,129.9,29-04-2010,27.4,29.8,25.4,1009.3,87,2.03,9.2,4.4,11.1,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,30-04-2010,29.1,32.4,23.1,1009.3,82,1.02,11.3,4.1,7.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,1-05-2010,29.5,31.6,27.6,1008.4,81,7.11,9.3,7.8,9.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,2-05-2010,29.6,32,23,1007.1,83,2.03,10.5,2.6,5.4,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,3-05-2010,29.8,33.1,25.5,1005.5,83,3.05,10.9,3.7,7.6,-, , , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,4-05-2010,27.3,33.1,25.9,1005.4,92,36.07,8.9,1.9,7.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,5-05-2010,29.4,32.2,23.2,1005.3,86,5.08,10,4.4,7.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,6-05-2010,29.1,31.6,23.4,1005,84,0,8.9,2.2,7.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,7-05-2010,28.3,30.6,23.4,1004.7,84,3.05,10,1.5,7.6,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,8-05-2010,27.5,29.7,25.7,1003.7,93,56.13,5.3,0,-,-,o, ,o, 
indonesia,NEIRA,ws-977900,-4.53,129.9,9-05-2010,28.7,30.7,25.4,1003.6,87,2.03,9.8,5.2,9.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,10-05-2010,28.1,30.8,23,1004.2,88,0.51,8.9,4.1,9.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,11-05-2010,29.6,32.2,23.6,1005.2,84,4.06,9.8,7.4,9.4,-,o, , , 
indonesia,NEIRA,ws-977900,-4.53,129.9,12-05-2010,28.8,30.6,23.2,1006,83,0,11.4,3.5,5.4,-, , , , 
