country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Namlea,ws-977000,-3.23,127.08,1-01-2010,26.4,31.6,24.2,1007,89,1.52,8.9,5.6,9.4,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,2-01-2010,26.3,31.6,24.4,1008.1,88,5.08,10.5,6.3,11.1,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,3-01-2010,27.4,31,24,1007.5,81,0,10,11.7,22.2,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,4-01-2010,27.3,30.2,24.6,1006.8,86,-,9.2,8,11.1,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,5-01-2010,28.8,31,25,1007.3,77,0,10,13.3,22.2,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,6-01-2010,26,27.4,24,1007.6,87,10.92,8.7,5.2,7.6,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,7-01-2010,26.8,29.6,23.6,1008.2,85,0,10.1,5.9,14.8,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,8-01-2010,26.3,30,24.4,1008.8,88,-,9.7,5.6,9.4,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,9-01-2010,27.6,29.6,24.2,1007.4,80,0,9.8,8.3,16.5,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,10-01-2010,26.4,30.8,24.2,1007.9,87,80.01,10.3,6.5,9.4,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,11-01-2010,27.4,30.8,23.8,1007.2,85,4.06,10,3.3,9.4,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,12-01-2010,26.7,30.4,24.6,1008.3,88,18.03,8.9,8.9,11.1,-, , ,o, 
indonesia,Namlea,ws-977000,-3.23,127.08,13-01-2010,27.1,30.8,24.2,1008.4,83,-,9.2,4.4,9.4,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,14-01-2010,27.3,30.6,25,1008.8,89,0,9.5,9.6,22.2,-, , ,o, 
indonesia,Namlea,ws-977000,-3.23,127.08,15-01-2010,26.8,28.2,24.4,1008.9,88,0.25,9,1.9,5.4,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,16-01-2010,27.2,30,24.8,1008.8,89,5.08,8.5,3.1,9.4,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,17-01-2010,26.4,30,25,1009.3,88,9.91,9.5,3.7,9.4,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,18-01-2010,27.2,37.6,24.1,1009.7,86,16,9,2.8,5.4,-,o, ,o, 
indonesia,Namlea,ws-977000,-3.23,127.08,19-01-2010,26.9,28.4,25.7,1009.8,86,-,11.3,2.2,5.4,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,20-01-2010,26.7,29.6,24,1010.1,84,-,9.2,6.7,13,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,21-01-2010,26.5,30,24,1010.3,87,0,9.3,9.3,13,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,22-01-2010,26.8,29,23.8,1011,86,0,9.5,6.9,14.8,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,23-01-2010,27.3,30.4,24.2,1010.5,85,19.05,10.5,10,18.3,-,o, ,o, 
indonesia,Namlea,ws-977000,-3.23,127.08,24-01-2010,28,30.6,25,1009.4,83,0,10,6.9,14.8,-, , ,o, 
indonesia,Namlea,ws-977000,-3.23,127.08,25-01-2010,26.5,29.2,24,1010.2,91,14.99,9,7.8,9.4,-,o, ,o, 
indonesia,Namlea,ws-977000,-3.23,127.08,26-01-2010,27,36,24.2,1009.5,85,4.06,10.1,7.8,13,-, , ,o, 
indonesia,Namlea,ws-977000,-3.23,127.08,27-01-2010,27.1,30,24.6,1009.7,85,4.06,10.6,10.4,18.3,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,28-01-2010,27.7,30.6,23.8,1009.2,83,2.03,10,9.3,18.3,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,29-01-2010,28.6,30.8,24.6,1009.4,80,0,10,11.5,33.5,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,30-01-2010,27.5,30.4,24.4,1009.4,87,5.08,9.5,8.3,13,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,31-01-2010,27.5,31,24.6,1009.9,82,5.08,9.7,5.9,13,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,1-02-2010,27.8,29.8,24.4,1009.2,84,2.03,9.2,14.8,27.8,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,2-02-2010,26.9,30,24.2,1009.5,89,14.99,9.3,4.6,11.1,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,3-02-2010,27.8,30.6,23.8,1009.5,82,0,10.8,8.1,11.1,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,4-02-2010,28.2,30.4,24,1010.1,84,0,11.3,10.9,22.2,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,5-02-2010,27.9,30.6,25,1010.6,85,2.03,9,7.4,9.4,-,o, , , 
indonesia,Namlea,ws-977000,-3.23,127.08,6-02-2010,27.3,31.2,24.8,1011.7,86,0,10,5.7,11.1,-, , , , 
indonesia,Namlea,ws-977000,-3.23,127.08,7-02-2010,25.9,31.2,24.2,1012,91,5.08,9.3,10.6,14.8,-,o, , , 
