country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,PALOH,ws-965350,1.76,109.3,1-01-2010,27.7,31.2,23.8,1009.1,85,2.03,8.4,2.6,5.4,-,o, ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,2-01-2010,28.1,31.9,24.2,1009.9,82,1.02,9.7,4.4,7.6,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,3-01-2010,28.2,32.2,23.6,1010.3,81,23.88,9,12.6,37,-,o, ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,4-01-2010,27.1,30.1,23.7,1010.2,85,0,8.5,2.6,5.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,5-01-2010,27.2,31.5,23.6,1010.8,86,41.91,8,6.3,11.1,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,6-01-2010,27.8,31.2,22.6,1010.4,78,0,10,5.6,7.6,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,7-01-2010,27.2,30.2,23,1011.6,87,0.25,10,1.5,3.5,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,8-01-2010,27.5,31.2,22.6,1010.6,82,0,9,7.4,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,9-01-2010,27.7,30,22.6,1011.1,78,0,9.2,5.6,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,10-01-2010,27.6,30.6,22.1,1011.4,77,0,9.7,5.2,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,11-01-2010,28,31.4,22.9,1012.1,79,0,10,7.8,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,12-01-2010,27.5,30,24.6,1012.2,84,0,9.3,5.6,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,13-01-2010,25,29.1,23.7,1013.4,97,22.1,6.8,2.6,7.6,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,14-01-2010,24.3,25,23.8,1014.9,97,13.21,3.9,1.1,3.5,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,15-01-2010,27.2,30.2,23.6,1013.8,84,0,7.4,8.5,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,16-01-2010,27.1,30,24.5,1013.5,81,2.03,8.9,8.9,16.5,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,17-01-2010,25.8,28,23.7,1013,90,29.97,8.2,12.2,14.8,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,18-01-2010,25.5,27.1,23.8,1012.1,93,11.68,7.6,6.3,13,-,o, ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,19-01-2010,27.7,30.2,23.4,1012.4,80,0,9.8,6.7,13,-, , , ,o
indonesia,PALOH,ws-965350,1.76,109.3,20-01-2010,28.4,32.2,22.8,1012.6,79,0,10.5,5.9,13,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,21-01-2010,28.6,32.8,22.8,1012.6,77,0,9.7,3.7,7.6,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,22-01-2010,28.1,31.6,23.2,1013,83,0,9.7,5.9,16.5,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,23-01-2010,28.9,32.2,26.6,1012.7,78,0,10,5.6,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,24-01-2010,28.4,31.8,23.6,1012,78,0,10,8.9,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,25-01-2010,26.2,28.1,23.4,1012.7,92,23.11,7.7,2.6,5.4,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,26-01-2010,27.8,32.2,23.4,1011.6,80,0,10,7,18.3,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,27-01-2010,25.3,27.2,24,1012.7,91,-,9.2,8.1,13,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,28-01-2010,27.7,32,24,1011.8,81,0,9.2,3.7,7.6,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,29-01-2010,25.4,27.4,24,1012.5,95,13.97,7.2,0.9,3.5,-,o, ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,30-01-2010,26.7,30.5,23.2,1012.2,87,4.06,9.3,4.1,7.6,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,31-01-2010,26.4,29.2,23.2,1013,88,0,9.3,2.2,5.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,1-02-2010,28,31.6,23.6,1011.7,79,0,9.2,7,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,2-02-2010,27.1,30.6,23.6,1011.9,87,3.05,9.3,4.8,9.4,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,3-02-2010,29.4,31.8,27.6,1011.1,79,0,10,5.6,13,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,4-02-2010,28.6,32.1,23.6,1011.1,79,0,10,5.6,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,5-02-2010,28.6,31.4,24,1011.8,79,0,10,4.6,13,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,6-02-2010,28.1,32.7,22.4,1011.5,84,5.08,9.3,3.7,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,7-02-2010,28.6,32.7,24.4,1012.3,82,0,9.7,5.9,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,8-02-2010,28.3,31.6,25.8,1011.5,-,0,9.5,5.6,7.6,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,9-02-2010,28.4,31.3,23.7,1011.6,81,1.02,9.7,5.2,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,10-02-2010,26.3,29.8,24.2,1011.8,91,8.38,9,3.3,7.6,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,11-02-2010,28.2,31.5,23.5,1012.1,81,0,9.8,7,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,12-02-2010,27.2,30.2,22.7,1012.5,80,8.13,9.8,3.7,11.1,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,13-02-2010,28.2,31.2,23.4,1010.9,80,0,9.7,6.7,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,14-02-2010,27.7,30.5,23.8,1010.2,85,3.05,9.8,6.3,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,15-02-2010,26.3,27.5,25.2,1012.1,93,3.56,9,1.5,5.4,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,16-02-2010,25.2,27.1,23.2,1012.1,91,7.11,8.9,4.1,9.4,-,o, ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,17-02-2010,26.9,29.4,23.8,1011.7,87,0,10,7,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,18-02-2010,27.9,30.9,22.6,1012.1,80,0,9.7,9.6,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,19-02-2010,28.1,30.4,25,1012.1,81,0,9.2,8.1,14.8,-, , , ,o
indonesia,PALOH,ws-965350,1.76,109.3,20-02-2010,25.3,27.4,23.8,1013.7,92,9.91,7.2,3,7.6,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,21-02-2010,28.4,32.5,22.9,1012.3,75,0,9.7,6.3,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,22-02-2010,28.4,32.1,23.2,1012.8,77,0,10,7.4,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,23-02-2010,28.3,32,24.5,1011.7,81,0,10,5.9,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,24-02-2010,28.7,31.6,24.5,1010.6,80,0,10,6.7,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,25-02-2010,29,32.2,23.6,1011.6,80,0,9.7,7,14.8,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,26-02-2010,27.8,31.8,22.6,1010.9,84,0,10,4.1,13,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,27-02-2010,29.2,31.7,24.1,1010.6,81,0,9.7,5.6,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,28-02-2010,29.1,33,25.2,1011.1,81,0,10,4.1,11.1,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,1-03-2010,27.4,31.2,24.4,1012.8,87,2.03,9.7,3.7,9.4,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,2-03-2010,27.8,32.2,22.6,1011.8,80,0,10,7.4,13,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,3-03-2010,28.2,31.4,22.9,1011.2,79,0,10,7,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,4-03-2010,28.2,31.2,22.9,1011.4,79,0,9.7,7.4,13,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,5-03-2010,28,31.5,23.2,1012,80,0,9.7,4.8,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,6-03-2010,29.3,32.2,23.6,1011.9,79,0,10,-,-,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,7-03-2010,28.9,31.8,25.2,1011.9,82,0,7.7,4.4,9.4,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,8-03-2010,29,31.5,24.4,1012,79,0,9.7,4.8,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,9-03-2010,25.6,31.2,23.2,1013.9,87,19.81,6.9,5.6,7.6,-,o, ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,10-03-2010,25.9,28.8,23.2,1014.2,90,1.02,9.5,3.7,7.6,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,11-03-2010,28.2,31.9,22.4,1012.8,76,0,9.3,6.3,16.5,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,12-03-2010,27.7,31,22.8,1014.4,83,1.02,10,4.1,9.4,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,13-03-2010,27.2,30.6,24,1013.3,85,0,9.2,1.9,5.4,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,14-03-2010,28.2,30.7,24,1011.4,80,0,10,3.7,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,15-03-2010,28.9,32.4,24,1010.9,76,0,9.7,7.4,13,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,16-03-2010,28.4,31.4,23.1,1011.1,74,0,9.8,7.8,14.8,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,17-03-2010,28.1,32.8,23.4,1012.8,79,0,9.7,5.9,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,18-03-2010,27.4,31,24,1012.8,81,1.02,9.7,5.6,13,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,19-03-2010,25.6,27.2,24.7,1011.5,91,2.03,8,5.2,9.4,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,20-03-2010,27.3,30.2,25,1011.1,85,0,9,4.8,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,21-03-2010,27.8,36.6,24.2,1010.4,81,8.89,8.2,7.4,14.8,-,o, ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,22-03-2010,26.4,31.6,22.7,1010.5,90,7.11,8.9,3.3,9.4,-,o, ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,23-03-2010,28.7,32.1,23.9,1009.7,81,0,9.7,4.1,7.6,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,24-03-2010,28.3,32,23.6,1009.2,79,0,10,4.1,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,25-03-2010,29.8,33,25.4,1009.4,72,0,10,5.6,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,26-03-2010,29.1,32.9,23.3,1010.3,79,-,10,8.9,18.3,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,27-03-2010,29.2,33.2,24.8,1011.2,76,0,9.7,7,13,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,28-03-2010,27.5,32,23.8,1011.4,81,2.03,9,5.6,11.1,-,o, , , 
indonesia,PALOH,ws-965350,1.76,109.3,29-03-2010,29,33.2,23.8,1011.4,78,0,9.8,4.4,7.6,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,30-03-2010,28.8,31.8,24.2,1012,81,0,10,7,16.5,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,31-03-2010,28,31.7,24.4,1011.9,82,0,10,3.3,7.6,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,1-04-2010,28.1,31.5,23.9,1011.3,84,2.54,10,3,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,2-04-2010,29.3,32.4,24.4,1010.9,78,0,9.8,6.9,13,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,3-04-2010,24,26.1,23.4,1012.6,98,114.05,6.6,1.1,5.4,-,o, ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,4-04-2010,28.2,31.9,21.8,1011.7,79,0,9.2,5.6,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,5-04-2010,29,32.2,22.4,1010.6,78,0,10,5.2,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,6-04-2010,29.2,32.9,24,1011.2,75,0,10,5.6,11.1,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,7-04-2010,28.3,31.4,24.2,1012.1,82,0,9,4.6,9.4,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,8-04-2010,28.6,32.6,24,1012,82,0,9.7,7.8,13,-, , ,o, 
indonesia,PALOH,ws-965350,1.76,109.3,9-04-2010,29.8,32.6,24.8,1010.9,76,0,9.8,6.7,13,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,10-04-2010,31.5,33.5,29.2,1009.2,67,0,9.5,3.7,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,11-04-2010,29.7,32.8,24.2,1009.9,76,0,10,5.9,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,12-04-2010,30,33.6,26.2,1009.5,74,0,10,5.2,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,13-04-2010,29.2,33.4,23.8,1009.4,77,0,9.2,4.8,7.6,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,14-04-2010,30.3,33.8,23.6,1010.6,70,0,9.7,4.4,9.4,-, , , , 
indonesia,PALOH,ws-965350,1.76,109.3,15-04-2010,28.6,32.8,23.5,1010.8,79,0.51,9.8,5.9,9.4,-, , ,o, 
