country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,1-01-2010,28.8,32,22.9,1008.6,79,0,7.7,1.9,9.4,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,2-01-2010,27.6,31.6,23.3,1010.3,81,0,7.2,5.9,9.4,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,3-01-2010,28.9,33.2,23.7,1009.8,76,0,8.4,4.4,9.4,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,4-01-2010,26.4,31.8,23.7,1009.3,90,41.91,5.1,4.1,7.6,-,o, ,o, 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,5-01-2010,25.5,28,23.4,1011,90,1.02,5.6,4.1,9.4,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,6-01-2010,27.2,31,22.2,1010.6,82,0,7.6,4.4,9.4,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,7-01-2010,27,32.4,23.4,1010.9,85,0.76,6.6,1.1,5.4,-,o, ,o, 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,8-01-2010,28.1,31.2,22.2,1010.3,77,0,7.7,2.2,11.1,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,9-01-2010,27.7,30.7,23.4,1009.5,82,0,6.1,2.8,5.4,-, , , ,o
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,10-01-2010,26.7,30,22.4,1010.5,85,0,6.8,2.6,5.4,-, , ,o, 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,11-01-2010,25.9,28.6,22.6,1011.9,88,2.03,6,2.2,7.6,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,12-01-2010,29.3,33.2,23.4,1011.1,72,0,7.7,3,7.6,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,13-01-2010,28.6,33,23,1010.6,75,2.03,7.6,4.1,9.4,-,o, ,o, 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,14-01-2010,26.3,29,23.8,1013.7,89,2.03,6.3,1.1,5.4,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,15-01-2010,27.6,31.8,23,1012.9,77,6.1,8.2,2.2,5.4,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,16-01-2010,27.9,31.4,22.7,1012.5,76,12.95,8.4,3.7,7.6,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,17-01-2010,28.5,31.8,23,1011.8,77,0,7.7,0.7,3.5,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,18-01-2010,28.3,33.2,24.6,1010.7,77,3.05,6.9,3.7,9.4,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,19-01-2010,26.8,31.4,23.6,1012.2,84,-,7.2,0,-,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,20-01-2010,29.2,33.7,23.4,1012.4,73,0,8,1.1,5.4,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,21-01-2010,28,31.7,21.8,1013.3,73,0,9.7,5.9,11.1,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,22-01-2010,27.5,34.2,22.6,1012.4,81,-,8.2,4.4,9.4,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,23-01-2010,27.9,31.8,23.6,1012.6,82,0,6.4,1.1,5.4,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,24-01-2010,30.2,34.2,23.4,1011,69,0,8.4,2.2,5.4,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,25-01-2010,27.2,32,23.6,1011.7,83,12.95,7.7,5.2,13,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,26-01-2010,28.8,32.8,23.4,1010.9,74,0,9,4.4,11.1,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,27-01-2010,26.2,31.1,23.8,1012,88,30.99,5.5,8.1,18.3,-,o, ,o, 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,28-01-2010,28.9,32.2,23.4,1011,75,0,8.4,3.7,7.6,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,29-01-2010,24.7,27.8,23.8,1012.5,95,16,3.1,0,-,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,30-01-2010,28.1,32.6,22.6,1011.6,78,0,6.9,0.7,3.5,-, , , ,o
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,31-01-2010,29,33.2,23.8,1011.8,72,0,8,5.6,18.3,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,1-02-2010,26.3,32.7,22.2,1011.8,82,0,8,4.4,7.6,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,2-02-2010,28.1,33.4,22.8,1010.8,80,0,8.2,7.8,11.1,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,3-02-2010,28.8,33.2,22.8,1011,75,-,8.9,4.4,7.6,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,4-02-2010,30.2,34.8,23.2,1010.3,70,0,7.4,3.3,9.4,-, , , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,5-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,6-02-2010,28.4,33.7,22.3,1012.1,76,0,7.4,6.3,13,-,o, , , 
indonesia,PUTUSSIBAU/PAGSUMA,ws-965650,0.88,112.93,7-02-2010,29.3,33.5,23.3,1011.5,76,0,9.3,2.2,7.6,-, , , , 
