country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,1-01-2010,27.7,31.2,24.6,1008.1,80,0,7.6,0.9,11.1,-, , ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,2-01-2010,28.3,32,23.6,1007.8,79,0,7.7,0.6,9.4,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,3-01-2010,27.7,33,24.2,1007.5,82,12.45,6.1,1.5,18.3,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,4-01-2010,26.7,31.2,23.8,1007,85,0,9,0.7,7.6,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,5-01-2010,29.4,33.5,24,1007.1,75,0,8.4,0.6,9.4,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,6-01-2010,29.2,34.2,23.5,1008.1,74,10.92,8.7,1.9,13,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,7-01-2010,27.8,31.6,23.8,1009.2,80,0,7.6,0.6,11.1,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,8-01-2010,25.1,28,23.9,1009.7,91,21.08,6.8,0,-,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,9-01-2010,26.2,30.1,23.4,1009.8,86,13.46,7.9,1.5,9.4,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,10-01-2010,28.5,32,23.2,1009.8,75,0,8.7,0.7,9.4,-, , , ,o
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,11-01-2010,27.6,32.2,23.8,1010.2,78,2.03,7.1,3,11.1,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,12-01-2010,26.8,32,22,1011,83,52.07,6.4,3.9,18.3,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,13-01-2010,24.8,28,22,1013.2,88,0.76,6.4,0.7,11.1,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,14-01-2010,25.8,29,22.5,1013.2,86,0.51,6.9,1.1,14.8,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,15-01-2010,26.5,30,23.2,1012.7,83,2.03,7.9,0,-,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,16-01-2010,28.2,31.1,23,1012.6,74,-,8.2,1.7,9.4,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,17-01-2010,27.8,32,24,1012.1,76,1.02,8.7,1.7,9.4,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,18-01-2010,27.6,32.9,23.6,1011.1,75,26.92,6.9,2.6,9.4,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,19-01-2010,28.1,33.4,23,1009.9,73,0,7.9,5.6,27.8,-,o, , ,o
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,20-01-2010,28.4,33,23.2,1010.1,74,0,9.3,0,-,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,21-01-2010,27.3,32,23,1010.3,82,24.89,7.7,0,-,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,22-01-2010,26.2,29.2,21.5,1010.8,87,0.76,7.1,0,-,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,23-01-2010,27.4,32.6,24.3,1010.6,83,14.99,6.9,0.9,11.1,-, , ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,24-01-2010,26.5,29,23.8,1010,88,5.08,6.9,2.2,13,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,25-01-2010,28.9,32,23.2,1010.5,74,0,8.5,3,11.1,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,26-01-2010,28.9,33,21.5,1010.4,72,0,8.9,1.7,9.4,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,27-01-2010,27.7,31.8,24.4,1010.3,81,8.13,8.2,1.5,9.4,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,28-01-2010,27.9,32.8,24.2,1010.6,80,7.11,6.9,2.2,13,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,29-01-2010,28.8,33.5,23.3,1010.5,79,-,7.6,0,-,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,30-01-2010,28.2,32,22.7,1010.4,80,0.76,8.4,0,-,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,31-01-2010,28.9,33.5,22.5,1010.5,76,1.02,8.7,5.6,16.5,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,1-02-2010,29.4,34,24.8,1009.4,71,0,8,7.2,-,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,2-02-2010,29.8,34,25,1009.4,72,0,8.5,0.6,9.4,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,3-02-2010,29.4,34.1,25,1009.2,76,21.84,6.8,2.2,18.3,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,4-02-2010,26.2,29,25,1009.6,88,7.87,6.3,0.6,7.6,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,5-02-2010,28.1,33.4,24.7,1010.5,75,2.03,7.6,2,11.1,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,6-02-2010,28.3,34,24,1010.5,75,0,8,0,-,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,7-02-2010,26.8,34.5,23.5,1010.2,85,1.02,7.9,4.3,20.6,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,8-02-2010,27.6,32.5,24.6,1009.5,82,1.02,7.2,0,-,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,9-02-2010,29.6,35.1,24.5,1008.7,74,0,7.1,0,-,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,10-02-2010,29.2,35,25.5,1009.3,75,4.06,8.5,0,-,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,11-02-2010,29.2,33.5,24.5,1010.2,79,0,8.2,1.1,9.4,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,12-02-2010,28.2,34.8,23.8,1010.2,78,0,8.4,1.1,9.4,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,13-02-2010,23,34,-,1008.7,80,0,9.2,0,-,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,14-02-2010,29.8,35,25.6,1008.8,70,0,8.2,3,11.1,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,15-02-2010,29.4,35,25.2,1009.2,72,0,8,0,-,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,16-02-2010,29.7,34.5,25.4,1009.5,75,0,6.9,1.9,9.4,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,17-02-2010,26.7,35.2,24.2,1010.6,86,51.05,6.6,1.5,11.1,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,18-02-2010,27.1,29,24,1010.6,85,5.08,7.2,0,-,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,19-02-2010,30.9,33,28.3,-,64,0,9.8,0,29.4,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,20-02-2010,29.7,34.1,25.8,1010.7,68,0,8.9,1.3,9.4,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,21-02-2010,27.1,31.8,24.9,1011,85,-,8.2,1.1,7.6,-,o, ,o, 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,22-02-2010,28.8,33.8,24.5,1009.5,75,0,8.2,1.9,20.6,-, , , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,23-02-2010,28.4,34.5,22.8,1009.2,81,57.91,7.6,1.1,9.4,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,24-02-2010,28.1,34.3,22.5,1008.5,75,-,8.5,2.8,13,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,25-02-2010,27.6,34.7,23.4,1009.7,80,-,8,9.6,46.5,-,o, , , 
indonesia,Pakanbaru / Simpangtiga,ws-961090,0.46,101.45,26-02-2010,28.3,32.5,22.6,1008.8,82,3.05,7.6,0,-,-, , ,o, 
