country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,1-01-2010,28.1,32,22.8,1008,77,0,10.1,1.5,11.1,-, , , , 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,2-01-2010,29.3,32.1,23,1008.8,78,0,10.6,2.2,11.1,-, , ,o, 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,3-01-2010,27.7,30,23.6,1009.5,84,0,10.3,0,-,-, , , , 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,4-01-2010,30.1,33.3,23.6,1008.3,72,-,10.3,1.1,9.4,-,o, , , 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,5-01-2010,26.9,30.7,23.8,1009,91,14.99,7.7,2,11.1,-,o, ,o, 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,6-01-2010,28.7,32,23.8,1009.6,77,-,10,3,11.1,-,o, ,o, 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,7-01-2010,27.8,31.8,23,1010.2,81,23.88,10.6,5.6,14.8,-,o, ,o, 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,8-01-2010,25.3,27.4,22.6,1011.1,89,0.51,10.1,0.7,9.4,-,o, , , 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,9-01-2010,25.8,30,22.4,1010.9,90,4.06,9.2,2.6,14.8,-,o, ,o, 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,10-01-2010,28.3,32,23.2,1010.7,74,4.06,9.2,5.2,14.8,-, , , ,o
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,11-01-2010,28.6,33,23.3,1011.1,75,-,9.2,5.6,18.3,-,o, , , 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,12-01-2010,26.5,31,23,1012,85,9.91,10.1,3.9,14.8,-, , , , 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,13-01-2010,26.4,29,23.1,1013.6,83,0,10.6,5.9,13,-, , , , 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,14-01-2010,26.5,31.2,22.8,1013.6,79,28.96,9.5,7,18.3,-,o, ,o, 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,15-01-2010,27.3,30.7,22.5,1013.3,79,0,9.8,5.2,11.1,-, , , , 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,16-01-2010,28.1,31.8,24.2,1012.6,75,0,10,10.4,22.2,-, , , , 
indonesia,Palembang / Talangbetutu,ws-962210,-2.9,104.7,17-01-2010,27.9,32,24.3,1012.7,76,1.02,10,8.7,22.2,-,o, , , 
