country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,1-01-2010,28.4,34.6,24.6,1009.2,69,0,10.3,8.7,25.9,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,2-01-2010,27.8,34.4,24.4,1007.6,75,0,9,6.3,22.2,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,3-01-2010,29.1,34,23.6,1009.9,70,0,11.6,11.3,22.2,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,4-01-2010,28,33.6,24.4,1009.1,73,0,9.2,6.1,20.6,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,5-01-2010,28.2,34.8,24.2,1009.7,67,0,10,7.4,22.2,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,6-01-2010,27.2,31.8,23.6,1011.1,69,0,9.2,6.7,18.3,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,7-01-2010,27.9,35,24,1010.6,66,0,10.9,9.1,31.3,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,8-01-2010,27.9,32.6,23,1010.7,69,0,11.3,7.2,20.6,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,9-01-2010,28.2,34.6,24.6,1010.5,68,0,9.2,9.1,29.4,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,10-01-2010,27.3,32.3,24.6,1010.6,78,1.02,8.7,7.2,29.4,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,11-01-2010,27.8,30.4,24.6,1010.5,73,0,8.4,9.3,20.6,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,12-01-2010,27.9,33.6,24,1010.9,75,-,8.9,7.8,24.1,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,13-01-2010,26.3,31.8,22.6,1012.5,79,-,10,9.1,22.2,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,14-01-2010,25,29.6,22.4,1012.6,88,14.99,6.8,4.4,16.5,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,15-01-2010,25.8,29.8,22.8,1012.5,86,0,7.1,4.1,16.5,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,16-01-2010,27.1,30.2,23.4,1011.5,82,0,8.7,6.1,16.5,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,17-01-2010,27.9,31.8,24,1011.2,78,0,9.5,8,16.5,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,18-01-2010,28.5,35.4,23.4,1010.8,70,0,11.4,6.5,22.2,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,19-01-2010,23.7,28.6,22.4,1013.8,89,14.99,5.5,5.7,40.7,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,20-01-2010,27.2,32,22.2,1013,76,0,9.5,10.4,29.4,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,21-01-2010,26.6,30.8,23.8,1013.2,78,0,7.6,8.5,27.8,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,22-01-2010,26.7,32.2,22.7,1013.2,76,0,10.8,4.6,18.3,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,23-01-2010,27.4,33,22.2,1012.8,71,0,12.2,10.9,25.9,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,24-01-2010,27.4,32.6,23,1012,72,0,10.3,7.4,20.6,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,25-01-2010,27.6,33.4,23.6,1012.1,74,0,9.7,8.5,37,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,26-01-2010,27.8,33.8,23.6,1012,72,0,9.8,10,27.8,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,27-01-2010,27.4,33,23.7,1012.3,75,0,9.8,6.3,22.2,-,o, ,o, 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,28-01-2010,28.2,33.2,23,1011.7,72,0,11.4,7.6,18.3,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,29-01-2010,27.9,34.4,23.4,1011.4,75,0,10,9.4,33.5,-, , ,o, 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,30-01-2010,26,33,23.2,1012.4,85,6.1,7.7,4.6,14.8,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,31-01-2010,26.9,33,22.8,1012.5,80,0,9,8.5,29.4,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,1-02-2010,26.1,31.8,23.8,1012,85,10.92,9.3,5.2,20.6,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,2-02-2010,28,32.4,22.9,1011.5,73,0,10.8,7.4,18.3,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,3-02-2010,27.8,33,23.6,1011.5,71,0,10.3,10.7,33.5,-, , , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,4-02-2010,27.8,34.2,23,1011.5,72,0,10.8,8.3,33.5,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,5-02-2010,29.1,35.8,23,1011.3,63,-,10.3,6.7,24.1,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,6-02-2010,27.2,33.2,23.4,1013.2,76,0,8.2,6.3,18.3,-,o, , , 
indonesia,Palu / Mutiara,ws-970720,-0.68,119.73,7-02-2010,27.1,33.6,23.4,1013.4,74,0,9.2,10,37,-,o, , , 
