country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,1-01-2010,26.3,31.4,22.8,1008.9,88,2.03,4.7,3.7,11.1,-,o, , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,2-01-2010,25.8,31.6,23.6,1010.1,91,35.05,5.1,2.6,9.4,-,o, ,o, 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,3-01-2010,26.9,30.2,23,1009.6,89,0,6.4,2,9.4,-, , ,o, 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,4-01-2010,25.6,30.1,22.6,1009.3,93,5.08,4.8,5.4,20.6,-,o, ,o, 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,5-01-2010,25.1,30,22.4,1010,92,25.15,4,2.6,11.1,-,o, ,o, 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,6-01-2010,25.8,33,22,1010,88,9.91,4.8,2.8,9.4,-,o, ,o, 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,7-01-2010,26.4,33.2,22.4,1010.6,86,1.02,5.1,5.7,16.5,-,o, , ,o
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,8-01-2010,26.5,32.4,22,1010.3,86,4.06,6.3,4.3,11.1,-,o, ,o, 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,9-01-2010,25.6,31.8,22.8,1010.5,88,0,5.8,2.6,11.1,-, , , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,10-01-2010,25.4,29,22.8,1011,91,2.03,4.3,0.9,7.6,-, , ,o, 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,11-01-2010,27,33.2,22.6,1010.7,82,0,5.5,3.1,14.8,-, , , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,12-01-2010,27.5,32.8,23.4,1010.6,78,0,5.5,4.4,9.4,-, , , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,13-01-2010,26.4,32.2,22,1011.6,84,0.51,6,6.3,20.6,-, , ,o, 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,14-01-2010,24.6,29.8,22.4,1012.6,92,13.72,5,6.7,14.8,-,o, , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,15-01-2010,26.8,32,22.8,1012.1,81,0,5.8,5.6,14.8,-, , , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,16-01-2010,27.1,33.4,22.7,1011.2,80,0,6.3,6.3,18.3,-, , , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,17-01-2010,27.6,32.2,23.2,1011.3,78,0,6,4.4,9.4,-, , , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,18-01-2010,28.3,33.8,24.1,1010.6,76,0,7.6,8.3,27.8,-, , , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,19-01-2010,27.8,32.6,24,1011.5,83,4.06,5.6,3.7,11.1,-,o, , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,20-01-2010,25.8,31,22.2,1012.3,89,22.1,5.5,0.7,5.4,-,o, ,o, 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,21-01-2010,25.6,30.8,22,1012.2,89,0.76,5,2,9.4,-,o, , , 
indonesia,Pangkalan Bun / Iskandar,ws-966450,-2.7,111.7,22-01-2010,25.7,32.4,22,1011.8,89,14.99,5.1,1.9,9.4,-,o, ,o,o
