country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,1-01-2010,28.1,32,23.6,1009,80,-,9.7,6.7,16.5,-,o, , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,2-01-2010,26.3,30.4,23.8,-,90,1.02,8.5,1.7,11.1,-,o, , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,3-01-2010,27.6,33,23.8,-,85,5.08,8,2.6,20.6,-,o, ,o, 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,4-01-2010,27.5,33,24,1008.7,80,0.76,8.9,6.1,20.6,-,o, , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,5-01-2010,24.2,31,22,1010.3,92,39.12,6.1,6.3,37,-,o, , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,6-01-2010,27.1,32.4,22.2,1009.9,79,0,8.7,2.6,9.4,-,o, , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,7-01-2010,27.8,33,22.9,1010.2,77,0,8.4,4.8,18.3,-, , , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,8-01-2010,26.3,33.1,23,1010.2,87,2.03,7.9,3.7,18.3,-,o, ,o, 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,9-01-2010,27.9,34,22.8,1010.4,80,-,9.2,6.3,16.5,-,o, , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,10-01-2010,27,32.6,22.8,-,79,0,8.7,6.1,16.5,-, , , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,11-01-2010,27.1,32.2,22.6,1010.4,78,0,8.9,5.7,18.3,-, , , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,12-01-2010,27.8,32.4,22.6,1011,79,0,8.4,6.7,24.1,-, , , , 
indonesia,Pontianak / Supadio,ws-965810,-0.15,109.4,13-01-2010,25.7,31.6,23.6,1012.3,90,9.91,7.2,3.1,27.8,-,o, ,o, 
