country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,1-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,2-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,3-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,4-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,5-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,6-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,7-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,8-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,9-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,10-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,11-01-2010,29.4,31,22,1009.9,77,0,10,5.9,14.8,-, , , , 
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,12-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,13-01-2010,28.7,30.4,20.8,1011,77,0,10,6.5,11.1,-, , , , 
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,14-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,15-01-2010,28.3,30.2,21,1011.3,78,0,10,6.5,11.1,-, , , , 
indonesia,Poso / Kasiguncu,ws-970960,-1.38,120.73,16-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
