country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,1-01-2010,23,26.2,16,1008.8,79,0,12.1,2.6,7.6,-, , ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,2-01-2010,24.7,31.4,14.7,1009.3,75,0,10.1,4.1,7.6,-, , ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,3-01-2010,22.2,24.7,17.2,1009.9,87,7.11,8,3,7.6,-,o, ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,4-01-2010,22.6,25.4,16.4,1008.8,84,0,9.2,5.9,9.4,-, , , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,5-01-2010,21.9,25.6,20.2,-,89,2.03,5.3,1.9,7.6,-, , ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,6-01-2010,20.1,25.6,17.2,1010.2,89,13.97,6.6,5.6,11.1,-,o, ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,7-01-2010,21.3,25.4,17.2,1009.7,84,11.43,8,11.1,18.3,-,o, , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,8-01-2010,22,25,17.2,1009.6,84,0,12.2,10.7,18.3,-, , , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,9-01-2010,21.7,25.2,16.8,1009.5,86,-,8.5,13,20.6,-,o, ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,10-01-2010,22.3,25.2,16.8,1009.9,83,0,10.1,4.8,11.1,-, , , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,11-01-2010,22,26,16,1009.5,71,0,14,4.6,11.1,-, , , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,12-01-2010,22.7,26.2,14,1008.8,69,0,13.2,18.1,22.2,-, , ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,13-01-2010,20.9,26.8,18.2,1009.7,88,9.91,9,10.4,16.5,-,o, , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,14-01-2010,21.4,26.7,17.8,1010.3,86,37.85,4.3,13,18.3,-,o, ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,15-01-2010,20,26.6,18.2,1010.5,96,41.15,4.2,8.7,14.8,-,o, , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,16-01-2010,20.4,26.5,18.2,1010.2,88,7.11,5.5,16.7,24.1,-,o, , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,17-01-2010,20.2,26.4,16.6,1010.1,80,13.21,6.8,21.3,29.4,-,o, , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,18-01-2010,20.4,26,16.8,1009.4,88,1.02,8.4,27.4,46.5,-,o, , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,19-01-2010,20.8,24.5,17.2,1010.1,80,0,6.9,18.9,24.1,-,o, , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,20-01-2010,21.2,25,18.2,1011,78,0,9.3,17.8,22.2,-, , , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,21-01-2010,21.8,25.2,18.2,1011.2,81,0,12.4,17.4,22.2,-, , , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,22-01-2010,21.9,25,17.4,1011.9,81,0,13.2,11.9,14.8,-, , , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,23-01-2010,22.3,25.2,16.6,1011.7,80,0,11.7,11.1,16.5,-, , , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,24-01-2010,22.2,25.2,17.2,1010.7,81,0,10.5,11.5,22.2,-, , , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,25-01-2010,22.2,25.7,15.6,1010.9,79,0,12.2,6.3,13,-, , ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,26-01-2010,20.7,26,14.5,1011.5,81,44.96,12.2,5.9,18.3,-,o, ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,27-01-2010,21.7,25.2,14.8,1011.2,82,4.06,13.4,1.9,9.4,-,o, , , 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,28-01-2010,22.3,25.8,15.8,1010.8,83,0,10.9,9.3,18.3,-, , ,o, 
indonesia,RUTENG/SATAR TACIK,ws-972840,-8.63,120.45,29-01-2010,22,25.9,15.6,1011.1,85,0,10,10.4,16.5,-, , , , 
