country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,1-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,2-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,3-01-2010,27.8,29.8,22.4,1010.2,84,0,8,12,18.3,-, , , , 
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,4-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,5-01-2010,27.5,29.4,23.6,1010.3,85,0,6.8,10.4,22.2,-,o, , , 
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,6-01-2010,28.3,30,22.8,1010.7,81,0,8.5,11.5,13,-, , , , 
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,7-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,8-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,9-01-2010,27.9,29.6,21.4,1011.6,73,0,8,22.6,27.8,-, , , , 
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,10-01-2010,27.1,29.4,22.4,1011.8,77,0,9.3,15.2,24.1,-, , , , 
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,11-01-2010,27.2,28.4,22.2,1012.6,81,0,7.2,12.6,14.8,-, , , , 
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,12-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,13-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,14-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,15-01-2010,26.6,28.6,23,1014.8,80,0,6.4,26.7,27.8,-, , , , 
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,16-01-2010,27.3,27.8,23.4,1014.3,76,0,6.8,24.1,25.9,-, , , , 
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,17-01-2010,26.9,30.2,22.8,1013.5,81,0,6.9,31.5,37,-, , , , 
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,18-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Ranai / Ranai,ws-961470,3.95,108.38,19-01-2010,27.3,29.4,22.4,1011.9,78,0,7.2,8.5,27.8,-, , , , 
