country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,1-01-2010,25.7,31,23.6,1008.5,88,0,5.8,1.3,9.4,-, , , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,2-01-2010,27.7,31.8,23.6,1008.4,82,0,7.2,3.1,11.1,-, , , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,3-01-2010,27.2,32.2,23.6,1008.5,86,37.08,6.1,0,-,-,o, ,o, 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,4-01-2010,26.6,29.6,23.2,1008.1,88,0,5.5,0,-,-, , , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,5-01-2010,26.8,32,22.4,1008.4,83,16,5.1,4.4,14.8,-,o, , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,6-01-2010,26.4,31.2,21.8,1009,85,26.92,5.3,1.1,9.4,-,o, ,o, 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,7-01-2010,26.2,30,22.4,1009.9,86,-,6.1,0,-,-,o, , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,8-01-2010,25.1,28.8,22.6,1009.8,92,4.57,4.8,1.1,9.4,-,o, , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,9-01-2010,26.5,31,22.8,1010.5,85,0.25,5.5,1.5,11.1,-,o, , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,10-01-2010,26.8,31.8,22,1010.7,81,0,5.5,0.9,7.6,-, , , ,o
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,11-01-2010,26.9,30,23.4,1010.9,82,0.76,5.8,1.1,9.4,-,o, , ,o
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,12-01-2010,26.2,31.6,23.2,1011.9,83,7.87,6,1.9,14.8,-,o, , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,13-01-2010,24.8,28.4,22.4,1013.7,88,2.03,5,0,-,-,o, , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,14-01-2010,24.9,28.6,22.4,1014.1,90,-,5.5,0,-,-,o, , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,15-01-2010,25.9,28,22.6,1013.6,87,0,5.8,1.1,9.4,-, , , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,16-01-2010,25.4,31,15.6,1013,87,0,5.6,3.5,9.4,-, , , ,o
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,17-01-2010,26.9,30.4,23.6,1012.9,81,-,6,2.6,11.1,-,o, , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,18-01-2010,26.8,31.2,23.2,1011.4,81,23.11,5.3,2.6,11.1,-,o, ,o, 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,19-01-2010,25.9,32.2,23,1010.8,85,0.25,4.5,0,-,-,o, , , 
indonesia,Rengat / Japura,ws-961710,-0.33,102.31,20-01-2010,27.5,32.2,23.2,1010.7,83,0,6,0,-,-, , , , 
