country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Rote / Baa,ws-973780,-10.73,123.06,1-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Rote / Baa,ws-973780,-10.73,123.06,2-01-2010,29.1,33.6,23.2,1007.3,81,0,15,2.8,13,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,3-01-2010,27.2,32.4,25,1008.1,87,0,12.6,2.8,11.1,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,4-01-2010,28.3,30.2,24.2,1006.2,84,0,18.5,2.4,9.4,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,5-01-2010,26.5,32.6,19.2,1006.2,96,0,15.6,5.9,11.1,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,6-01-2010,27.8,29,25.6,1008,87,-,16.3,6.5,13,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,7-01-2010,28.9,33.4,23,1007.4,81,0,16.3,7.2,18.3,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,8-01-2010,28.6,32.4,22.4,1007,82,0,16.7,5.6,14.8,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,9-01-2010,28.7,32.4,20.4,1008,82,0,16.7,6.9,18.3,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,10-01-2010,29.8,32.8,22.5,1007.8,75,0,17.1,10.2,24.1,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,11-01-2010,28.9,33.6,22.8,1007.5,76,0,15,3.1,9.4,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,12-01-2010,29.3,32.6,22.8,1007.2,74,0,17.1,6.1,16.5,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,13-01-2010,27.4,32.4,23.6,1008.1,85,2.03,14.6,8.3,20.6,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,14-01-2010,27.3,32.6,22,1008.6,86,2.54,16.7,5.2,13,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,15-01-2010,26.9,31,24.2,1008.8,89,-,15,7.6,18.3,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,16-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Rote / Baa,ws-973780,-10.73,123.06,17-01-2010,23.9,29.8,23.2,1007.9,97,48.01,-,11.1,18.3,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,18-01-2010,24.7,26,20.4,1006.1,96,-,12.1,8.5,18.3,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,19-01-2010,24.8,30,20.4,1007,94,-,12.2,15.6,27.8,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,20-01-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Rote / Baa,ws-973780,-10.73,123.06,21-01-2010,26.8,30.6,21.8,1009.1,87,1.02,15,10,24.1,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,22-01-2010,27.7,32,22,1009.7,87,0,17.1,10.7,16.5,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,23-01-2010,27.2,32.6,22.6,1010.4,84,-,15.1,3.7,18.3,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,24-01-2010,28.7,33,21.8,-,77,0,17.1,8.9,14.8,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,25-01-2010,29.1,33.8,22,1009.9,79,0,15.8,5.6,27.8,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,26-01-2010,30.8,32.6,21,1010.1,66,0,20,6.1,11.1,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,27-01-2010,30.3,33.4,21.4,-,70,0,19.5,10.2,14.8,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,28-01-2010,29.9,33.8,21.6,1009.1,72,0,18,5.6,9.4,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,29-01-2010,29.1,33.6,21.8,1009,76,0,18,3.7,9.4,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,30-01-2010,28.9,33.2,22.8,1009.4,70,0,15.4,3.7,9.4,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,31-01-2010,29.9,32.2,23,1009.8,74,0,18,7.4,13,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,1-02-2010,28.1,31,22.6,1008.3,85,1.02,15,5.6,18.3,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,2-02-2010,28.1,33,25.2,1008.8,84,0,15,4.1,13,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,3-02-2010,28.2,33.4,21.6,1009.7,83,0,16.7,5.2,16.5,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,4-02-2010,28.9,33,22.5,1010.3,79,1.02,15.4,4.4,11.1,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,5-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Rote / Baa,ws-973780,-10.73,123.06,6-02-2010,28.8,32.4,21.4,1011.5,80,17.02,16.3,0,-,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,7-02-2010,27.2,32.5,24.2,1011.7,85,0,14.6,4.6,16.5,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,8-02-2010,27.2,29.6,21.2,1011.4,87,6.1,13.7,0,-,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,9-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Rote / Baa,ws-973780,-10.73,123.06,10-02-2010,28.4,33,20.6,1011,83,4.06,17.2,3.1,11.1,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,11-02-2010,29.1,32.6,20.4,1011.1,79,0,16.7,2.2,13,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,12-02-2010,29.9,32,22.6,1009.9,74,0,18,2.2,11.1,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,13-02-2010,29.8,33.2,23,1008.7,78,0,16.7,7,14.8,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,14-02-2010,28.9,33,23.2,1009.2,79,0,16.3,6.9,18.3,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,15-02-2010,31.3,31.6,21.9,1008.8,71,0,18.8,5.6,14.8,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,16-02-2010,28.1,33.8,22.4,1008,86,49.78,15.1,0,-,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,17-02-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Rote / Baa,ws-973780,-10.73,123.06,18-02-2010,28.8,33.8,24.8,1010.1,83,0,15,3.1,13,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,19-02-2010,28.6,33,22,1009.8,84,0,15.8,5.7,18.3,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,20-02-2010,30.5,33.2,22,1009.7,73,0,18,5.2,13,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,21-02-2010,32.3,34.4,23.2,1009.2,67,0,18.8,4.3,9.4,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,22-02-2010,29.1,33.6,22.9,1010.5,82,0,15.4,5,14.8,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,23-02-2010,28.2,30.5,23,1009.5,86,0,17.5,0,-,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,24-02-2010,29.9,35,23.4,1008.4,75,0,15,4.1,9.4,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,25-02-2010,29.5,33.8,23.4,1008.5,78,0,15.8,7.8,18.3,-, , , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,26-02-2010,29.3,32.8,24.6,1007.9,82,3.05,16.3,6.1,20.6,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,27-02-2010,26.6,28.8,24.2,1006.8,88,1.02,16.7,5.6,18.3,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,28-02-2010,27.4,33.2,22.4,1008.5,88,16,14.3,10.6,27.8,-,o, , , 
indonesia,Rote / Baa,ws-973780,-10.73,123.06,1-03-2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
indonesia,Rote / Baa,ws-973780,-10.73,123.06,2-03-2010,26.7,30.2,22.6,1009.2,92,8.89,12.9,2.4,14.8,-,o, , , 
