country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,1-01-2010,27.8,30.6,25.8,1007.4,84,0,15,4.8,11.1,-, , ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,2-01-2010,26.1,29,24.2,1008.5,90,23.88,14.8,1.1,5.4,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,3-01-2010,28.1,32.6,24.7,1008.1,85,0,15,3,9.4,-, , , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,4-01-2010,28.1,31.6,25,1006.9,84,0,14.6,2.6,11.1,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,5-01-2010,27.5,31.6,25,1008.1,85,36.07,13.7,5,11.1,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,6-01-2010,27.1,30.9,25.4,1008.3,90,14.99,14.6,7.4,22.2,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,7-01-2010,25.9,29.4,24,1008.9,90,37.08,14.8,1.1,3.5,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,8-01-2010,27.5,30.6,24.7,1008.9,81,26.92,15,7.8,13,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,9-01-2010,25.7,27.5,23.5,1010,89,52.07,11.4,12,25.9,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,10-01-2010,28.1,30.5,23.9,1009.7,78,3.05,14.8,13.1,18.3,-, , , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,11-01-2010,27.6,31.1,25.1,1009.5,81,0.76,13.8,10,18.3,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,12-01-2010,26.4,28.3,25,1009.1,86,18.03,14.3,16.5,24.1,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,13-01-2010,25.8,27.4,23.5,1009.8,89,24.13,13.7,21.7,27.8,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,14-01-2010,27.3,29.8,23.4,1010.3,79,1.02,14.3,24.4,27.8,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,15-01-2010,26.5,27.9,24.2,1010.6,83,7.37,19,23,37,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,16-01-2010,27.7,29.9,24.2,1010,78,5.08,13.7,20.6,25.9,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,17-01-2010,26.6,29.5,25.1,1010.5,86,24.13,13.5,16.1,24.1,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,18-01-2010,26.9,29.7,22.4,1009.7,87,3.05,14.5,15.7,27.8,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,19-01-2010,27,30.1,25.3,1010.8,85,0.25,15,13.3,25.9,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,20-01-2010,27.7,31,25.1,1011.1,84,0,14.6,7.2,9.4,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,21-01-2010,26.4,29.4,24.4,1010.8,88,4.06,15,3.3,9.4,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,22-01-2010,27.2,30.2,25.3,1011.1,86,-,15,4.3,13,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,23-01-2010,28,31.8,25.2,1010.9,81,0,14.8,5.9,11.1,-, , , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,24-01-2010,27.7,30.7,25,1009.9,84,-,14.8,7,14.8,-,o, , , 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,25-01-2010,26,29.9,24.4,1010.5,88,10.92,14.8,8,11.1,-,o, ,o, 
indonesia,SANGKAPURA (BAWEAN,ws-969250,-5.85,112.63,26-01-2010,27.1,30,24.4,1010.5,85,1.52,14.8,6.3,11.1,-,o, ,o, 
