country,location,station_id,latitude,longitude,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,1-01-2010,27.6,29,22,1010.3,80,0,7.2,16.3,22.2,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,2-01-2010,25.7,29.6,21.4,1010.6,92,11.94,5.8,14.8,18.3,-,o, ,o, 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,3-01-2010,24.3,24.6,21,1011.2,98,20.07,4,10.7,18.3,-,o, ,o, 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,4-01-2010,26.3,29.2,20.2,1010.2,88,0,6.4,3.7,13,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,5-01-2010,27.2,28.6,21,1009.6,89,0,6.9,0,-,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,6-01-2010,26.8,30,21.2,1010.1,90,6.1,6.4,0,-,-,o, , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,7-01-2010,25.8,29,21.2,1012,94,2.03,6.1,2.4,14.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,8-01-2010,27.4,29.8,21.4,1012.3,90,0,6.8,5.9,16.5,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,9-01-2010,27.6,30.2,21.8,1012.4,88,0,6.8,3.7,11.1,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,10-01-2010,27.7,30.2,21.8,1012,85,0,6.8,11.9,18.3,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,11-01-2010,27,30.2,20,1013.9,87,3.56,6.1,3.3,11.1,-,o, , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,12-01-2010,27.8,30.2,20,1013.7,83,0,6.6,3.7,11.1,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,13-01-2010,27.4,30.2,23.4,1014.7,79,0,6.8,6.1,14.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,14-01-2010,27.3,30,21.8,1015,83,3.05,7.2,14.4,40.7,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,15-01-2010,26.6,29.8,22,1014.9,84,0.51,6.6,23.5,29.4,-,o, , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,16-01-2010,27.6,29.8,22.4,1015.4,81,0,7.2,22,29.4,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,17-01-2010,27.7,30.8,22.8,1015.1,79,0,6.8,21.7,29.4,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,18-01-2010,27.3,29.6,22.2,1014.5,85,0,6.9,5.2,11.1,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,19-01-2010,26.2,29.8,21.8,1013.5,95,2.03,6.3,4.6,9.4,-,o, , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,20-01-2010,27.2,29,20.4,1013.3,84,0,6.8,5.9,11.1,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,21-01-2010,26.6,30,20.4,1012.7,88,0,6.6,0,-,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,22-01-2010,27.1,29.8,20.2,1012.9,88,0,6.6,1.9,11.1,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,23-01-2010,27.7,30.8,20.2,1012.6,88,0,6.6,13.3,20.6,-, , ,o, 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,24-01-2010,26.8,29,20.1,1012.8,90,13.21,6.6,14.3,20.6,-,o, ,o, 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,25-01-2010,27.4,29.8,20.2,1012.9,85,-,6.6,17.2,27.8,-,o, , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,26-01-2010,27.9,30.4,20.2,1012.9,85,0,6.8,15.9,25.9,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,27-01-2010,27.2,30,22.2,1012.3,87,0,7.4,26.9,33.5,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,28-01-2010,27.1,30,20,1013.3,88,-,6,20.4,27.8,-,o, , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,29-01-2010,27.8,30.2,21.6,1013.2,84,0,6.9,16.3,22.2,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,30-01-2010,27.6,30.4,21.6,1013.1,84,0,6.9,4.6,14.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,31-01-2010,27.8,31,21,1012.4,84,0,7.4,12.4,22.2,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,1-02-2010,27.8,30,22,1013,84,0,6.6,11.1,16.5,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,2-02-2010,27.7,31,23,1012.3,84,0,6.4,16.3,27.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,3-02-2010,27.9,30.4,20.4,1012.2,83,0,6.9,8.9,14.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,4-02-2010,27.5,30.6,21,1012.3,85,0,7.2,1.9,11.1,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,5-02-2010,27.9,31,21,1012.9,84,0,7.4,3.3,11.1,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,6-02-2010,28.2,31.2,20.8,1013.2,81,0,8.9,5.9,13,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,7-02-2010,28.3,31.2,21,1012.8,82,0,7.7,14.8,40.7,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,8-02-2010,28.6,31.6,23.2,1011.6,83,0,7.4,10.6,14.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,9-02-2010,28.7,31.2,23.2,1011.3,82,0,7.2,6.9,11.1,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,10-02-2010,28.1,31,23.4,1011.4,88,0,6.9,8.3,14.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,11-02-2010,28.2,31.4,22.8,1012.7,90,0,6.8,11.5,22.2,-, , ,o, 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,12-02-2010,28.4,30.8,22.6,1013.1,86,0,6.6,9.4,14.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,13-02-2010,27.9,30.9,22.8,1011.4,85,0,6.8,14.4,27.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,14-02-2010,28.9,31.6,23,1011.2,82,0,7.2,16.3,18.3,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,15-02-2010,28.2,31.8,22,1012.4,83,0,6.3,7.2,14.8,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,16-02-2010,29.3,31.6,27.2,1011.7,76,0,7.4,27.4,33.5,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,17-02-2010,28.4,31.6,22.2,1012.6,82,0,6.3,14.3,25.9,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,18-02-2010,28.9,32.4,22.2,1011.8,83,0,6.3,24.1,33.5,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,19-02-2010,28.9,32.4,27,1013.5,79,0,7.2,24.1,37,-, , , , 
indonesia,Sabang / Cut Bau,ws-960010,5.86,95.31,20-02-2010,27.9,31.8,21,1013.9,81,0,6.4,10.2,20.6,-, , , , 
